name,mar_fy23,mar_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,17500.0,7775015.0,24363343.0,-16588328.0,,,
traffic_fines,431170.0,1692923.0,2184913.0,-491991.0,,,
other_fines,915296.0,7259185.0,7904839.0,-645654.0,,,
reimbursements,870775.0,32808721.0,23179732.0,9628990.0,,,
asset_sales,,1159214.0,1566834.0,-407620.0,,,
payments_in_lieu_of_taxes,191109.0,2728331.0,1906617.0,821715.0,,,
cable_television,,13413671.0,14894501.0,-1480830.0,,,
emergency_medical_services,762252.0,29642056.0,21466213.0,8175842.0,,,
commercial_trash_fee,841378.0,17446432.0,17371230.0,75202.0,,,
interest_earnings,-339241.0,51770645.0,2720216.0,49050429.0,,,
licenses_and_inspection_fees,8108871.0,55515054.0,63151616.0,-7636562.0,,,
streets,587313.0,9745389.0,9601461.0,143927.0,,,
health,7456774.0,35630103.0,51655474.0,-16025371.0,,,
sheriff,,-7506.0,69418.0,-76924.0,,,
records,3507461.0,12480966.0,17651752.0,-5170785.0,,,
court_related_costs,3053092.0,17168682.0,16960664.0,208018.0,,,
miscellaneous,3053424.0,26550312.0,13396589.0,13153723.0,,,
total_local_nontax_revenue,29457174.0,322779193.0,290045413.0,32733780.0,49985807.0,86.59,
