name,feb_fy18,feb_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6806859.0,7061843.0,39587407.0,34395337.0,5192070.0,19588593.0,66.9
traffic_fines,369924.0,399386.0,3092256.0,3130470.0,-38214.0,3707744.0,45.47
payments_in_lieu_of_taxes,,32488.0,867621.0,1080885.0,-213264.0,1732379.0,33.37
cable_television,5646131.0,3978851.0,17521406.0,15713966.0,1807440.0,5714594.0,75.41
emergency_medical_services,3190987.0,3053860.0,28111287.0,28800269.0,-688982.0,14388713.0,66.14
court_related_costs,3560491.0,3963016.0,40876074.0,30730822.0,10145252.0,1373926.0,96.75
interest_earnings,45313.0,100188.0,3774802.0,3315707.0,459095.0,-2074802.0,222.05
asset_sales,,1150352.0,696761.0,1723805.0,-1027044.0,14053239.0,4.72
all_other_local_nontaxes,7941196.0,2736130.0,76959209.0,80487835.0,-3528626.0,37086791.0,67.48
total_local_nontax_revenue,27560901.0,22476114.0,211486823.0,199379096.0,12107727.0,95571177.0,68.88
