name,dec_fy22,dec_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,,199815.0,1212864.0,1732758.0,-519894.0,-1212864.0,
other_fines,521427.0,945048.0,5349671.0,4561043.0,788628.0,-5349671.0,
reimbursements,2333778.0,-1824628.0,18781585.0,9539489.0,9242096.0,-18781585.0,
asset_sales,134238.0,,1566756.0,491093.0,1075663.0,-1566756.0,
payments_in_lieu_of_taxes,,33848.0,1179660.0,1578235.0,-398575.0,-1179660.0,
cable_television,4831185.0,,12913292.0,5057682.0,7855610.0,-12913292.0,
emergency_medical_services,2710722.0,1886515.0,15699343.0,16132820.0,-433477.0,-15699343.0,
commercial_trash_fee,7208315.0,4087550.0,12333421.0,10104725.0,2228695.0,-12333421.0,
interest_earnings,55076.0,394496.0,2932266.0,10537556.0,-7605290.0,,
licenses_and_inspection_fees,12589706.0,5887553.0,41965618.0,31854174.0,10111444.0,-41965618.0,
streets,1328161.0,1327908.0,7537881.0,5713380.0,1824501.0,-7537881.0,
health,8547912.0,11240111.0,33097065.0,30134308.0,2962757.0,-33097065.0,
sheriff,,-175.0,-2920.0,183356.0,-186276.0,2920.0,
records,2540621.0,1613209.0,8813631.0,9744052.0,-930420.0,-8813631.0,
court_related_costs,1544607.0,1548742.0,8990853.0,9826358.0,-835505.0,-8990853.0,
miscellaneous,8788371.0,1612304.0,22125066.0,12072434.0,10052631.0,-22125066.0,
total_local_nontax_revenue,53134117.0,28952295.0,194496052.0,159263464.0,35232588.0,179767948.0,51.97
