name,feb_fy22,feb_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,47942.0,203342.0,1753744.0,2159778.0,-406034.0,-1753744.0,
other_fines,688436.0,1454962.0,6989543.0,6842859.0,146684.0,-6989543.0,
reimbursements,2696594.0,-505182.0,22308957.0,13467382.0,8841575.0,-22308957.0,
asset_sales,78.0,4755.0,1566834.0,495848.0,1070987.0,-1566834.0,
payments_in_lieu_of_taxes,502000.0,734290.0,1715507.0,2312525.0,-597018.0,-1715507.0,
cable_television,1685711.0,4859812.0,14894501.0,9917494.0,4977007.0,-14894501.0,
emergency_medical_services,2100501.0,2384681.0,20703961.0,21179948.0,-475987.0,-20703961.0,
commercial_trash_fee,1199830.0,1008994.0,16529852.0,14838153.0,1691699.0,-16529852.0,
interest_earnings,-65383.0,-364652.0,3059457.0,9141256.0,-6081799.0,,
licenses_and_inspection_fees,7594951.0,8423037.0,55042745.0,46281865.0,8760880.0,-55042745.0,
streets,987842.0,1451172.0,9026648.0,7477419.0,1549230.0,-9026648.0,
health,4645743.0,7166815.0,44199300.0,37918293.0,6281008.0,-44199300.0,
sheriff,72338.0,,69418.0,181277.0,-111859.0,-69418.0,
records,2471824.0,1282893.0,14144290.0,12491543.0,1652747.0,-14144290.0,
court_related_costs,2062325.0,1596404.0,13985482.0,12814844.0,1170638.0,-13985482.0,
miscellaneous,11535569.0,1643827.0,34597998.0,16276913.0,18321085.0,-34597998.0,
total_local_nontax_revenue,38226302.0,31345151.0,260588239.0,213797396.0,46790843.0,113675761.0,69.63
