name,feb_fy23,feb_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,2881.0,8481380.0,5262546.0,24345843.0,-19083297.0,,
traffic_fines,174990.0,47942.0,1432050.0,1753744.0,-321694.0,,
other_fines,741307.0,688436.0,6453298.0,6989543.0,-536245.0,,
reimbursements,3862424.0,2696594.0,28434402.0,22308957.0,6125445.0,,
asset_sales,-108762.0,78.0,1159214.0,1566834.0,-407620.0,,
payments_in_lieu_of_taxes,179896.0,502000.0,1221144.0,1715507.0,-494363.0,,
cable_television,1460667.0,1685711.0,10570608.0,14894501.0,-4323893.0,,
emergency_medical_services,5447091.0,2100501.0,25707310.0,20703961.0,5003349.0,,
commercial_trash_fee,1144369.0,1199830.0,15976765.0,16529852.0,-553088.0,,
interest_earnings,-1263700.0,-65383.0,43123906.0,3059457.0,40064449.0,,
licenses_and_inspection_fees,9245803.0,7594951.0,46655878.0,55042745.0,-8386867.0,,
streets,682955.0,987842.0,8710595.0,9014148.0,-303553.0,,
health,3149488.0,4645743.0,32421347.0,44198700.0,-11777354.0,,
sheriff,,72338.0,-7506.0,69418.0,-76924.0,,
records,1144778.0,2471824.0,11147803.0,14144290.0,-2996487.0,,
court_related_costs,2128304.0,2062325.0,15365007.0,13907572.0,1457435.0,,
miscellaneous,1698545.0,3054189.0,17335969.0,10343165.0,6992804.0,,
total_local_nontax_revenue,29691037.0,38226302.0,270970335.0,260588239.0,10382096.0,101794665.0,72.69
