name,aug_fy22,aug_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,237421.0,415321.0,657081.0,938046.0,-280966.0,,
other_fines,1470916.0,910541.0,2567826.0,1409659.0,1158167.0,,
reimbursements,3550162.0,3770875.0,10205234.0,6181964.0,4023270.0,,
asset_sales,621616.0,,1092823.0,28600.0,1064223.0,,
payments_in_lieu_of_taxes,93192.0,169438.0,1179660.0,627686.0,551974.0,,
cable_television,8082107.0,,8082107.0,,8082107.0,,
emergency_medical_services,2347969.0,2640473.0,5125696.0,5620194.0,-494498.0,,
commercial_trash_fee,524281.0,336446.0,1543653.0,1111690.0,431962.0,,
interest_earnings,357630.0,131983.0,-339356.0,201114.0,-540469.0,,
licenses_and_inspection_fees,6049430.0,4272049.0,11554495.0,9056749.0,2497746.0,,
streets,997275.0,1367332.0,2477893.0,2240418.0,237475.0,,
health,4159639.0,2150803.0,13009695.0,6860855.0,6148841.0,,
sheriff,,1192.0,-1800.0,179883.0,-181683.0,,
records,1410624.0,1756210.0,2508145.0,2996284.0,-488138.0,,
court_related_costs,1015177.0,1499913.0,2978292.0,3107384.0,-129092.0,,
miscellaneous,2244520.0,1400922.0,4571489.0,3096172.0,1475317.0,,
total_local_nontax_revenue,33161959.0,20823497.0,67212933.0,43656697.0,23556236.0,297178067.0,9.55
