name,jun_fy20,jun_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,172042.0,311402.0,3427245.0,4672832.0,-1245586.0,,
other_fines,145103.0,1056049.0,12639589.0,12218640.0,420950.0,,
reimbursements,-3233702.0,-218308.0,24101756.0,24304322.0,-202566.0,,
asset_sales,,90.0,1265714.0,1299660.0,-33946.0,,
payments_in_lieu_of_taxes,893543.0,1293145.0,6562105.0,6499112.0,62993.0,,
cable_television,1752208.0,1939278.0,21221994.0,21941232.0,-719239.0,,
emergency_medical_services,2855958.0,4151392.0,43746274.0,39543007.0,4203267.0,,
commercial_trash_fee,537875.0,752339.0,13376311.0,14479572.0,-1103261.0,,
interest_earnings,1318706.0,4189799.0,15747656.0,20524744.0,-328594.0,,
licenses_and_inspection_fees,4069468.0,4921097.0,61641240.0,69715691.0,-8074451.0,,
streets,714237.0,900377.0,10940184.0,10863180.0,77004.0,,
health,9406528.0,10669957.0,70509938.0,44852930.0,25657009.0,,
sheriff,13644.0,58706.0,10133057.0,11894303.0,-1761246.0,,
records,970505.0,1629454.0,17518893.0,17861927.0,-343034.0,,
court_related_costs,2803199.0,332549.0,23566086.0,27573534.0,-4007447.0,,
miscellaneous,2450816.0,1801816.0,26141099.0,22768998.0,3372101.0,,
total_local_nontax_revenue,24736661.0,33789143.0,362539142.0,351013682.0,15973954.0,-276155.0,100.08
