name,mar_fy22,mar_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,17500.0,497186.0,24363343.0,3495190.0,20868153.0,,
traffic_fines,431170.0,436048.0,2184913.0,2595825.0,-410912.0,-2184913.0,
other_fines,915296.0,963997.0,7904839.0,7806855.0,97983.0,-7904839.0,
reimbursements,870775.0,2566005.0,23179732.0,16033387.0,7146345.0,-23179732.0,
asset_sales,,82833.0,1566834.0,578680.0,988154.0,-1566834.0,
payments_in_lieu_of_taxes,191109.0,2419474.0,1906617.0,4731999.0,-2825383.0,-1906617.0,
cable_television,,1778735.0,14894501.0,11696229.0,3198272.0,-14894501.0,
emergency_medical_services,762252.0,2789458.0,21466213.0,23969406.0,-2503193.0,-21466213.0,
commercial_trash_fee,841378.0,880617.0,17371230.0,15718771.0,1652460.0,-17371230.0,
interest_earnings,-339241.0,692851.0,2720216.0,9834107.0,-7113891.0,,
licenses_and_inspection_fees,8108871.0,7886631.0,63151616.0,54168496.0,8983120.0,-63151616.0,
streets,587313.0,779308.0,9601461.0,8206847.0,1394615.0,-9601461.0,
health,7456774.0,7082304.0,51655474.0,44999937.0,6655537.0,-51655474.0,
sheriff,,9641.0,69418.0,190918.0,-121500.0,-69418.0,
records,3507461.0,2088420.0,17651752.0,14579963.0,3071789.0,-17651752.0,
court_related_costs,3053092.0,1538915.0,16960664.0,14309239.0,2651425.0,-16960664.0,
miscellaneous,3053424.0,2699677.0,13396589.0,16073646.0,-2677057.0,-13396589.0,
total_local_nontax_revenue,29457174.0,35192100.0,290045413.0,248989496.0,41055917.0,78408587.0,78.72
