name,nov_fy23,nov_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,834660.0,802461.0,5168085.0,8266006.0,-3097921.0,,
traffic_fines,203257.0,57352.0,908130.0,1212864.0,-304735.0,,
other_fines,1018901.0,816870.0,4379675.0,4828244.0,-448569.0,,
reimbursements,3208824.0,933377.0,19877419.0,16447808.0,3429612.0,,
asset_sales,,274399.0,571451.0,1432518.0,-861067.0,,
payments_in_lieu_of_taxes,,,1039317.0,1179660.0,-140343.0,,
cable_television,4266794.0,,8809941.0,8082107.0,727833.0,,
emergency_medical_services,587061.0,2575971.0,15873158.0,12988621.0,2884537.0,,
commercial_trash_fee,4272999.0,2254509.0,7442551.0,5125106.0,2317445.0,,
interest_earnings,5985663.0,2509794.0,27440485.0,2877190.0,24563295.0,,
licenses_and_inspection_fees,4809668.0,8060906.0,25668589.0,29375912.0,-3707323.0,,
streets,685365.0,825152.0,5350276.0,6197220.0,-846944.0,,
health,2744933.0,2362358.0,22520366.0,24548854.0,-2028488.0,,
sheriff,,,-7506.0,-2920.0,-4586.0,,
records,1159532.0,1363455.0,7531313.0,6273010.0,1258303.0,,
court_related_costs,1859919.0,640784.0,9969613.0,7396161.0,2573452.0,,
miscellaneous,7424852.0,434869.0,13785297.0,5133574.0,8651723.0,,
total_local_nontax_revenue,39062427.0,23912258.0,176328159.0,141361935.0,34966225.0,196436841.0,47.3
