name,may_fy19,may_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,7884212.0,6110434.0,67636380.0,59377409.0,8258971.0,-7960380.0,113.34
traffic_fines,438760.0,488554.0,4361429.0,4609346.0,-247917.0,2838571.0,60.58
payments_in_lieu_of_taxes,256574.0,-1408.0,3145603.0,3834074.0,-688471.0,-545603.0,120.98
cable_television,3450504.0,5546945.0,20001954.0,23068351.0,-3066397.0,4361046.0,82.1
emergency_medical_services,3625373.0,3411878.0,35391615.0,37622819.0,-2231204.0,4608385.0,88.48
court_related_costs,4461418.0,5944927.0,44662098.0,43108625.0,1553473.0,-1662098.0,103.87
interest_earnings,3439972.0,144016.0,16334944.0,3236038.0,13098906.0,-13565944.0,589.92
asset_sales,341665.0,116221.0,1299570.0,1501863.0,-202293.0,-49570.0,103.97
all_other_local_nontaxes,15684529.0,6492823.0,124390943.0,110173050.0,14217893.0,-13564943.0,112.24
total_local_nontax_revenue,39583007.0,28254390.0,317224536.0,286531575.0,30692961.0,-25540536.0,108.76
