name,jul_fy21,jul_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,522725.0,316522.0,522725.0,316522.0,206203.0,,
other_fines,499118.0,983009.0,499118.0,983009.0,-483891.0,,
reimbursements,2411089.0,2664014.0,2411089.0,2664014.0,-252925.0,,
asset_sales,28600.0,191077.0,28600.0,191077.0,-162477.0,,
payments_in_lieu_of_taxes,458249.0,947675.0,458249.0,947675.0,-489426.0,,
cable_television,,,,,,,
emergency_medical_services,2979720.0,3891189.0,2979720.0,3891189.0,-911468.0,,
commercial_trash_fee,775245.0,892937.0,775245.0,892937.0,-117692.0,,
interest_earnings,69131.0,14228.0,69131.0,14228.0,54903.0,,
licenses_and_inspection_fees,4784645.0,5859110.0,4784645.0,5859110.0,-1074466.0,,
streets,873086.0,1094188.0,873086.0,1094188.0,-221103.0,,
health,4710052.0,9001713.0,4710052.0,9001713.0,-4291661.0,,
sheriff,178691.0,3780384.0,178691.0,3780384.0,-3601693.0,,
records,1240074.0,1545903.0,1240074.0,1545903.0,-305829.0,,
court_related_costs,1607472.0,1665962.0,1607472.0,1665962.0,-58491.0,,
miscellaneous,1695250.0,1305515.0,1695250.0,1305515.0,389735.0,,
total_local_nontax_revenue,22833145.0,34153427.0,22833145.0,34153427.0,-11320282.0,335056855.0,6.38
