name,jan_fy15,jan_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,2526544.0,1861999.0,22960187.0,20481850.0,2478337.0,26504813.0,46.42
traffic_fines,550120.0,577715.0,3610617.0,4045478.0,-434861.0,4389383.0,45.13
payments_in_lieu_of_taxes,191367.0,182404.0,899789.0,793237.0,106552.0,1500211.0,37.49
cable_television,4073176.0,4369983.0,14987261.0,14742336.0,244925.0,7147739.0,67.71
emergency_medical_services,3195600.0,3131968.0,21199848.0,20580475.0,619373.0,16200152.0,56.68
court_related_costs,3541710.0,3493995.0,26595080.0,26843683.0,-248603.0,20254920.0,56.77
interest_earnings,57237.0,65577.0,1176766.0,927834.0,248932.0,692234.0,62.96
asset_sales,192015.0,37969.0,1059740.0,389395.0,670345.0,190260.0,84.78
all_other_local_nontaxes,11655199.0,10016646.0,64829319.0,66626190.0,-1796871.0,736513681.0,8.09
total_local_nontax_revenue,25982968.0,23738256.0,157318607.0,155430478.0,1888129.0,813393393.0,16.21
