name,jan_fy21,jan_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,223677.0,325273.0,1956435.0,2309289.0,-352854.0,2843565.0,40.76
other_fines,826854.0,955637.0,5387897.0,9898881.0,-4510984.0,6737103.0,44.44
reimbursements,4433075.0,-240192.0,13972564.0,19788959.0,-5816395.0,8890436.0,61.11
asset_sales,,,491093.0,868372.0,-377279.0,1958907.0,20.04
payments_in_lieu_of_taxes,,750675.0,1578235.0,2508604.0,-930369.0,8031765.0,16.42
cable_television,,,5057682.0,10803265.0,-5745583.0,17324318.0,22.6
emergency_medical_services,2662448.0,3431090.0,18795267.0,26434827.0,-7639560.0,22204733.0,45.84
commercial_trash_fee,3724434.0,1912287.0,13829159.0,10644273.0,3184886.0,3000841.0,82.17
interest_earnings,-1031648.0,1905581.0,9505908.0,8615144.0,890764.0,-6863908.0,359.8
licenses_and_inspection_fees,6004653.0,5633641.0,37858828.0,37109837.0,748991.0,30131172.0,55.68
streets,312866.0,646095.0,6026247.0,7378889.0,-1352642.0,2618753.0,69.71
health,617170.0,6525143.0,30751477.0,40342122.0,-9590645.0,38686523.0,44.29
sheriff,-2080.0,9135.0,181277.0,7913741.0,-7732464.0,8768723.0,2.03
records,1464599.0,2153850.0,11208650.0,11600119.0,-391469.0,7541350.0,59.78
court_related_costs,1392083.0,2046229.0,11218440.0,16223916.0,-5005476.0,14286560.0,43.99
miscellaneous,2560652.0,1957053.0,14633086.0,13653415.0,979671.0,9276914.0,61.2
total_local_nontax_revenue,23188781.0,28011497.0,182452245.0,226093653.0,-43641408.0,175437755.0,50.98
