name,may_fy22,may_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,60000.0,2653920.0,24423418.0,6252285.0,18171133.0,,
traffic_fines,217229.0,339940.0,2683484.0,3347354.0,-663870.0,-2683484.0,
other_fines,495623.0,676884.0,9253398.0,9587929.0,-334531.0,-9253398.0,
reimbursements,2345687.0,2090574.0,26812402.0,18850222.0,7962180.0,-26812402.0,
asset_sales,560727.0,,2127562.0,608951.0,1518611.0,-2127562.0,
payments_in_lieu_of_taxes,106817.0,32627.0,4453812.0,4963499.0,-509688.0,-4453812.0,
cable_television,4436873.0,3316422.0,19331374.0,15012651.0,4318722.0,-19331374.0,
emergency_medical_services,6894354.0,2336967.0,32460694.0,29298395.0,3162299.0,-32460694.0,
commercial_trash_fee,1351523.0,1454848.0,19512078.0,17901990.0,1610088.0,-19512078.0,
interest_earnings,573731.0,919815.0,2337176.0,13004119.0,-10666944.0,,
licenses_and_inspection_fees,7283066.0,5264818.0,77118529.0,66457245.0,10661284.0,-77118529.0,
streets,1148542.0,1079602.0,11722557.0,9900911.0,1821646.0,-11722557.0,
health,7823348.0,4623797.0,67147614.0,55556967.0,11590647.0,-67147614.0,
sheriff,,409.0,69418.0,190647.0,-121229.0,-69418.0,
records,1991103.0,1805443.0,22265286.0,18083575.0,4181710.0,-22265286.0,
court_related_costs,2016650.0,3481604.0,20741303.0,19719741.0,1021561.0,-20741303.0,
miscellaneous,942367.0,10958175.0,17618847.0,28331057.0,-10712210.0,-17618847.0,
total_local_nontax_revenue,38247639.0,41035846.0,360078950.0,317067539.0,43011411.0,8375050.0,97.73
