name,may_fy17,may_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6050688.0,4489333.0,54328725.0,49487084.0,4841641.0,-2725.0,100.01
traffic_fines,422840.0,447350.0,4696574.0,5470227.0,-773653.0,1703426.0,73.38
payments_in_lieu_of_taxes,4513.0,64829.0,2668299.0,2789147.0,-120848.0,-68299.0,102.63
cable_television,5964549.0,9844973.0,24532300.0,22788377.0,1743923.0,334700.0,98.65
emergency_medical_services,1991875.0,3433194.0,37777411.0,38785983.0,-1008572.0,6222589.0,85.86
court_related_costs,25515772.0,3605226.0,43589028.0,41201720.0,2387308.0,-2139028.0,105.16
interest_earnings,86481.0,-687858.0,3791594.0,4751592.0,-959998.0,-2291594.0,252.77
asset_sales,87219.0,,1916981.0,5095504.0,-3178523.0,137019.0,93.33
all_other_local_nontaxes,-7384739.0,7391393.0,113168641.0,103477265.0,9691376.0,-116641.0,100.1
total_local_nontax_revenue,32739198.0,28588440.0,286469553.0,273846899.0,12622654.0,3779447.0,98.7
