name,jan_fy22,jan_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,492937.0,223677.0,1705802.0,1956435.0,-250634.0,-1705802.0,
other_fines,951436.0,826854.0,6301106.0,5387897.0,913210.0,-6301106.0,
reimbursements,830778.0,4433075.0,19612363.0,13972564.0,5639799.0,-19612363.0,
asset_sales,,,1566756.0,491093.0,1075663.0,-1566756.0,
payments_in_lieu_of_taxes,33848.0,,1213508.0,1578235.0,-364728.0,-1213508.0,
cable_television,295498.0,,13208790.0,5057682.0,8151108.0,-13208790.0,
emergency_medical_services,2904117.0,2662448.0,18603460.0,18795267.0,-191807.0,-18603460.0,
commercial_trash_fee,2996601.0,3724434.0,15330022.0,13829159.0,1500863.0,-15330022.0,
interest_earnings,192574.0,-1031648.0,3124840.0,9505908.0,-6381068.0,,
licenses_and_inspection_fees,5482176.0,6004653.0,47447794.0,37858828.0,9588967.0,-47447794.0,
streets,500926.0,312866.0,8038807.0,6026247.0,2012560.0,-8038807.0,
health,6456492.0,617170.0,39553557.0,30751477.0,8802080.0,-39553557.0,
sheriff,,-2080.0,-2920.0,181277.0,-184197.0,2920.0,
records,2858835.0,1464599.0,11672466.0,11208650.0,463816.0,-11672466.0,
court_related_costs,2932304.0,1392083.0,11923157.0,11218440.0,704717.0,-11923157.0,
miscellaneous,907657.0,2560652.0,23062429.0,14633086.0,8429343.0,-23062429.0,
total_local_nontax_revenue,27836178.0,23188781.0,222361936.0,182452245.0,39909691.0,151902064.0,59.41
