name,nov_fy16,nov_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,2749675.0,2574213.0,18656724.0,16627578.0,2029146.0,34354276.0,35.19
traffic_fines,344546.0,249704.0,2472035.0,2379850.0,92185.0,4527965.0,35.31
payments_in_lieu_of_taxes,,,777639.0,708423.0,69216.0,1622361.0,32.4
cable_television,5537807.0,1169844.0,11298040.0,10914085.0,383955.0,10143960.0,52.69
emergency_medical_services,3633484.0,3275040.0,16067704.0,15347928.0,719776.0,21332296.0,42.96
court_related_costs,3823725.0,3873212.0,19090432.0,19604711.0,-514279.0,22109568.0,46.34
interest_earnings,49765.0,44814.0,3314895.0,385699.0,2929196.0,-1345895.0,168.35
asset_sales,560.0,1826.0,3924149.0,492974.0,3431175.0,1325851.0,74.75
all_other_local_nontaxes,6198189.0,8386062.0,45529066.0,45249698.0,279368.0,60605934.0,42.9
total_local_nontax_revenue,22337751.0,19574715.0,121130684.0,111710946.0,9419738.0,154676316.0,43.92
