name,may_fy18,may_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6110434.0,6050688.0,59377409.0,54328725.0,5048684.0,2978591.0,95.22
traffic_fines,488554.0,422840.0,4609346.0,4696574.0,-87228.0,2190654.0,67.78
payments_in_lieu_of_taxes,-1408.0,4513.0,3834074.0,2668299.0,1165775.0,-1234074.0,147.46
cable_television,5546945.0,5964549.0,23068351.0,24532300.0,-1463949.0,167649.0,99.28
emergency_medical_services,3411878.0,1991875.0,37622819.0,37777411.0,-154592.0,5152181.0,87.96
court_related_costs,5944927.0,25515772.0,43108625.0,43589028.0,-480403.0,-858625.0,102.03
interest_earnings,144016.0,86481.0,3236038.0,3791594.0,-555556.0,-667038.0,125.96
asset_sales,116221.0,87219.0,1501863.0,1916981.0,-415118.0,-251863.0,120.15
all_other_local_nontaxes,6492823.0,-7384739.0,110173050.0,113148216.0,-2975166.0,16665950.0,86.86
total_local_nontax_revenue,28254390.0,32739198.0,286531575.0,286449128.0,82447.0,24143425.0,92.23
