name,mar_fy15,mar_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,9370905.0,8593303.0,36276464.0,35335785.0,940679.0,14913536.0,70.87
traffic_fines,582996.0,702784.0,4761237.0,5329183.0,-567946.0,2238763.0,68.02
payments_in_lieu_of_taxes,1423336.0,1433470.0,2322826.0,2226707.0,96119.0,77174.0,96.78
cable_television,,,16351074.0,15679968.0,671106.0,5783926.0,73.87
emergency_medical_services,2997894.0,2887128.0,26821906.0,26113917.0,707989.0,10578094.0,71.72
court_related_costs,3575080.0,3498569.0,33601971.0,33652368.0,-50397.0,8098029.0,80.58
interest_earnings,59133.0,-19827.0,1265803.0,1283314.0,-17511.0,-165803.0,115.07
asset_sales,619409.0,307923.0,1679244.0,697434.0,981810.0,1820756.0,47.98
all_other_local_nontaxes,11811323.0,5909729.0,81864361.0,85775853.0,-3911492.0,50936639.0,61.64
total_local_nontax_revenue,30440076.0,23313079.0,204944886.0,206094529.0,-1149643.0,94281114.0,68.49
