name,jun_fy23,jun_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,336375.0,2611200.0,8467790.0,27034618.0,-18566828.0,,
traffic_fines,221755.0,232025.0,2289737.0,2915509.0,-625772.0,,
other_fines,878893.0,1177473.0,9813041.0,10430871.0,-617830.0,,
reimbursements,-11436362.0,-728987.0,28688135.0,26083416.0,2604720.0,,
asset_sales,13769.0,10003539.0,1859205.0,12131100.0,-10271895.0,,
payments_in_lieu_of_taxes,109317.0,371075.0,4520768.0,4824887.0,-304119.0,,
cable_television,-300000.0,3106285.0,17364216.0,22437658.0,-5073442.0,,
emergency_medical_services,528324.0,3086688.0,39572114.0,35547382.0,4024732.0,,
commercial_trash_fee,1420142.0,799009.0,21042990.0,20311087.0,731903.0,,
interest_earnings,10023268.0,812795.0,72105159.0,3149971.0,68955188.0,,
licenses_and_inspection_fees,7241425.0,5647765.0,76291740.0,82766293.0,-6474554.0,,
streets,1465101.0,1104132.0,12878226.0,12826689.0,51538.0,,
health,2800646.0,8048786.0,44308304.0,75196400.0,-30888096.0,,
sheriff,,,-7506.0,69418.0,-76924.0,,
records,1514268.0,1551434.0,16553651.0,23816720.0,-7263069.0,,
court_related_costs,2086579.0,2005692.0,23252239.0,22746995.0,505244.0,,
miscellaneous,2978266.0,2809294.0,32835897.0,20428141.0,12407756.0,,
total_local_nontax_revenue,19881766.0,42638204.0,411835708.0,402717155.0,9118553.0,-39070708.0,110.48
