name,oct_fy23,oct_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,11130.0,4515729.0,4333425.0,7463544.0,-3130119.0,,
traffic_fines,203252.0,218608.0,704873.0,1155512.0,-450639.0,,
other_fines,733740.0,784219.0,3360774.0,4011374.0,-650600.0,,
reimbursements,1328520.0,1565229.0,16668595.0,15514431.0,1154165.0,,
asset_sales,520151.0,,571451.0,1158119.0,-586668.0,,
payments_in_lieu_of_taxes,17184.0,,1039317.0,1179660.0,-140343.0,,
cable_television,,,4543147.0,8082107.0,-3538960.0,,
emergency_medical_services,3769996.0,2904242.0,15286097.0,10412650.0,4873447.0,,
commercial_trash_fee,742447.0,717190.0,3169552.0,2870597.0,298954.0,,
interest_earnings,7774031.0,58412.0,21454823.0,367396.0,21087427.0,,
licenses_and_inspection_fees,6347805.0,4998257.0,20858921.0,21315006.0,-456085.0,,
streets,1069569.0,668468.0,4664911.0,5372069.0,-707158.0,,
health,2718159.0,4735952.0,19775434.0,22186495.0,-2411062.0,,
sheriff,,,-7506.0,-2920.0,-4586.0,,
records,1508562.0,1142074.0,6371781.0,4909555.0,1462226.0,,
court_related_costs,1923627.0,1646256.0,8109694.0,6760942.0,1348752.0,,
miscellaneous,1552573.0,601279.0,6360445.0,4693140.0,1667305.0,,
total_local_nontax_revenue,30220746.0,24555916.0,137265732.0,117449677.0,19816055.0,235499268.0,36.82
