name,sep_fy23,sep_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,265.0,1315705.0,4322295.0,2947815.0,1374480.0,,
traffic_fines,144440.0,279823.0,501621.0,936904.0,-435283.0,,
other_fines,744092.0,659328.0,2627034.0,3227155.0,-600120.0,,
reimbursements,6295137.0,3743968.0,15340075.0,13949202.0,1390873.0,,
asset_sales,50461.0,65296.0,51300.0,1158119.0,-1106819.0,,
payments_in_lieu_of_taxes,23993.0,,1022133.0,1179660.0,-157527.0,,
cable_television,3014992.0,,4543147.0,8082107.0,-3538960.0,,
emergency_medical_services,4924127.0,2382712.0,11516100.0,7508407.0,4007693.0,,
commercial_trash_fee,496397.0,609755.0,2427105.0,2153407.0,273697.0,,
interest_earnings,4451672.0,648340.0,13680792.0,308984.0,13371808.0,,
licenses_and_inspection_fees,4035236.0,4762254.0,14511116.0,16316749.0,-1805633.0,,
streets,1048979.0,2238207.0,3595341.0,4703601.0,-1108259.0,,
health,3792185.0,4440922.0,17057274.0,17450543.0,-393268.0,,
sheriff,-300.0,-1120.0,-7506.0,-2920.0,-4586.0,,
records,1376148.0,1259336.0,4863219.0,3767481.0,1095738.0,,
court_related_costs,2361571.0,2180915.0,6186067.0,5153641.0,1032425.0,,
miscellaneous,2086856.0,1095387.0,4807872.0,4052906.0,754966.0,,
total_local_nontax_revenue,34846252.0,25680828.0,107044987.0,92893761.0,14151226.0,265720013.0,28.72
