name,aug_fy15,aug_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3017024.0,3480304.0,6335189.0,6620872.0,-285683.0,43129811.0,12.81
traffic_fines,460503.0,674997.0,1081086.0,1228263.0,-147177.0,6918914.0,13.51
payments_in_lieu_of_taxes,175000.0,171247.0,299372.0,279656.0,19716.0,2100628.0,12.47
cable_television,1099624.0,770314.0,5519200.0,5217209.0,301991.0,16615800.0,24.93
emergency_medical_services,3235686.0,3070987.0,6044168.0,,6044168.0,31355832.0,16.16
court_related_costs,4165417.0,4479325.0,8048352.0,8468138.0,-419786.0,38801648.0,17.18
interest_earnings,236752.0,128246.0,373968.0,203211.0,170757.0,1495032.0,20.01
asset_sales,174.0,60174.0,415180.0,60174.0,355006.0,834820.0,33.21
all_other_local_nontaxes,6816949.0,10493987.0,17486916.0,29604340.0,-12117424.0,783856084.0,2.18
total_local_nontax_revenue,19207129.0,23329581.0,45603431.0,51681863.0,-6078432.0,925108569.0,4.7
