name,apr_fy17,apr_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,22298482.0,22466923.0,642049369,624128933,17920436.0,8444631.0,98.7,current
real_estate,6300806.0,6850700.0,47840737,57320525,-9479788.0,22899263.0,67.63,prior
real_estate,28599288.0,29317623.0,689890106,681449458,8440648.0,31343894.0,95.65,total
school_income,3887046.0,1928437.0,5889232,3930918,1958314.0,-844232.0,116.73,current
school_income,26747553.0,21768576.0,34028231,27028264,6999967.0,1471769.0,95.85,prior
school_income,876857.0,1116446.0,3110398,5608806,-2498408.0,1289602.0,70.69,total
use_and_occupancy,27624410.0,22885022.0,37138629,32637070,4501559.0,2761371.0,93.08,current
use_and_occupancy,10447620.0,10589551.0,108055430,110744085,-2688655.0,23944570.0,81.86,prior
use_and_occupancy,553327.0,338212.0,5543035,6593872,-1050837.0,1956965.0,73.91,total
liquor,11000947.0,10927763.0,113598465,117337957,-3739492.0,25901535.0,81.43,current
liquor,4557979.0,4525115.0,50863331,46950859,3912472.0,9136669.0,84.77,prior
liquor,756668.0,479414.0,7249902,5551644,,,,total
pilots,5314647.0,5004529.0,58113233,52502503,5610730.0,7536767.0,88.52,total
other_nontax,,,4619,4619,,,,total
total_revenue,76426338.0,70063374.0,904634284,887862525,16771759.0,66694716.0,93.13,total
