name,apr_fy19,apr_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,32499366.0,35977774.0,782579120.0,722747867,59831253,15638120.0,102.0,current
real_estate,6261756.0,5663285.0,43719969.0,43958495,238526,2892031.0,94.0,prior
real_estate,38761122.0,41641059.0,826299089.0,766706362,59592727,12746089.0,102.0,total
school_income,3583466.0,1773439.0,8343633.0,4547023,3796610,5112633.0,258.0,current
school_income,32704132.0,16653571.0,39152094.0,29914554,9237540,3961906.0,91.0,prior
school_income,248818.0,847036.0,2737919.0,4662431,1924512,2196081.0,55.0,total
use_and_occupancy,32952950.0,17500607.0,41890013.0,34576985,7313028,6157987.0,87.0,current
use_and_occupancy,13585750.0,12921254.0,146985222.0,140345119,6640103,19838778.0,88.0,prior
use_and_occupancy,976547.0,854419.0,6848880.0,6208511,640369,1951120.0,78.0,total
liquor,14562297.0,13775673.0,153834102.0,146553630,7280472,21789898.0,88.0,current
liquor,5554502.0,4941081.0,58198256.0,55572863,2625393,14001744.0,81.0,prior
liquor,351286.0,468167.0,5039888.0,6442790,1402902,3060112.0,62.0,total
pilots,5905788.0,5409248.0,63238144.0,62015653,1222491,17061856.0,79.0,total
other_nontax,,,,4619,4619,,,total
total_revenue,95765623.0,80100026.0,1093604981.0,1014404272,79200709,27151019.0,98.0,total
