dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,2008,2500000.0,,34,Art Museum,34
Atwater Kent Museum,264000.0,6000.0,0.0,0.0,0.0,0.0,0.0,2008,270000.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,7565233.0,596944.0,92619.0,0.0,0.0,0.0,0.0,2008,8254796.0,,61,City Controller's Office,61
Board of Building Standards,112733.0,0.0,59.0,0.0,0.0,0.0,0.0,2008,112792.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,540000.0,425000.0,35000.0,0.0,0.0,0.0,0.0,2008,1000000.0,,45,Board of Ethics,45
Board of L.&I. Review,198108.0,25969.0,628.0,0.0,0.0,0.0,0.0,2008,224705.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7894854.0,338186.0,144702.0,0.0,0.0,0.0,0.0,2008,8377742.0,BRT,63,Board of Revision of Taxes,63
Camp William Penn,204548.0,96087.0,43835.0,612.0,0.0,0.0,0.0,2008,345082.0,,19,Camp William Penn,19
Capital Program Office,1599997.0,349562.0,89184.0,0.0,0.0,572000.0,0.0,2008,2610743.0,,07,Capital Program Office,07
City Commissioners,5345789.0,3048011.0,601797.0,0.0,0.0,0.0,0.0,2008,8995597.0,City Commissioners,73,City Commissioner's Office,73
City Council,12003567.0,3488820.0,859535.0,12269000.0,0.0,0.0,0.0,2008,28620922.0,,01,City Council,01
City Planning,3188645.0,364813.0,60738.0,0.0,0.0,0.0,0.0,2008,3614196.0,,51,City Planning Commission,51
City Representative/Commerce,1517912.0,6294347.0,93895.0,2200000.0,0.0,0.0,0.0,2008,10106154.0,City Rep,41,Office of the City Representative,41
City Treasurer,672992.0,73088.0,24224.0,0.0,0.0,0.0,0.0,2008,770304.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,142647.0,24500.0,2062.0,0.0,0.0,0.0,0.0,2008,169209.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4981615.0,28734.0,57342.0,0.0,0.0,0.0,0.0,2008,5067691.0,,64,Clerk of Quarter Sessions,64
Commerce-Economic Stimulus,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,2008,4000000.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,24467924.0,0.0,0.0,0.0,2008,24467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,32310293.0,2008,32310293.0,,42CC,Commerce: Convention Center Subsidy,42
Debt Service (Sinking Fund),0.0,88756864.0,0.0,0.0,101035199.0,0.0,0.0,2008,189792063.0,Sinking Fund,37,Sinking Fund Commission,37
