dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0,2012,2300000.0,,34,Art Museum,34
Atwater Kent Museum,218630.0,0.0,0.0,50000.0,0.0,0.0,0.0,2012,268630.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,7033602.0,522450.0,0.0,0.0,0.0,0.0,0.0,2012,7556052.0,,61,City Controller's Office,61
Board of Building Standards,71542.0,0.0,59.0,0.0,0.0,0.0,0.0,2012,71601.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,700000.0,96000.0,14000.0,0.0,0.0,0.0,0.0,2012,810000.0,,45,Board of Ethics,45
Board of L.&I. Review,140645.0,15076.0,0.0,0.0,0.0,0.0,0.0,2012,155721.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,687073.0,20200.0,15727.0,0.0,0.0,0.0,0.0,2012,723000.0,BRT,63,Board of Revision of Taxes,63
City Commissioners,5511210.0,3051350.0,541617.0,0.0,0.0,0.0,0.0,2012,9104177.0,City Commissioners,73,City Commissioner's Office,73
City Council,12283837.0,1905600.0,859535.0,100.0,0.0,100.0,100.0,2012,15049272.0,,01,City Council,01
City Planning,2136956.0,84592.0,35652.0,0.0,0.0,0.0,0.0,2012,2257200.0,,51,City Planning Commission,51
City Representative,338082.0,520584.0,49100.0,0.0,0.0,0.0,0.0,2012,907766.0,City Rep,41,Office of the City Representative,41
City Treasurer,745937.0,136538.0,22224.0,0.0,0.0,0.0,0.0,2012,904699.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,139309.0,29500.0,1500.0,0.0,0.0,0.0,0.0,2012,170309.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,0.0,,64,Clerk of Quarter Sessions,64
Commerce,1761678.0,486481.0,26654.0,0.0,0.0,0.0,0.0,2012,2274813.0,Commerce,42,Office of the Director of Commerce,42
Commerce-Economic Stimulus,0.0,1372143.0,0.0,0.0,0.0,0.0,0.0,2012,1372143.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,25409207.0,0.0,0.0,0.0,2012,25409207.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,2012,15000000.0,,42CC,Commerce: Convention Center Subsidy,42
Director of Finance,7593274.0,4255961.0,104525.0,750000.0,0.0,0.0,0.0,2012,12703760.0,Finance,35,Office of the Director of Finance,35
District Attorney,28907203.0,1645672.0,502121.0,0.0,0.0,0.0,0.0,2012,31054996.0,DAO,69,District Attorney's Office,69
Division of Technology,17514280.0,42344688.0,4083783.0,0.0,0.0,0.0,0.0,2012,63942751.0,OIT,04,Office of Innovation and Technology,04
Finance-Contribution  to School District,0.0,0.0,0.0,48930000.0,0.0,0.0,0.0,2012,48930000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,1022702609.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1022702609.0,,35EB,Finance: Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,0.0,,35PGW,Finance: PGW Reimbursement,35
Fire,168444509.0,6436917.0,8171113.0,0.0,0.0,6979411.0,0.0,2012,190031950.0,Fire,13,Fire Department,13
First Judicial District,84859031.0,21955430.0,4002862.0,0.0,0.0,0.0,0.0,2012,110817323.0,FJD,84,First Judicial District,84
Fleet Management,15824382.0,4864396.0,24463211.0,0.0,0.0,0.0,0.0,2012,45151989.0,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Lease/Purch.,0.0,4500000.0,4000000.0,0.0,0.0,0.0,0.0,2012,8500000.0,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,29518037.0,2417666.0,1927659.0,0.0,0.0,0.0,0.0,2012,33863362.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,2012,25000.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,385995.0,980.0,809.0,0.0,0.0,0.0,0.0,2012,387784.0,,32,Historical Commission,32
Human Relations,1991572.0,34657.0,13031.0,0.0,0.0,0.0,0.0,2012,2039260.0,Human Relations,54,Commission on Human Relations,54
Human Services (1),42292544.0,68440461.0,1201765.0,0.0,0.0,0.0,0.0,2012,111934770.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,33120000.0,0.0,0.0,0.0,2012,33120000.0,,35IN,Finance: Indemnities,35
Labor Relations,540979.0,3277.0,8160.0,0.0,0.0,0.0,0.0,2012,552416.0,,03,Labor,03
Law,6685874.0,6174037.0,259334.0,0.0,0.0,0.0,0.0,2012,13119245.0,Law,44,Law Department,44
Legal Services,0.0,37566187.0,0.0,0.0,0.0,0.0,0.0,2012,37566187.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,14344790.0,7132502.0,303613.0,0.0,0.0,0.0,0.0,2012,21780905.0,L&I,26,Department of Licenses and Inspections,26
Managing Director,14673379.0,7777072.0,521819.0,0.0,0.0,0.0,0.0,2012,22972270.0,MDO,10,Managing Director's Office,10
Mayor - Mural Arts Program,446000.0,614000.0,0.0,0.0,0.0,0.0,0.0,2012,1060000.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,2012,200000.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,3090676.0,650336.0,45903.0,0.0,0.0,0.0,0.0,2012,3786915.0,Mayor,05,Mayor's Office,05
Mayor's Office of Transportation,433677.0,46323.0,0.0,0.0,0.0,0.0,0.0,2012,480000.0,,46,Mayor's Office of Transportation and Utilities,46
Office of Behavioral Health and  Intellectual Disability,1392261.0,12879311.0,0.0,0.0,0.0,0.0,0.0,2012,14271572.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Human Resources,4341325.0,822070.0,64932.0,0.0,0.0,0.0,0.0,2012,5228327.0,OHR,56,Office of Human Resources,56
Office of Property Assessment,10421886.0,960278.0,358532.0,0.0,0.0,0.0,0.0,2012,11740696.0,OPA,59,Office of Property Assessment,59
Office of Supportive Housing,5852567.0,30237138.0,344127.0,32421.0,0.0,0.0,0.0,2012,36466253.0,OHS,24,Office of Homeless Services,24
Office of the Inspector General,1138201.0,129375.0,13875.0,0.0,0.0,0.0,0.0,2012,1281451.0,OIG,48,Office of the Inspector General,48
Parks and Recreation (2),36194183.0,4858507.0,2223235.0,3050000.0,0.0,0.0,0.0,2012,46325925.0,Parks & Recreation,16,Department of Parks and Recreation,16
Police,534842399.0,7114147.0,8729698.0,0.0,0.0,0.0,0.0,2012,550686244.0,Police,11,Police Department,11
Prisons,117058997.0,104043372.0,4768744.0,1301757.0,0.0,0.0,0.0,2012,227172870.0,Prisons,23,Philadelphia Prison System,23
Procurement,2236253.0,1866267.0,49054.0,0.0,0.0,0.0,0.0,2012,4151574.0,Procurement,38,Procurement Department,38
Public Health,39388530.0,65719903.0,4817737.0,0.0,0.0,500000.0,0.0,2012,110426170.0,Public Health,14,Department of Public Health,14
Public Property,6734507.0,24709529.0,996962.0,0.0,0.0,19586435.0,0.0,2012,52027433.0,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,66360000.0,0.0,0.0,0.0,0.0,0.0,2012,66360000.0,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,18221209.0,0.0,0.0,0.0,0.0,0.0,2012,18221209.0,,20SR,Public Property: Space Rentals,20
Public Property-Utilities,0.0,32224809.0,0.0,0.0,0.0,0.0,0.0,2012,32224809.0,,20U,Public Property: Utilities,20
Records,2845219.0,1083779.0,78758.0,1456.0,0.0,0.0,0.0,2012,4009212.0,Records,31,Department of Records,31
Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,2012,250000.0,,35R,Finance: Refunds,35
Register of Wills,3290582.0,75486.0,33210.0,0.0,0.0,0.0,0.0,2012,3399278.0,,68,Register of Wills,68
Revenue,15563214.0,3815439.0,521062.0,0.0,0.0,0.0,0.0,2012,19899715.0,Revenue,36,Department of Revenue,36
Service (Sinking Fund),0.0,93167343.0,0.0,0.0,130739164.0,0.0,0.0,2012,223906507.0,Sinking Fund,37,Sinking Fund Commission,37
Sheriff,12322083.0,445042.0,321532.0,0.0,0.0,0.0,0.0,2012,13088657.0,Sheriff,70,Office of the Sheriff,70
Streets,21313190.0,6247371.0,2841750.0,5000.0,0.0,0.0,0.0,2012,30407311.0,Streets,12,Streets Department,12
Streets Sanitation,45145923.0,40143517.0,1608212.0,48171.0,0.0,4000000.0,0.0,2012,90945823.0,,12S,Streets: Sanitation,12
Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,2012,171518.0,,35WF,Finance: Witness Fees,35
Youth Commission,50000.0,43312.0,2688.0,0.0,0.0,0.0,0.0,2012,96000.0,,47,Youth Commission,47
Zoning Bd. of Adj.,320960.0,41796.0,0.0,0.0,0.0,0.0,0.0,2012,362756.0,ZBA,30,Zoning Board of Adjustments,30
Zoning Code Commission,122500.0,100000.0,2500.0,0.0,0.0,0.0,0.0,2012,225000.0,,57,Zoning Code Commission,57
of Arts & Culture & the Creative  Economy,198750.0,392800.0,8000.0,2070688.0,0.0,0.0,0.0,2012,2670238.0,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy",58
of Housing and Comm. Dev.,0.0,3020000.0,0.0,0.0,0.0,0.0,0.0,2012,3020000.0,,06,Office of Housing and Community Development,06
