dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2300000.0,0.0,0.0,2011,0,2300000.0,,34,Art Museum,34
Atwater Kent Museum,198630.0,0.0,0.0,50000.0,0.0,0.0,2011,0,248630.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,6889116.0,402450.0,0.0,0.0,0.0,0.0,2011,0,7291566.0,,61,City Controller's Office,61
Board of Building Standards,71542.0,0.0,59.0,0.0,0.0,0.0,2011,0,71601.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,681100.0,110400.0,18500.0,0.0,0.0,0.0,2011,0,810000.0,,45,Board of Ethics,45
Board of L.&I. Review,140645.0,15076.0,0.0,0.0,0.0,0.0,2011,0,155721.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,6135579.0,264048.0,102932.0,0.0,0.0,0.0,2011,0,6502559.0,BRT,63,Board of Revision of Taxes,63
Capital Program Office,0.0,0.0,0.0,0.0,0.0,0.0,2011,0,0.0,,07,Capital Program Office,07
City Commissioners,5511210.0,2741350.0,541617.0,0.0,0.0,0.0,2011,0,8794177.0,City Commissioners,73,City Commissioner's Office,73
City Council,12283837.0,1905600.0,859535.0,0.0,0.0,0.0,2011,0,15048972.0,,01,City Council,01
City Planning,2425995.0,72491.0,52763.0,0.0,0.0,0.0,2011,0,2551249.0,,51,City Planning Commission,51
City Representative,338082.0,554409.0,53100.0,0.0,0.0,0.0,2011,0,945591.0,City Rep,41,Office of the City Representative,41
City Treasurer,745937.0,136538.0,22224.0,0.0,0.0,0.0,2011,0,904699.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,139309.0,29500.0,1500.0,0.0,0.0,0.0,2011,0,170309.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4471844.0,25861.0,51608.0,0.0,0.0,0.0,2011,0,4549313.0,,64,Clerk of Quarter Sessions,64
Commerce,1817402.0,345109.0,27765.0,0.0,0.0,0.0,2011,0,2190276.0,Commerce,42,Office of the Director of Commerce,42
Commerce-Economic Stimulus,0.0,1452386.0,0.0,0.0,0.0,0.0,2011,0,1452386.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,26467924.0,0.0,0.0,2011,0,26467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,2011,0,15000000.0,,42CC,Commerce: Convention Center Subsidy,42
Debt Service (Sinking Fund),0.0,89640843.0,0.0,0.0,121394847.0,0.0,2011,0,211035690.0,Sinking Fund,37,Sinking Fund Commission,37
Director of Finance,7799767.0,4258961.0,112914.0,0.0,0.0,0.0,2011,0,12171642.0,Finance,35,Office of the Director of Finance,35
District Attorney,26914328.0,1645672.0,502121.0,0.0,0.0,0.0,2011,0,29062121.0,DAO,69,District Attorney's Office,69
Division of Technology,17514280.0,42948900.0,6968852.0,0.0,0.0,0.0,2011,0,67432032.0,OIT,04,Office of Innovation and Technology,04
Finance-Employee Benefits,964887316.0,0.0,0.0,0.0,0.0,0.0,2011,0,964887316.0,,35EB,Finance: Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2011,0,18000000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,169151934.0,6568283.0,6516290.0,0.0,0.0,6525583.0,2011,0,188762090.0,Fire,13,Fire Department,13
First Judicial District,75934061.0,20894603.0,2268319.0,0.0,0.0,0.0,2011,0,99096983.0,FJD,84,First Judicial District,84
Fleet Management,16074382.0,5183396.0,26179711.0,0.0,0.0,0.0,2011,0,47437489.0,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Lease/Purch.,0.0,1000000.0,3000000.0,0.0,0.0,0.0,2011,0,4000000.0,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,29268037.0,1772666.0,1927659.0,0.0,0.0,0.0,2011,0,32968362.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,2011,0,25000.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,385995.0,11906.0,6041.0,0.0,0.0,0.0,2011,0,403942.0,,32,Historical Commission,32
Human Relations,2017263.0,36100.0,13574.0,0.0,0.0,0.0,2011,0,2066937.0,Human Relations,54,Commission on Human Relations,54
Human Services,95737121.0,478358813.0,2269539.0,0.0,0.0,0.0,2011,0,576365473.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,42000000.0,0.0,0.0,2011,0,42000000.0,,35IN,Finance: Indemnities,35
Labor Relations,511436.0,3414.0,8500.0,0.0,0.0,0.0,2011,0,523350.0,,03,Labor,03
Law,10586545.0,7813911.0,265024.0,0.0,0.0,0.0,2011,0,18665480.0,Law,44,Law Department,44
Legal Services,0.0,35941187.0,0.0,0.0,0.0,0.0,2011,0,35941187.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,14710053.0,8026422.0,332450.0,0.0,0.0,0.0,2011,0,23068925.0,L&I,26,Department of Licenses and Inspections,26
Managing Director,12896469.0,4097385.0,989982.0,0.0,0.0,0.0,2011,0,17983836.0,MDO,10,Managing Director's Office,10
Mayor - Mural Arts Program,475000.0,525000.0,0.0,0.0,0.0,0.0,2011,0,1000000.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,2011,0,200000.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,3104922.0,684669.0,49293.0,0.0,0.0,0.0,2011,0,3838884.0,Mayor,05,Mayor's Office,05
Mayor's Office of Transportation,500000.0,0.0,0.0,0.0,0.0,0.0,2011,0,500000.0,,46,Mayor's Office of Transportation and Utilities,46
Office of Behavioral Health  Mental Retardation Services,1549549.0,12722023.0,0.0,0.0,0.0,0.0,2011,0,14271572.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Community Services,0.0,0.0,0.0,0.0,0.0,0.0,2011,0,0.0,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Office of Housing and Comm. Dev.,0.0,2800000.0,0.0,0.0,0.0,0.0,2011,0,2800000.0,,06,Office of Housing and Community Development,06
Office of Human Resources,4396755.0,724070.0,64932.0,0.0,0.0,0.0,2011,0,5185757.0,OHR,56,Office of Human Resources,56
Office of Supportive Housing,6339476.0,31727003.0,372029.0,35050.0,0.0,0.0,2011,0,38473558.0,OHS,24,Office of Homeless Services,24
Office of the Inspector General,1289677.0,75000.0,15000.0,0.0,0.0,0.0,2011,0,1379677.0,OIG,48,Office of the Inspector General,48
