dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2550000.0,0.0,0.0,0.0,2550000.0,2019,,34,Art Museum,34
Atwater Kent Museum,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2019,Atwater Kent,18,Atwater Kent Museum,18
Auditing (City Controller),8370558.0,497450.0,25000.0,0.0,0.0,0.0,0.0,8893008.0,2019,,61,City Controller's Office,61
Board of Ethics,964792.0,96000.0,14000.0,0.0,0.0,0.0,0.0,1074792.0,2019,,45,Board of Ethics,45
Board of Revision of Taxes,945976.0,85200.0,15727.0,0.0,0.0,0.0,0.0,1046903.0,2019,BRT,63,Board of Revision of Taxes,63
City Commissioners,5926203.0,3884061.0,541617.0,0.0,0.0,0.0,0.0,10351881.0,2019,City Commissioners,73,City Commissioner's Office,73
City Council,14824858.0,1921885.0,478650.0,100.0,0.0,100.0,100.0,17225693.0,2019,,01,City Council,01
City Planning Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,,51,City Planning Commission,51
City Representative,704470.0,399779.0,54000.0,0.0,0.0,0.0,0.0,1158249.0,2019,City Rep,41,Office of the City Representative,41
City Treasurer,1046647.0,623444.0,22224.0,0.0,0.0,0.0,0.0,1692315.0,2019,City Treasurer,40,Office of the City Treasurer,40
Civil Service Commission,167462.0,29500.0,1094.0,0.0,0.0,0.0,16447372.0,16645428.0,2019,,55,Civil Service Commission,55
Commerce,2120079.0,3366925.0,26654.0,500000.0,0.0,0.0,0.0,6013658.0,2019,Commerce,42,Office of the Director of Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2019,,42CC,Commerce: Convention Center Subsidy,42
Commerce-Economic Stimulus,0.0,2397004.0,0.0,0.0,0.0,0.0,0.0,2397004.0,2019,,42ES,Commerce: Economic Stimulus,42
District Attorney,37168476.0,4094296.0,529521.0,0.0,0.0,0.0,0.0,41792293.0,2019,DAO,69,District Attorney's Office,69
Finance,7765535.0,3029912.0,103109.0,4525000.0,0.0,8366704.0,54573000.0,78363260.0,2019,Finance,35,Office of the Director of Finance,35
Finance-Community College Subsidy,0.0,0.0,0.0,32409207.0,0.0,0.0,0.0,32409207.0,2019,,35CC,Finance: Community College Subsidy,35
Finance-Employee Benefits,1360238207.0,0.0,0.0,0.0,0.0,0.0,0.0,1360238207.0,2019,,35EB,Finance: Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,25000.0,2019,,35HA,Finance: Hero Scholarship Awards,35
Finance-Indemnities,0.0,0.0,0.0,48780000.0,0.0,0.0,0.0,48780000.0,2019,,35IN,Finance: Indemnities,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2019,,35R,Finance: Refunds,35
Finance-Reg #32,2650000.0,0.0,0.0,0.0,0.0,0.0,0.0,2650000.0,2019,,35R32,Finance: Reg #32,35
Finance-School District Contribution,0.0,0.0,0.0,180870541.0,0.0,0.0,0.0,180870541.0,2019,,35SD,Finance: School District Contribution,35
Finance-Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,171518.0,2019,,35WF,Finance: Witness Fees,35
Fire,263307745.0,6046121.0,8259314.0,0.0,0.0,0.0,0.0,277613180.0,2019,Fire,13,Fire Department,13
First Judicial District,98844666.0,8480039.0,2231868.0,0.0,0.0,0.0,0.0,109556573.0,2019,FJD,84,First Judicial District,84
Fleet Management,18539450.0,5104396.0,25418211.0,0.0,0.0,0.0,0.0,49062057.0,2019,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Lease/Purch.,0.0,0.0,14797739.0,0.0,0.0,0.0,0.0,14797739.0,2019,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,36659781.0,2324077.0,2302659.0,0.0,0.0,0.0,0.0,41286517.0,2019,Free Library,52,The Free Library of Philadelphia,52
Historical Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,,32,Historical Commission,32
Human Relations Commission,2139648.0,34657.0,28031.0,0.0,0.0,0.0,0.0,2202336.0,2019,Human Relations,54,Commission on Human Relations,54
Human Services,27246823.0,82756805.0,2069970.0,0.0,0.0,0.0,0.0,112073598.0,2019,DHS,22,Department of Human Services,22
L&I-Board of Building Standards,75419.0,0.0,0.0,0.0,0.0,0.0,0.0,75419.0,2019,,29,L&I: Board of Building and Standards,29
L&I-Board of L&I Review,162284.0,10436.0,0.0,0.0,0.0,0.0,0.0,172720.0,2019,,27,L&I: Board of Review,27
L&I-Zoning Board of Adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,ZBA,30,Zoning Board of Adjustments,30
Labor,1562009.0,173277.0,11660.0,0.0,0.0,0.0,0.0,1746946.0,2019,,03,Labor,03
Law,9163318.0,6423170.0,248676.0,0.0,0.0,0.0,0.0,15835164.0,2019,Law,44,Law Department,44
Licenses & Inspection,23144341.0,13579060.0,784475.0,0.0,0.0,0.0,0.0,37507876.0,2019,L&I,26,Department of Licenses and Inspections,26
Managing Director,20339262.0,25421862.0,872013.0,0.0,0.0,0.0,0.0,46633137.0,2019,MDO,10,Managing Director's Office,10
Managing Director-Legal Services,0.0,50375841.0,0.0,0.0,0.0,0.0,0.0,50375841.0,2019,,10LS,MDO: Legal Services,10
Mayor's Office,4605862.0,682465.0,27841.0,0.0,0.0,0.0,0.0,5316168.0,2019,Mayor,05,Mayor's Office,05
Mayor's Office - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,200000.0,2019,,05S,Mayor's Office: Scholarships,05
Mural Arts Program,583401.0,1450615.0,0.0,0.0,0.0,0.0,0.0,2034016.0,2019,Mural Arts,50,Mural Arts Program,50
Office of Arts & Culture & the Creative Economy,312767.0,482400.0,7000.0,3370688.0,0.0,0.0,0.0,4172855.0,2019,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy",58
