dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2550000.0,0.0,0.0,0.0,2550000.0,2018,,34,Art Museum,34
Atwater Kent Museum,251897.0,0.0,0.0,50000.0,0.0,0.0,0.0,301897.0,2018,Atwater Kent,18,Atwater Kent Museum,18
Auditing (City Controller),8426765.0,497450.0,25000.0,0.0,0.0,0.0,0.0,8949215.0,2018,,61,City Controller's Office,61
Board of Ethics,985489.0,96000.0,14000.0,0.0,0.0,0.0,0.0,1095489.0,2018,,45,Board of Ethics,45
Board of Revision of Taxes,942999.0,90200.0,15727.0,0.0,0.0,0.0,0.0,1048926.0,2018,BRT,63,Board of Revision of Taxes,63
City Commissioners,5872200.0,3497350.0,541617.0,0.0,0.0,0.0,0.0,9911167.0,2018,City Commissioners,73,City Commissioner's Office,73
City Council,15207111.0,1971885.0,528650.0,100.0,0.0,100.0,100.0,17707946.0,2018,,01,City Council,01
City Planning Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,,51,City Planning Commission,51
City Representative,601690.0,561730.0,54000.0,0.0,0.0,0.0,0.0,1217420.0,2018,City Rep,41,Office of the City Representative,41
City Treasurer,1062869.0,118444.0,22224.0,0.0,0.0,0.0,0.0,1203537.0,2018,City Treasurer,40,Office of the City Treasurer,40
Civil Service Commission,166376.0,29500.0,1094.0,0.0,0.0,0.0,20000000.0,20196970.0,2018,,55,Civil Service Commission,55
Commerce,2340461.0,2800481.0,26654.0,500000.0,0.0,0.0,0.0,5667596.0,2018,Commerce,42,Office of the Director of Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2018,,42CC,Commerce: Convention Center Subsidy,42
Commerce-Economic Stimulus,0.0,2794448.0,0.0,0.0,0.0,0.0,0.0,2794448.0,2018,,42ES,Commerce: Economic Stimulus,42
