dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2040000.0,0.0,0.0,0.0,2040000.0,2022,Art Museum,34,,34
Auditing (City Controller),8955839.0,497450.0,25000.0,0.0,0.0,0.0,0.0,9478289.0,2022,City Controller's Office,61,,61
Board of Ethics,915196.0,52500.0,7500.0,0.0,0.0,0.0,0.0,975196.0,2022,Board of Ethics,45,,45
Board of Revision of Taxes,997835.0,37900.0,17727.0,0.0,0.0,0.0,0.0,1053462.0,2022,Board of Revision of Taxes,63,BRT,63
City Commissioners,8413534.0,6862101.0,2771217.0,0.0,0.0,0.0,0.0,18046852.0,2022,City Commissioner's Office,73,City Commissioners,73
City Council,15379138.0,2121885.0,528650.0,100.0,0.0,100.0,100.0,18029973.0,2022,City Council,01,,01
City Representative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Office of the City Representative,41,City Rep,41
City Treasurer,1395075.0,193544.0,22224.0,0.0,0.0,0.0,0.0,1610843.0,2022,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,177148.0,29500.0,1094.0,0.0,0.0,0.0,25000000.0,25207742.0,2022,Civil Service Commission,55,,55
Commerce,2714341.0,4657989.0,26654.0,0.0,0.0,0.0,0.0,7398984.0,2022,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2022,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,3015000.0,0.0,0.0,0.0,0.0,0.0,3015000.0,2022,Commerce: Economic Stimulus,42-ES,,42
District Attorney,36562904.0,3343738.0,525017.0,0.0,0.0,0.0,0.0,40431659.0,2022,District Attorney's Office,69,DAO,69
Finance,9869056.0,3439267.0,35616.0,1415700.0,0.0,11360000.0,0.0,26119639.0,2022,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,48128075.0,0.0,0.0,0.0,48128075.0,2022,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1434553835.0,0.0,0.0,0.0,0.0,0.0,0.0,1434553835.0,2022,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,25000.0,2022,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,49246000.0,0.0,0.0,0.0,49246000.0,2022,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2022,Finance: Refunds,35-R,,35
Finance-Reg #32,2650000.0,0.0,0.0,0.0,0.0,0.0,0.0,2650000.0,2022,Finance: Reg #32,35-R32,,35
