dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,dept_name,dept_code,abbreviation,dept_major_code
& Inspection-Demolition,0.0,8000000.0,0.0,0.0,0.0,0.0,2006,0.0,8000000.0,L&I: Demolition,26-D,,26
Art Museum,0.0,0.0,0.0,2000000.0,0.0,0.0,2006,0.0,2000000.0,Art Museum,34,,34
Atwater Kent Museum,264000.0,6000.0,0.0,0.0,0.0,0.0,2006,0.0,270000.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,6560820.0,447894.0,92619.0,0.0,0.0,0.0,2006,0.0,7101333.0,City Controller's Office,61,,61
Board of Building Standards,116122.0,527.0,628.0,0.0,0.0,0.0,2006,0.0,117277.0,L&I: Board of Building and Standards,29,,29
Board of L.&I. Review,175231.0,30223.0,628.0,0.0,0.0,0.0,2006,0.0,206082.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,7833871.0,338186.0,144702.0,0.0,0.0,1206142.0,2006,0.0,9522901.0,Board of Revision of Taxes,63,BRT,63
Camp William Penn,138355.0,96087.0,43835.0,612.0,0.0,0.0,2006,0.0,278889.0,Camp William Penn,19,,19
Capital Program Office,893171.0,349562.0,89184.0,0.0,0.0,572000.0,2006,0.0,1903917.0,Capital Program Office,07,,07
City Commissioners,4637430.0,2786964.0,601797.0,0.0,0.0,0.0,2006,0.0,8026191.0,City Commissioner's Office,73,City Commissioners,73
City Council,11205719.0,2288820.0,1019535.0,0.0,0.0,0.0,2006,0.0,14514074.0,City Council,01,,01
City Planning,3118530.0,114813.0,60738.0,0.0,0.0,0.0,2006,0.0,3294081.0,City Planning Commission,51,,51
City Treasurer,577134.0,79901.0,24224.0,0.0,0.0,0.0,2006,0.0,681259.0,Office of the City Treasurer,40,City Treasurer,40
Civic Center,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,Division of Aviation,43,Aviation,43
Civil Service,133166.0,24500.0,2062.0,0.0,0.0,0.0,2006,0.0,159728.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4261574.0,28734.0,57342.0,0.0,0.0,0.0,2006,0.0,4347650.0,Clerk of Quarter Sessions,64,,64
Commerce-Economic Stimulus,0.0,4000000.0,0.0,0.0,0.0,0.0,2006,0.0,4000000.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,22467924.0,0.0,0.0,2006,0.0,22467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,38604007.0,2006,0.0,38604007.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,85836788.0,0.0,0.0,80284956.0,0.0,2006,0.0,166121744.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,7905305.0,9407556.0,550555.0,0.0,0.0,375900.0,2006,0.0,18239316.0,Office of the Director of Finance,35,Finance,35
District Attorney,26372934.0,1739124.0,854162.0,0.0,0.0,143022.0,2006,0.0,29109242.0,District Attorney's Office,69,DAO,69
Fairmount Park Commission,8917919.0,2742509.0,618621.0,850000.0,0.0,0.0,2006,0.0,13129049.0,Fairmount Park Commission,17,,17
Finance-Contribution  to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,2006,0.0,35000000.0,Finance: School District Contribution,35-SD,,35
Finance-Employee Benefits,754499000.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,754499000.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW Rental Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2006,0.0,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,151638881.0,5274583.0,5428819.0,0.0,0.0,7579000.0,2006,0.0,169921283.0,Fire Department,13,Fire,13
First Judicial District,82746665.0,23533226.0,2520354.0,0.0,0.0,0.0,2006,0.0,108800245.0,First Judicial District,84,FJD,84
Fleet Management,15653328.0,4819000.0,18277272.0,0.0,0.0,0.0,2006,0.0,38749600.0,Office of Fleet Management,25,Fleet,25
Free Library,33534607.0,1352202.0,3880808.0,0.0,0.0,0.0,2006,0.0,38767617.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,2006,0.0,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,286037.0,24247.0,6041.0,0.0,0.0,0.0,2006,0.0,316325.0,Historical Commission,32,,32
Human Relations,1979232.0,57131.0,19274.0,0.0,0.0,0.0,2006,0.0,2055637.0,Commission on Human Relations,54,Human Relations,54
Human Services,85357763.0,564997893.0,5219435.0,29326.0,0.0,0.0,2006,0.0,655604417.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,25113915.0,0.0,0.0,2006,0.0,25113915.0,Finance: Indemnities,35-IN,,35
Labor Relations,451945.0,19204.0,18876.0,0.0,0.0,0.0,2006,0.0,490025.0,Labor,03,,03
Law,9394567.0,4202947.0,250024.0,0.0,0.0,0.0,2006,0.0,13847538.0,Law Department,44,Law,44
Legal Services,0.0,33606562.0,0.0,0.0,0.0,0.0,2006,0.0,33606562.0,MDO: Legal Services,10-LS,,10
Licenses & Inspection,16726117.0,3506034.0,623198.0,0.0,0.0,0.0,2006,0.0,20855349.0,Department of Licenses and Inspections,26,L&I,26
Management -Vehicle Purchase,0.0,0.0,6480000.0,0.0,0.0,0.0,2006,0.0,6480000.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Managing Director,7235736.0,4685040.0,767256.0,0.0,0.0,0.0,2006,0.0,12688032.0,Managing Director's Office,10,MDO,10
Mayor - Mural Arts Program,542718.0,306493.0,0.0,0.0,0.0,0.0,2006,0.0,849211.0,Mural Arts Program,50,Mural Arts,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,2006,0.0,200000.0,Mayor's Office: Scholarships,05-S,,05
Mayor's Office,3406312.0,633353.0,132350.0,4221.0,0.0,0.0,2006,0.0,4176236.0,Mayor's Office,05,Mayor,05
Office of Behavioral Health /  Mental Retardation Services,2483123.0,12128834.0,0.0,0.0,0.0,0.0,2006,0.0,14611957.0,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Community Services,589270.0,74478.0,28858.0,0.0,0.0,0.0,2006,0.0,692606.0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
Office of Emergency Shelter Services,6534818.0,10952222.0,387060.0,35050.0,0.0,0.0,2006,0.0,17909150.0,Office of Homeless Services,24,OHS,24
Office of Information Svcs.,6450291.0,4750853.0,162634.0,0.0,0.0,0.0,2006,0.0,11363778.0,Office of Innovation and Technology,04,OIT,04
Personnel,3972817.0,362530.0,55609.0,0.0,0.0,0.0,2006,0.0,4390956.0,Office of Human Resources,56,OHR,56
Police,465097585.0,7425445.0,7432070.0,0.0,0.0,275653.0,2006,0.0,480230753.0,Police Department,11,Police,11
Prisons,102682824.0,79273591.0,3630209.0,1026757.0,0.0,0.0,2006,0.0,186613381.0,Philadelphia Prison System,23,Prisons,23
Procurement,2814617.0,1458787.0,74443.0,0.0,0.0,0.0,2006,0.0,4347847.0,Procurement Department,38,Procurement,38
Public Health,39117575.0,63850309.0,4072244.0,0.0,0.0,0.0,2006,0.0,107040128.0,Department of Public Health,14,Public Health,14
Public Property,8079493.0,23143592.0,909177.0,0.0,0.0,14000000.0,2006,0.0,46132262.0,Department of Public Property,20,Public Property,20
Public Property-SEPTA Subsidy,0.0,59216000.0,0.0,0.0,0.0,0.0,2006,0.0,59216000.0,Public Property: SEPTA Subsidy,20-SS,,20
Public Property-Space Rentals,0.0,14462759.0,0.0,0.0,0.0,0.0,2006,0.0,14462759.0,Public Property: Space Rentals,20-SR,,20
Public Property-Telecommunications,0.0,12982098.0,0.0,0.0,0.0,0.0,2006,0.0,12982098.0,Public Property: Telecommunications,20-T,,20
Public Property-Utilities,0.0,26468000.0,0.0,0.0,0.0,0.0,2006,0.0,26468000.0,Public Property: Utilities,20-U,,20
Records,3535248.0,3779714.0,452607.0,1456.0,0.0,0.0,2006,0.0,7769025.0,Department of Records,31,Records,31
Recreation,27339616.0,2706201.0,1390069.0,1900000.0,0.0,0.0,2006,0.0,33335886.0,Department of Parks and Recreation,16,Parks & Recreation,16
Recreation - Stadium Complex,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,Parks & Recreation: Stadium Complex,16-SC,,16
Refunds,0.0,0.0,0.0,500000.0,0.0,0.0,2006,0.0,500000.0,Finance: Refunds,35-R,,35
Register of Wills,3167556.0,38874.0,27098.0,0.0,0.0,70965.0,2006,0.0,3304493.0,Register of Wills,68,,68
Representative/Commerce,1190424.0,1298192.0,93895.0,2100000.0,0.0,0.0,2006,0.0,4682511.0,Office of the City Representative,41,City Rep,41
Revenue,13347531.0,3575774.0,689971.0,0.0,0.0,44883.0,2006,0.0,17658159.0,Department of Revenue,36,Revenue,36
Sheriff,12227904.0,481958.0,272213.0,0.0,0.0,0.0,2006,0.0,12982075.0,Office of the Sheriff,70,Sheriff,70
Streets,13712273.0,12158606.0,2392721.0,30000.0,0.0,0.0,2006,0.0,28293600.0,Streets Department,12,Streets,12
Streets - Sanitation,44832269.0,47935286.0,1333929.0,48171.0,0.0,0.0,2006,0.0,94149655.0,Streets: Sanitation,12-S,,12
Tax Reform Commission,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,Tax Reform Commission,02,,02
Witness Fees,0.0,175000.0,0.0,0.0,0.0,0.0,2006,0.0,175000.0,Finance: Witness Fees,35-WF,,35
Zoning Bd. of Adji.,385163.0,54375.0,2580.0,0.0,0.0,0.0,2006,0.0,442118.0,Zoning Board of Adjustments,30,ZBA,30
of Housing and Comm. Dev.,236917.0,143231.0,0.0,0.0,0.0,0.0,2006,0.0,380148.0,Office of Housing and Community Development,06,,06
Recession Reserve,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,Finance: Recession Reserve,35-RR,Recession Reserve,35
Art Museum,0.0,0.0,0.0,2250000.0,0.0,0.0,2007,0.0,2250000.0,Art Museum,34,,34
Atwater Kent Museum,264000.0,6000.0,0.0,0.0,0.0,0.0,2007,0.0,270000.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,7460782.0,596944.0,92619.0,0.0,0.0,0.0,2007,0.0,8150345.0,City Controller's Office,61,,61
Board of Building Standards,108397.0,527.0,628.0,0.0,0.0,0.0,2007,0.0,109552.0,L&I: Board of Building and Standards,29,,29
Board of L.&I. Review,190488.0,28162.0,628.0,0.0,0.0,0.0,2007,0.0,219278.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,7785852.0,338186.0,144702.0,0.0,0.0,1325499.0,2007,0.0,9594239.0,Board of Revision of Taxes,63,BRT,63
Camp William Penn,142506.0,96087.0,43835.0,612.0,0.0,0.0,2007,0.0,283040.0,Camp William Penn,19,,19
Capital Program Office,907051.0,349562.0,89184.0,0.0,0.0,572000.0,2007,0.0,1917797.0,Capital Program Office,07,,07
City Commissioners,4737354.0,2786964.0,601797.0,0.0,0.0,0.0,2007,0.0,8126115.0,City Commissioner's Office,73,City Commissioners,73
City Council,11541891.0,2388820.0,859535.0,0.0,0.0,0.0,2007,0.0,14790246.0,City Council,01,,01
City Planning,3178157.0,114813.0,60738.0,0.0,0.0,0.0,2007,0.0,3353708.0,City Planning Commission,51,,51
City Representative/Commerce,1526137.0,6298192.0,93895.0,2200000.0,0.0,0.0,2007,0.0,10118224.0,Office of the City Representative,41,City Rep,41
City Treasurer,719339.0,73088.0,24224.0,0.0,0.0,0.0,2007,0.0,816651.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,137161.0,24500.0,2062.0,0.0,0.0,0.0,2007,0.0,163723.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4719217.0,28734.0,57342.0,0.0,0.0,0.0,2007,0.0,4805293.0,Clerk of Quarter Sessions,64,,64
Commerce-Economic Stimulus,0.0,6000000.0,0.0,0.0,0.0,0.0,2007,0.0,6000000.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,23467924.0,0.0,0.0,2007,0.0,23467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,2007,31199538.0,31199538.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,94107024.0,0.0,0.0,105214343.0,0.0,2007,0.0,199321367.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,9276420.0,9406345.0,575555.0,0.0,0.0,375900.0,2007,0.0,19634220.0,Office of the Director of Finance,35,Finance,35
District Attorney,27764122.0,1739124.0,854162.0,0.0,0.0,288627.0,2007,0.0,30646035.0,District Attorney's Office,69,DAO,69
Fairmount Park Commission,8671102.0,2692509.0,668621.0,850000.0,0.0,0.0,2007,0.0,12882232.0,Fairmount Park Commission,17,,17
Finance-Contribution to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,2007,0.0,35000000.0,Finance: School District Contribution,35-SD,,35
Finance-Employee Benefits,864479338.0,0.0,0.0,0.0,0.0,0.0,2007,0.0,864479338.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2007,0.0,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,162127648.0,5546083.0,5777415.0,0.0,0.0,7010000.0,2007,0.0,180461146.0,Fire Department,13,Fire,13
First Judicial District,84839061.0,23783226.0,2520354.0,0.0,0.0,0.0,2007,0.0,111142641.0,First Judicial District,84,FJD,84
Fleet Management,16666856.0,4219000.0,21687980.0,0.0,0.0,0.0,2007,0.0,42573836.0,Office of Fleet Management,25,Fleet,25
Fleet Management -Vehicle Purch.,0.0,0.0,12600000.0,0.0,0.0,0.0,2007,0.0,12600000.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,34137564.0,1352202.0,3958802.0,0.0,0.0,0.0,2007,0.0,39448568.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,2007,0.0,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,294618.0,21084.0,6041.0,0.0,0.0,0.0,2007,0.0,321743.0,Historical Commission,32,,32
Human Relations,2090420.0,47131.0,19274.0,0.0,0.0,0.0,2007,0.0,2156825.0,Commission on Human Relations,54,Human Relations,54
Human Services,88690277.0,516276600.0,4482961.0,29326.0,0.0,0.0,2007,0.0,609479164.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,25113915.0,0.0,0.0,2007,0.0,25113915.0,Finance: Indemnities,35-IN,,35
Labor Relations,548351.0,21414.0,16500.0,0.0,0.0,0.0,2007,0.0,586265.0,Labor,03,,03
Law,10374648.0,4496152.0,285024.0,0.0,0.0,0.0,2007,0.0,15155824.0,Law Department,44,Law,44
