dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2011,Actual,YTD,2010-12-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,113,0,2011,Actual,YTD,2010-12-31,113,61,City Controller's Office,
Board of Building Standards,General,1,0,2011,Actual,YTD,2010-12-31,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,8,0,2011,Actual,YTD,2010-12-31,8,45,Board of Ethics,
Board of L & 1 Review,General,2,0,2011,Actual,YTD,2010-12-31,2,27,L&I: Board of Review,
Board of Pensions,General,0,0,2011,Actual,YTD,2010-12-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,6,0,2011,Actual,YTD,2010-12-31,6,63,Board of Revision of Taxes,BRT
Camp William Penn,General,0,0,2011,Actual,YTD,2010-12-31,0,19,Camp William Penn,
City Commissioners (Election Board),General,98,0,2011,Actual,YTD,2010-12-31,98,73,City Commissioner's Office,City Commissioners
City Council,General,174,0,2011,Actual,YTD,2010-12-31,174,01,City Council,
City Planning Commission,General,34,0,2011,Actual,YTD,2010-12-31,34,51,City Planning Commission,
City Representative,General,7,0,2011,Actual,YTD,2010-12-31,7,41,Office of the City Representative,City Rep
City Treasurer,General,12,0,2011,Actual,YTD,2010-12-31,12,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2011,Actual,YTD,2010-12-31,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,0,0,2011,Actual,YTD,2010-12-31,0,64,Clerk of Quarter Sessions,
Commerce,General,24,0,2011,Actual,YTD,2010-12-31,24,42,Office of the Director of Commerce,Commerce
Division of Technology,General,264,0,2011,Actual,YTD,2010-12-31,264,04,Office of Innovation and Technology,OIT
Fairmount Park,General,0,0,2011,Actual,YTD,2010-12-31,0,17,Fairmount Park Commission,
Finance,General,140,0,2011,Actual,YTD,2010-12-31,140,35,Office of the Director of Finance,Finance
First Judicial District,General,1853,0,2011,Actual,YTD,2010-12-31,1853,84,First Judicial District,FJD
Fleet Management,General,275,0,2011,Actual,YTD,2010-12-31,275,25,Office of Fleet Management,Fleet
Free Library,General,595,0,2011,Actual,YTD,2010-12-31,595,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2011,Actual,YTD,2010-12-31,6,32,Historical Commission,
Human Relations Commission,General,31,0,2011,Actual,YTD,2010-12-31,31,54,Commission on Human Relations,Human Relations
Human Services,General,1679,0,2011,Actual,YTD,2010-12-31,1679,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,6,0,2011,Actual,YTD,2010-12-31,6,03,Labor,
Law,General,170,0,2011,Actual,YTD,2010-12-31,170,44,Law Department,Law
Licenses & Inspections,General,278,0,2011,Actual,YTD,2010-12-31,278,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,119,0,2011,Actual,YTD,2010-12-31,119,10,Managing Director's Office,MDO
Mayor,General,35,0,2011,Actual,YTD,2010-12-31,35,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,General,2,0,2011,Actual,YTD,2010-12-31,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Mayor - Office of the Inspector General,General,14,0,2011,Actual,YTD,2010-12-31,14,48,Office of the Inspector General,OIG
Mayor's Office of Comm. Svcs.,General,0,0,2011,Actual,YTD,2010-12-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,General,8,0,2011,Actual,YTD,2010-12-31,8,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,11,0,2011,Actual,YTD,2010-12-31,11,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,20,0,2011,Actual,YTD,2010-12-31,20,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Human Resources,General,69,0,2011,Actual,YTD,2010-12-31,69,56,Office of Human Resources,OHR
Office of Property Assessment (1),General,134,0,2011,Actual,YTD,2010-12-31,134,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Off. of Supportive Housing,General,115,0,2011,Actual,YTD,2010-12-31,115,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2011,Actual,YTD,2010-12-31,0,06,Office of Housing and Community Development,
Parks and Recreation,General,593,0,2011,Actual,YTD,2010-12-31,593,16,Department of Parks and Recreation,Parks & Recreation
Prisons,General,2202,0,2011,Actual,YTD,2010-12-31,2202,23,Philadelphia Prison System,Prisons
Procurement,General,42,0,2011,Actual,YTD,2010-12-31,42,38,Procurement Department,Procurement
Public Health,General,661,0,2011,Actual,YTD,2010-12-31,661,14,Department of Public Health,Public Health
Public Property,General,123,0,2011,Actual,YTD,2010-12-31,123,20,Department of Public Property,Public Property
Records,General,55,0,2011,Actual,YTD,2010-12-31,55,31,Department of Records,Records
Register of Wills,General,62,0,2011,Actual,YTD,2010-12-31,62,68,Register of Wills,
Revenue,General,248,0,2011,Actual,YTD,2010-12-31,248,36,Department of Revenue,Revenue
Sheriff,General,220,0,2011,Actual,YTD,2010-12-31,220,70,Office of the Sheriff,Sheriff
Streets,General,511,0,2011,Actual,YTD,2010-12-31,511,12,Streets Department,Streets
Streets - Sanitation,General,1140,0,2011,Actual,YTD,2010-12-31,1140,12S,Streets: Sanitation,
Water,General,0,0,2011,Actual,YTD,2010-12-31,0,28,Water Department,Water
Youth Commission,General,1,0,2011,Actual,YTD,2010-12-31,1,47,Youth Commission,
Zoning Board of Adjustment,General,5,0,2011,Actual,YTD,2010-12-31,5,30,Zoning Board of Adjustments,ZBA
Zoning Code Commission,General,2,0,2011,Actual,YTD,2010-12-31,2,57,Zoning Code Commission,
Atwater Kent Museum,Other,0,0,2011,Actual,YTD,2010-12-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2011,Actual,YTD,2010-12-31,0,61,City Controller's Office,
Board of Building Standards,Other,0,0,2011,Actual,YTD,2010-12-31,0,29,L&I: Board of Building and Standards,
Board of Ethics,Other,0,0,2011,Actual,YTD,2010-12-31,0,45,Board of Ethics,
Board of L & 1 Review,Other,0,0,2011,Actual,YTD,2010-12-31,0,27,L&I: Board of Review,
Board of Pensions,Other,64,0,2011,Actual,YTD,2010-12-31,64,53,Board of Pensions,Pensions
Board of Revision of Taxes,Other,0,0,2011,Actual,YTD,2010-12-31,0,63,Board of Revision of Taxes,BRT
Camp William Penn,Other,0,0,2011,Actual,YTD,2010-12-31,0,19,Camp William Penn,
City Commissioners (Election Board),Other,0,0,2011,Actual,YTD,2010-12-31,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2011,Actual,YTD,2010-12-31,0,01,City Council,
City Planning Commission,Other,4,0,2011,Actual,YTD,2010-12-31,4,51,City Planning Commission,
City Representative,Other,0,0,2011,Actual,YTD,2010-12-31,0,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2011,Actual,YTD,2010-12-31,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,55,Civil Service Commission,
Clerk of Quarter Sessions,Other,0,0,2011,Actual,YTD,2010-12-31,0,64,Clerk of Quarter Sessions,
Commerce,Other,740,0,2011,Actual,YTD,2010-12-31,740,42,Office of the Director of Commerce,Commerce
Division of Technology,Other,67,0,2011,Actual,YTD,2010-12-31,67,04,Office of Innovation and Technology,OIT
Fairmount Park,Other,0,0,2011,Actual,YTD,2010-12-31,0,17,Fairmount Park Commission,
Finance,Other,0,0,2011,Actual,YTD,2010-12-31,0,35,Office of the Director of Finance,Finance
First Judicial District,Other,550,0,2011,Actual,YTD,2010-12-31,550,84,First Judicial District,FJD
Fleet Management,Other,65,0,2011,Actual,YTD,2010-12-31,65,25,Office of Fleet Management,Fleet
Free Library,Other,63,0,2011,Actual,YTD,2010-12-31,63,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2011,Actual,YTD,2010-12-31,0,54,Commission on Human Relations,Human Relations
Human Services,Other,57,0,2011,Actual,YTD,2010-12-31,57,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",Other,0,0,2011,Actual,YTD,2010-12-31,0,03,Labor,
Law,Other,58,0,2011,Actual,YTD,2010-12-31,58,44,Law Department,Law
Licenses & Inspections,Other,12,0,2011,Actual,YTD,2010-12-31,12,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),Other,13,0,2011,Actual,YTD,2010-12-31,13,10,Managing Director's Office,MDO
Mayor,Other,4,0,2011,Actual,YTD,2010-12-31,4,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,Other,0,0,2011,Actual,YTD,2010-12-31,0,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
