dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,0,0,2019,Actual,YTD,2019-03-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,123,0,2019,Actual,YTD,2019-03-31,123,61,City Controller's Office,
Board of Ethics,General,9,0,2019,Actual,YTD,2019-03-31,9,45,Board of Ethics,
Board of Pensions,General,0,0,2019,Actual,YTD,2019-03-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,12,0,2019,Actual,YTD,2019-03-31,12,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,95,0,2019,Actual,YTD,2019-03-31,95,73,City Commissioner's Office,City Commissioners
City Council,General,194,0,2019,Actual,YTD,2019-03-31,194,01,City Council,
City Representative,General,8,0,2019,Actual,YTD,2019-03-31,8,41,Office of the City Representative,City Rep
City Treasurer,General,16,0,2019,Actual,YTD,2019-03-31,16,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2019,Actual,YTD,2019-03-31,2,55,Civil Service Commission,
Commerce,General,48,0,2019,Actual,YTD,2019-03-31,48,42,Office of the Director of Commerce,Commerce
Finance,General,115,0,2019,Actual,YTD,2019-03-31,115,35,Office of the Director of Finance,Finance
First Judicial District,General,1856,0,2019,Actual,YTD,2019-03-31,1856,84,First Judicial District,FJD
Fleet Management,General,284,0,2019,Actual,YTD,2019-03-31,284,25,Office of Fleet Management,Fleet
Free Library,General,656,0,2019,Actual,YTD,2019-03-31,656,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,General,32,0,2019,Actual,YTD,2019-03-31,32,54,Commission on Human Relations,Human Relations
Human Services (1),General,396,0,2019,Actual,YTD,2019-03-31,396,22,Department of Human Services,DHS
"Labor, Mayor's Office of",General,23,0,2019,Actual,YTD,2019-03-31,23,03,Labor,
Law,General,128,0,2019,Actual,YTD,2019-03-31,128,44,Law Department,Law
Licenses & Inspections,General,376,0,2019,Actual,YTD,2019-03-31,376,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2019,Actual,YTD,2019-03-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2019,Actual,YTD,2019-03-31,2,27,L&I: Board of Review,
Managing Director's Office,General,306,0,2019,Actual,YTD,2019-03-31,306,10,Managing Director's Office,MDO
