dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2010,Actual,YTD,2010-06-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,120,0,2010,Actual,YTD,2010-06-30,120,61,City Controller's Office,
Board of Building Standards,General,1,0,2010,Actual,YTD,2010-06-30,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,7,0,2010,Actual,YTD,2010-06-30,7,45,Board of Ethics,
Board of L & I Review,General,2,0,2010,Actual,YTD,2010-06-30,2,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2010,Actual,YTD,2010-06-30,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,112,0,2010,Actual,YTD,2010-06-30,112,63,Board of Revision of Taxes,BRT
Camp William Penn,General,1,0,2010,Actual,YTD,2010-06-30,1,19,Camp William Penn,
"Capital Program Office, Mayor-",General,0,0,2010,Actual,YTD,2010-06-30,0,07,Capital Program Office,
City Commissioners (Election Board),General,102,0,2010,Actual,YTD,2010-06-30,102,73,City Commissioner's Office,City Commissioners
City Council,General,176,0,2010,Actual,YTD,2010-06-30,176,01,City Council,
City Planning Commission,General,40,0,2010,Actual,YTD,2010-06-30,40,51,City Planning Commission,
City Representative,General,7,0,2010,Actual,YTD,2010-06-30,7,41,Office of the City Representative,City Rep
City Treasurer,General,11,0,2010,Actual,YTD,2010-06-30,11,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2010,Actual,YTD,2010-06-30,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,106,0,2010,Actual,YTD,2010-06-30,106,64,Clerk of Quarter Sessions,
Commerce,General,24,0,2010,Actual,YTD,2010-06-30,24,42,Office of the Director of Commerce,Commerce
Division of Technology,General,174,0,2010,Actual,YTD,2010-06-30,174,04,Office of Innovation and Technology,OIT
Fairmount Park,General,155,0,2010,Actual,YTD,2010-06-30,155,17,Fairmount Park Commission,
Finance,General,141,0,2010,Actual,YTD,2010-06-30,141,35,Office of the Director of Finance,Finance
First Judicial District,General,1756,0,2010,Actual,YTD,2010-06-30,1756,84,First Judicial District,FJD
Fleet Management,General,292,0,2010,Actual,YTD,2010-06-30,292,25,Office of Fleet Management,Fleet
Free Library,General,602,0,2010,Actual,YTD,2010-06-30,602,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2010,Actual,YTD,2010-06-30,6,32,Historical Commission,
Human Relations Commission,General,33,0,2010,Actual,YTD,2010-06-30,33,54,Commission on Human Relations,Human Relations
Human Services,General,1751,0,2010,Actual,YTD,2010-06-30,1751,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2010,Actual,YTD,2010-06-30,7,03,Labor,
Law,General,176,0,2010,Actual,YTD,2010-06-30,176,44,Law Department,Law
Licenses & Inspections,General,305,0,2010,Actual,YTD,2010-06-30,305,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,112,0,2010,Actual,YTD,2010-06-30,112,10,Managing Director's Office,MDO
Mayor,General,38,0,2010,Actual,YTD,2010-06-30,38,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,General,2,0,2010,Actual,YTD,2010-06-30,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Mayor - Office of the Inspector General,General,15,0,2010,Actual,YTD,2010-06-30,15,48,Office of the Inspector General,OIG
Mayor's Office of Comm. Svcs.,General,0,0,2010,Actual,YTD,2010-06-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,General,8,0,2010,Actual,YTD,2010-06-30,8,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,12,0,2010,Actual,YTD,2010-06-30,12,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,General,22,0,2010,Actual,YTD,2010-06-30,22,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Human Resources,General,53,0,2010,Actual,YTD,2010-06-30,53,56,Office of Human Resources,OHR
Off.ot Supportive Housing,General,124,0,2010,Actual,YTD,2010-06-30,124,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2010,Actual,YTD,2010-06-30,0,06,Office of Housing and Community Development,
Prisons,General,2254,0,2010,Actual,YTD,2010-06-30,2254,23,Philadelphia Prison System,Prisons
Procurement,General,46,0,2010,Actual,YTD,2010-06-30,46,38,Procurement Department,Procurement
Public Health,General,662,0,2010,Actual,YTD,2010-06-30,662,14,Department of Public Health,Public Health
Public Property,General,123,0,2010,Actual,YTD,2010-06-30,123,20,Department of Public Property,Public Property
Records,General,59,0,2010,Actual,YTD,2010-06-30,59,31,Department of Records,Records
Recreation,General,435,0,2010,Actual,YTD,2010-06-30,435,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,General,63,0,2010,Actual,YTD,2010-06-30,63,68,Register of Wills,
Revenue,General,250,0,2010,Actual,YTD,2010-06-30,250,36,Department of Revenue,Revenue
Sheriff,General,230,0,2010,Actual,YTD,2010-06-30,230,70,Office of the Sheriff,Sheriff
Streets,General,523,0,2010,Actual,YTD,2010-06-30,523,12,Streets Department,Streets
