dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2009,Actual,YTD,2009-06-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,124,0,2009,Actual,YTD,2009-06-30,124,61,City Controller's Office,
Board of Building Standards,General,1,0,2009,Actual,YTD,2009-06-30,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,9,0,2009,Actual,YTD,2009-06-30,9,45,Board of Ethics,
Board of L & I Review,General,2,0,2009,Actual,YTD,2009-06-30,2,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2009,Actual,YTD,2009-06-30,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,133,0,2009,Actual,YTD,2009-06-30,133,63,Board of Revision of Taxes,BRT
Camp William Penn,General,1,0,2009,Actual,YTD,2009-06-30,1,19,Camp William Penn,
"Capital Program Office, Mayor-",General,24,0,2009,Actual,YTD,2009-06-30,24,07,Capital Program Office,
City Commissioners (Election Board),General,100,0,2009,Actual,YTD,2009-06-30,100,73,City Commissioner's Office,City Commissioners
City Council,General,185,0,2009,Actual,YTD,2009-06-30,185,01,City Council,
City Planning Commission,General,42,0,2009,Actual,YTD,2009-06-30,42,51,City Planning Commission,
City Representative,General,6,0,2009,Actual,YTD,2009-06-30,6,41,Office of the City Representative,City Rep
City Treasurer,General,11,0,2009,Actual,YTD,2009-06-30,11,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2009,Actual,YTD,2009-06-30,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,110,0,2009,Actual,YTD,2009-06-30,110,64,Clerk of Quarter Sessions,
Commerce,General,23,0,2009,Actual,YTD,2009-06-30,23,42,Office of the Director of Commerce,Commerce
Fairmount Park,General,159,0,2009,Actual,YTD,2009-06-30,159,17,Fairmount Park Commission,
Finance,General,143,0,2009,Actual,YTD,2009-06-30,143,35,Office of the Director of Finance,Finance
