dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,0,0,2020,Actual,YTD,2020-06-30,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,121,0,2020,Actual,YTD,2020-06-30,121,61,City Controller's Office,
Board of Ethics,General,7,0,2020,Actual,YTD,2020-06-30,7,45,Board of Ethics,
Board of Pensions,General,0,0,2020,Actual,YTD,2020-06-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,14,0,2020,Actual,YTD,2020-06-30,14,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,98,0,2020,Actual,YTD,2020-06-30,98,73,City Commissioner's Office,City Commissioners
City Council,General,180,0,2020,Actual,YTD,2020-06-30,180,01,City Council,
City Representative,General,5,0,2020,Actual,YTD,2020-06-30,5,41,Office of the City Representative,City Rep
City Treasurer,General,16,0,2020,Actual,YTD,2020-06-30,16,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2020,Actual,YTD,2020-06-30,2,55,Civil Service Commission,
Commerce,General,44,0,2020,Actual,YTD,2020-06-30,44,42,Office of the Director of Commerce,Commerce
Finance,General,119,0,2020,Actual,YTD,2020-06-30,119,35,Office of the Director of Finance,Finance
First Judicial District,General,1825,0,2020,Actual,YTD,2020-06-30,1825,84,First Judicial District,FJD
Fleet Management,General,282,0,2020,Actual,YTD,2020-06-30,282,25,Office of Fleet Management,Fleet
Free Library,General,677,0,2020,Actual,YTD,2020-06-30,677,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,General,34,0,2020,Actual,YTD,2020-06-30,34,54,Commission on Human Relations,Human Relations
Human Services (1),General,437,0,2020,Actual,YTD,2020-06-30,437,22,Department of Human Services,DHS
"Labor, Mayor's Office of",General,27,0,2020,Actual,YTD,2020-06-30,27,03,Labor,
Law,General,130,0,2020,Actual,YTD,2020-06-30,130,44,Law Department,Law
Licenses & Inspections,General,394,0,2020,Actual,YTD,2020-06-30,394,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2020,Actual,YTD,2020-06-30,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2020,Actual,YTD,2020-06-30,2,27,L&I: Board of Review,
Managing Director's Office,General,287,0,2020,Actual,YTD,2020-06-30,287,10,Managing Director's Office,MDO
Mayor's Office,General,61,0,2020,Actual,YTD,2020-06-30,61,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2020,Actual,YTD,2020-06-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,General,10,0,2020,Actual,YTD,2020-06-30,10,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,2,0,2020,Actual,YTD,2020-06-30,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,24,0,2020,Actual,YTD,2020-06-30,24,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Chief Administrative Officer,General,64,0,2020,Actual,YTD,2020-06-30,64,63,Board of Revision of Taxes,BRT
Office of Education,General,40,0,2020,Actual,YTD,2020-06-30,40,66,Office of Children and Families,OCF
Office of Homeless Services,General,151,0,2020,Actual,YTD,2020-06-30,151,24,Office of Homeless Services,OHS
Office of Human Resources,General,79,0,2020,Actual,YTD,2020-06-30,79,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,317,0,2020,Actual,YTD,2020-06-30,317,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,16,0,2020,Actual,YTD,2020-06-30,16,48,Office of the Inspector General,OIG
Office of Property Assessment,General,195,0,2020,Actual,YTD,2020-06-30,195,59,Office of Property Assessment,OPA
