dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2013,Actual,YTD,2012-12-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,112,0,2013,Actual,YTD,2012-12-31,112,61,City Controller's Office,
Board of Building Standards,General,1,0,2013,Actual,YTD,2012-12-31,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,9,0,2013,Actual,YTD,2012-12-31,9,45,Board of Ethics,
Board of L & I Review,General,2,0,2013,Actual,YTD,2012-12-31,2,27,L&I: Board of Review,
Board of Pensions,General,0,0,2013,Actual,YTD,2012-12-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,9,0,2013,Actual,YTD,2012-12-31,9,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,89,0,2013,Actual,YTD,2012-12-31,89,73,City Commissioner's Office,City Commissioners
City Council,General,175,0,2013,Actual,YTD,2012-12-31,175,01,City Council,
City Planning Commission,General,33,0,2013,Actual,YTD,2012-12-31,33,51,City Planning Commission,
City Representative,General,7,0,2013,Actual,YTD,2012-12-31,7,41,Office of the City Representative,City Rep
City Treasurer,General,14,0,2013,Actual,YTD,2012-12-31,14,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2013,Actual,YTD,2012-12-31,2,55,Civil Service Commission,
Commerce,General,24,0,2013,Actual,YTD,2012-12-31,24,42,Office of the Director of Commerce,Commerce
Finance,General,153,0,2013,Actual,YTD,2012-12-31,153,35,Office of the Director of Finance,Finance
First Judicial District,General,1957,0,2013,Actual,YTD,2012-12-31,1957,84,First Judicial District,FJD
Fleet Management,General,271,0,2013,Actual,YTD,2012-12-31,271,25,Office of Fleet Management,Fleet
Free Library,General,608,0,2013,Actual,YTD,2012-12-31,608,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,5,0,2013,Actual,YTD,2012-12-31,5,32,Historical Commission,
Human Relations Commission,General,29,0,2013,Actual,YTD,2012-12-31,29,54,Commission on Human Relations,Human Relations
Human Services (1),General,342,0,2013,Actual,YTD,2012-12-31,342,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,8,0,2013,Actual,YTD,2012-12-31,8,03,Labor,
Law,General,137,0,2013,Actual,YTD,2012-12-31,137,44,Law Department,Law
Licenses & Inspections,General,295,0,2013,Actual,YTD,2012-12-31,295,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,156,0,2013,Actual,YTD,2012-12-31,156,10,Managing Director's Office,MDO
Mayor,General,32,0,2013,Actual,YTD,2012-12-31,32,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,General,2,0,2013,Actual,YTD,2012-12-31,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Mayor - Office of the Inspector General,General,16,0,2013,Actual,YTD,2012-12-31,16,48,Office of the Inspector General,OIG
Mayor's Office of Comm. Svcs.,General,20,0,2013,Actual,YTD,2012-12-31,20,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,General,8,0,2013,Actual,YTD,2012-12-31,8,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,11,0,2013,Actual,YTD,2012-12-31,11,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,General,19,0,2013,Actual,YTD,2012-12-31,19,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Human Resources,General,80,0,2013,Actual,YTD,2012-12-31,80,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,256,0,2013,Actual,YTD,2012-12-31,256,04,Office of Innovation and Technology,OIT
Office of Property Assessment,General,168,0,2013,Actual,YTD,2012-12-31,168,59,Office of Property Assessment,OPA
Off.of Supportive Housing,General,145,0,2013,Actual,YTD,2012-12-31,145,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2013,Actual,YTD,2012-12-31,0,06,Office of Housing and Community Development,
