dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,0,0,2019,Actual,YTD,2018-12-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,126,0,2019,Actual,YTD,2018-12-31,126,61,City Controller's Office,
Board of Ethics,General,9,0,2019,Actual,YTD,2018-12-31,9,45,Board of Ethics,
Board of Pensions,General,0,0,2019,Actual,YTD,2018-12-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,12,0,2019,Actual,YTD,2018-12-31,12,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,97,0,2019,Actual,YTD,2018-12-31,97,73,City Commissioner's Office,City Commissioners
City Council,General,193,0,2019,Actual,YTD,2018-12-31,193,01,City Council,
City Representative,General,9,0,2019,Actual,YTD,2018-12-31,9,41,Office of the City Representative,City Rep
City Treasurer,General,15,0,2019,Actual,YTD,2018-12-31,15,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2019,Actual,YTD,2018-12-31,2,55,Civil Service Commission,
Commerce,General,51,0,2019,Actual,YTD,2018-12-31,51,42,Office of the Director of Commerce,Commerce
Finance,General,113,0,2019,Actual,YTD,2018-12-31,113,35,Office of the Director of Finance,Finance
First Judicial District,General,1842,0,2019,Actual,YTD,2018-12-31,1842,84,First Judicial District,FJD
Fleet Management,General,285,0,2019,Actual,YTD,2018-12-31,285,25,Office of Fleet Management,Fleet
Free Library,General,640,0,2019,Actual,YTD,2018-12-31,640,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,General,32,0,2019,Actual,YTD,2018-12-31,32,54,Commission on Human Relations,Human Relations
Human Services (1),General,386,0,2019,Actual,YTD,2018-12-31,386,22,Department of Human Services,DHS
"Labor, Mayor's Office of",General,23,0,2019,Actual,YTD,2018-12-31,23,03,Labor,
Law,General,127,0,2019,Actual,YTD,2018-12-31,127,44,Law Department,Law
Licenses & Inspections,General,378,0,2019,Actual,YTD,2018-12-31,378,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2019,Actual,YTD,2018-12-31,1,29,L&I: Board of Building and Standards,
