dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2010,Actual,YTD,2009-09-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,123,0,2010,Actual,YTD,2009-09-30,123,61,City Controller's Office,
Board of Building Standards,General,1,0,2010,Actual,YTD,2009-09-30,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,8,0,2010,Actual,YTD,2009-09-30,8,45,Board of Ethics,
Board of L & I Review,General,2,0,2010,Actual,YTD,2009-09-30,2,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2010,Actual,YTD,2009-09-30,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,122,0,2010,Actual,YTD,2009-09-30,122,63,Board of Revision of Taxes,BRT
Camp William Penn,General,1,0,2010,Actual,YTD,2009-09-30,1,19,Camp William Penn,
"Capital Program Office, Mayor-",General,0,0,2010,Actual,YTD,2009-09-30,0,07,Capital Program Office,
City Commissioners (Election Board),General,99,0,2010,Actual,YTD,2009-09-30,99,73,City Commissioner's Office,City Commissioners
City Council,General,180,0,2010,Actual,YTD,2009-09-30,180,01,City Council,
City Planning Commission,General,43,0,2010,Actual,YTD,2009-09-30,43,51,City Planning Commission,
City Representative,General,7,0,2010,Actual,YTD,2009-09-30,7,41,Office of the City Representative,City Rep
City Treasurer,General,12,0,2010,Actual,YTD,2009-09-30,12,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2010,Actual,YTD,2009-09-30,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,110,0,2010,Actual,YTD,2009-09-30,110,64,Clerk of Quarter Sessions,
Commerce,General,21,0,2010,Actual,YTD,2009-09-30,21,42,Office of the Director of Commerce,Commerce
Division of Technology,General,134,0,2010,Actual,YTD,2009-09-30,134,04,Office of Innovation and Technology,OIT
Fairmount Park,General,158,0,2010,Actual,YTD,2009-09-30,158,17,Fairmount Park Commission,
Finance,General,138,0,2010,Actual,YTD,2009-09-30,138,35,Office of the Director of Finance,Finance
First Judicial District,General,1774,0,2010,Actual,YTD,2009-09-30,1774,84,First Judicial District,FJD
Fleet Management,General,301,0,2010,Actual,YTD,2009-09-30,301,25,Office of Fleet Management,Fleet
Free Library,General,615,0,2010,Actual,YTD,2009-09-30,615,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2010,Actual,YTD,2009-09-30,6,32,Historical Commission,
Human Relations Commission,General,33,0,2010,Actual,YTD,2009-09-30,33,54,Commission on Human Relations,Human Relations
Human Services,General,1785,0,2010,Actual,YTD,2009-09-30,1785,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2010,Actual,YTD,2009-09-30,7,03,Labor,
Law,General,186,0,2010,Actual,YTD,2009-09-30,186,44,Law Department,Law
Licenses & Inspections,General,296,0,2010,Actual,YTD,2009-09-30,296,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,156,0,2010,Actual,YTD,2009-09-30,156,10,Managing Director's Office,MDO
Mayor,General,36,0,2010,Actual,YTD,2009-09-30,36,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,General,2,0,2010,Actual,YTD,2009-09-30,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Mayor - Office of the Inspector General,General,15,0,2010,Actual,YTD,2009-09-30,15,48,Office of the Inspector General,OIG
Mayor's Office of Comm. Svcs.,General,0,0,2010,Actual,YTD,2009-09-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,General,8,0,2010,Actual,YTD,2009-09-30,8,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,12,0,2010,Actual,YTD,2009-09-30,12,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,General,24,0,2010,Actual,YTD,2009-09-30,24,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Human Resources,General,61,0,2010,Actual,YTD,2009-09-30,61,56,Office of Human Resources,OHR
Off. of Supportive Housing,General,133,0,2010,Actual,YTD,2009-09-30,133,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2010,Actual,YTD,2009-09-30,0,06,Office of Housing and Community Development,
Prisons,General,2321,0,2010,Actual,YTD,2009-09-30,2321,23,Philadelphia Prison System,Prisons
Procurement,General,48,0,2010,Actual,YTD,2009-09-30,48,38,Procurement Department,Procurement
Public Health,General,676,0,2010,Actual,YTD,2009-09-30,676,14,Department of Public Health,Public Health
Public Property,General,168,0,2010,Actual,YTD,2009-09-30,168,20,Department of Public Property,Public Property
Records,General,61,0,2010,Actual,YTD,2009-09-30,61,31,Department of Records,Records
Recreation,General,442,0,2010,Actual,YTD,2009-09-30,442,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,General,64,0,2010,Actual,YTD,2009-09-30,64,68,Register of Wills,
Revenue,General,250,0,2010,Actual,YTD,2009-09-30,250,36,Department of Revenue,Revenue
Sheriff,General,236,0,2010,Actual,YTD,2009-09-30,236,70,Office of the Sheriff,Sheriff
Streets,General,524,0,2010,Actual,YTD,2009-09-30,524,12,Streets Department,Streets
Streets Sanitation,General,1147,0,2010,Actual,YTD,2009-09-30,1147,12S,Streets: Sanitation,
Water,General,0,0,2010,Actual,YTD,2009-09-30,0,28,Water Department,Water
Youth Commission,General,1,0,2010,Actual,YTD,2009-09-30,1,47,Youth Commission,
Zoning Board of Adjustment,General,5,0,2010,Actual,YTD,2009-09-30,5,30,Zoning Board of Adjustments,ZBA
Zoning Code Commission,General,1,0,2010,Actual,YTD,2009-09-30,1,57,Zoning Code Commission,
Atwater Kent Museum,Other,0,0,2010,Actual,YTD,2009-09-30,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2010,Actual,YTD,2009-09-30,0,61,City Controller's Office,
Board of Building Standards,Other,0,0,2010,Actual,YTD,2009-09-30,0,29,L&I: Board of Building and Standards,
Board of Ethics,Other,0,0,2010,Actual,YTD,2009-09-30,0,45,Board of Ethics,
Board of L & I Review,Other,0,0,2010,Actual,YTD,2009-09-30,0,27,L&I: Board of Review,
Bd. of Pensions,Other,69,0,2010,Actual,YTD,2009-09-30,69,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,Other,0,0,2010,Actual,YTD,2009-09-30,0,63,Board of Revision of Taxes,BRT
Camp William Penn,Other,0,0,2010,Actual,YTD,2009-09-30,0,19,Camp William Penn,
"Capital Program Office, Mayor-",Other,0,0,2010,Actual,YTD,2009-09-30,0,07,Capital Program Office,
City Commissioners (Election Board),Other,0,0,2010,Actual,YTD,2009-09-30,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2010,Actual,YTD,2009-09-30,0,01,City Council,
City Planning Commission,Other,4,0,2010,Actual,YTD,2009-09-30,4,51,City Planning Commission,
City Representative,Other,0,0,2010,Actual,YTD,2009-09-30,0,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2010,Actual,YTD,2009-09-30,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2010,Actual,YTD,2009-09-30,0,55,Civil Service Commission,
Clerk of Quarter Sessions,Other,0,0,2010,Actual,YTD,2009-09-30,0,64,Clerk of Quarter Sessions,
Commerce,Other,750,0,2010,Actual,YTD,2009-09-30,750,42,Office of the Director of Commerce,Commerce
Division of Technology,Other,16,0,2010,Actual,YTD,2009-09-30,16,04,Office of Innovation and Technology,OIT
Fairmount Park,Other,1,0,2010,Actual,YTD,2009-09-30,1,17,Fairmount Park Commission,
Finance,Other,4,0,2010,Actual,YTD,2009-09-30,4,35,Office of the Director of Finance,Finance
First Judicial District,Other,535,0,2010,Actual,YTD,2009-09-30,535,84,First Judicial District,FJD
Fleet Management,Other,55,0,2010,Actual,YTD,2009-09-30,55,25,Office of Fleet Management,Fleet
Free Library,Other,77,0,2010,Actual,YTD,2009-09-30,77,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2010,Actual,YTD,2009-09-30,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2010,Actual,YTD,2009-09-30,0,54,Commission on Human Relations,Human Relations
Human Services,Other,70,0,2010,Actual,YTD,2009-09-30,70,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",Other,0,0,2010,Actual,YTD,2009-09-30,0,03,Labor,
Law,Other,55,0,2010,Actual,YTD,2009-09-30,55,44,Law Department,Law
Licenses & Inspections,Other,12,0,2010,Actual,YTD,2009-09-30,12,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),Other,10,0,2010,Actual,YTD,2009-09-30,10,10,Managing Director's Office,MDO
Mayor,Other,2,0,2010,Actual,YTD,2009-09-30,2,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,Other,0,0,2010,Actual,YTD,2009-09-30,0,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Mayor - Office of the Inspector General,Other,0,0,2010,Actual,YTD,2009-09-30,0,48,Office of the Inspector General,OIG
Mayor's Office of Comm. Svcs.,Other,80,0,2010,Actual,YTD,2009-09-30,80,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,Other,0,0,2010,Actual,YTD,2009-09-30,0,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,Other,0,0,2010,Actual,YTD,2009-09-30,0,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,Other,237,0,2010,Actual,YTD,2009-09-30,237,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Human Resources,Other,0,0,2010,Actual,YTD,2009-09-30,0,56,Office of Human Resources,OHR
Off. of Supportive Housing,Other,44,0,2010,Actual,YTD,2009-09-30,44,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,Other,75,0,2010,Actual,YTD,2009-09-30,75,06,Office of Housing and Community Development,
Prisons,Other,0,0,2010,Actual,YTD,2009-09-30,0,23,Philadelphia Prison System,Prisons
Procurement,Other,2,0,2010,Actual,YTD,2009-09-30,2,38,Procurement Department,Procurement
Public Health,Other,211,0,2010,Actual,YTD,2009-09-30,211,14,Department of Public Health,Public Health
Public Property,Other,0,0,2010,Actual,YTD,2009-09-30,0,20,Department of Public Property,Public Property
Records,Other,0,0,2010,Actual,YTD,2009-09-30,0,31,Department of Records,Records
Recreation,Other,17,0,2010,Actual,YTD,2009-09-30,17,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,Other,0,0,2010,Actual,YTD,2009-09-30,0,68,Register of Wills,
Revenue,Other,237,0,2010,Actual,YTD,2009-09-30,237,36,Department of Revenue,Revenue
Sheriff,Other,0,0,2010,Actual,YTD,2009-09-30,0,70,Office of the Sheriff,Sheriff
Streets,Other,0,0,2010,Actual,YTD,2009-09-30,0,12,Streets Department,Streets
Streets Sanitation,Other,0,0,2010,Actual,YTD,2009-09-30,0,12S,Streets: Sanitation,
Water,Other,1707,0,2010,Actual,YTD,2009-09-30,1707,28,Water Department,Water
Youth Commission,Other,0,0,2010,Actual,YTD,2009-09-30,0,47,Youth Commission,
Zoning Board of Adjustment,Other,0,0,2010,Actual,YTD,2009-09-30,0,30,Zoning Board of Adjustments,ZBA
Zoning Code Commission,Other,0,0,2010,Actual,YTD,2009-09-30,0,57,Zoning Code Commission,
Atwater Kent Museum,Total,4,0,2010,Actual,YTD,2009-09-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Total,123,0,2010,Actual,YTD,2009-09-30,123,61,City Controller's Office,
Board of Building Standards,Total,1,0,2010,Actual,YTD,2009-09-30,1,29,L&I: Board of Building and Standards,
Board of Ethics,Total,8,0,2010,Actual,YTD,2009-09-30,8,45,Board of Ethics,
Board of L & I Review,Total,2,0,2010,Actual,YTD,2009-09-30,2,27,L&I: Board of Review,
Bd. of Pensions,Total,69,0,2010,Actual,YTD,2009-09-30,69,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,Total,122,0,2010,Actual,YTD,2009-09-30,122,63,Board of Revision of Taxes,BRT
Camp William Penn,Total,1,0,2010,Actual,YTD,2009-09-30,1,19,Camp William Penn,
"Capital Program Office, Mayor-",Total,0,0,2010,Actual,YTD,2009-09-30,0,07,Capital Program Office,
City Commissioners (Election Board),Total,99,0,2010,Actual,YTD,2009-09-30,99,73,City Commissioner's Office,City Commissioners
City Council,Total,180,0,2010,Actual,YTD,2009-09-30,180,01,City Council,
City Planning Commission,Total,47,0,2010,Actual,YTD,2009-09-30,47,51,City Planning Commission,
City Representative,Total,7,0,2010,Actual,YTD,2009-09-30,7,41,Office of the City Representative,City Rep
