dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Auditing (City Controller's Office),General,116,0,2022,Actual,YTD,2021-09-30,116,61,City Controller's Office,
Board of Ethics,General,9,0,2022,Actual,YTD,2021-09-30,9,45,Board of Ethics,
Board of Pensions,General,0,0,2022,Actual,YTD,2021-09-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,14,0,2022,Actual,YTD,2021-09-30,14,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,132,0,2022,Actual,YTD,2021-09-30,132,73,City Commissioner's Office,City Commissioners
City Council,General,179,0,2022,Actual,YTD,2021-09-30,179,01,City Council,
City Representative,General,0,0,2022,Actual,YTD,2021-09-30,0,41,Office of the City Representative,City Rep
City Treasurer,General,16,0,2022,Actual,YTD,2021-09-30,16,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2022,Actual,YTD,2021-09-30,2,55,Civil Service Commission,
Commerce,General,32,0,2022,Actual,YTD,2021-09-30,32,42,Office of the Director of Commerce,Commerce
Finance,General,117,0,2022,Actual,YTD,2021-09-30,117,35,Office of the Director of Finance,Finance
First Judicial District,General,1741,0,2022,Actual,YTD,2021-09-30,1741,84,First Judicial District,FJD
Fleet Management,General,266,0,2022,Actual,YTD,2021-09-30,266,25,Office of Fleet Management,Fleet
Free Library,General,636,0,2022,Actual,YTD,2021-09-30,636,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,General,31,0,2022,Actual,YTD,2021-09-30,31,54,Commission on Human Relations,Human Relations
Human Services (1),General,492,0,2022,Actual,YTD,2021-09-30,492,22,Department of Human Services,DHS
Labor,General,26,0,2022,Actual,YTD,2021-09-30,26,03,Labor,
Law,General,168,0,2022,Actual,YTD,2021-09-30,168,44,Law Department,Law
Licenses & Inspections,General,359,0,2022,Actual,YTD,2021-09-30,359,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2022,Actual,YTD,2021-09-30,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2022,Actual,YTD,2021-09-30,2,27,L&I: Board of Review,
Managing Director's Office,General,290,0,2022,Actual,YTD,2021-09-30,290,10,Managing Director's Office,MDO
Mayor's Office,General,59,0,2022,Actual,YTD,2021-09-30,59,05,Mayor's Office,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2022,Actual,YTD,2021-09-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,General,8,0,2022,Actual,YTD,2021-09-30,8,50,Mural Arts Program,Mural Arts
