dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2010,Actual,YTD,2010-03-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,121,0,2010,Actual,YTD,2010-03-31,121,61,City Controller's Office,
Board of Building Standards,General,1,0,2010,Actual,YTD,2010-03-31,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,8,0,2010,Actual,YTD,2010-03-31,8,45,Board of Ethics,
Board of L & I Review,General,2,0,2010,Actual,YTD,2010-03-31,2,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2010,Actual,YTD,2010-03-31,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,119,0,2010,Actual,YTD,2010-03-31,119,63,Board of Revision of Taxes,BRT
Camp William Penn,General,1,0,2010,Actual,YTD,2010-03-31,1,19,Camp William Penn,
"Capital Program Office, Mayor-",General,0,0,2010,Actual,YTD,2010-03-31,0,07,Capital Program Office,
City Commissioners (Election Board),General,104,0,2010,Actual,YTD,2010-03-31,104,73,City Commissioner's Office,City Commissioners
City Council,General,179,0,2010,Actual,YTD,2010-03-31,179,01,City Council,
City Planning Commission,General,43,0,2010,Actual,YTD,2010-03-31,43,51,City Planning Commission,
City Representative,General,7,0,2010,Actual,YTD,2010-03-31,7,41,Office of the City Representative,City Rep
City Treasurer,General,12,0,2010,Actual,YTD,2010-03-31,12,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2010,Actual,YTD,2010-03-31,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,107,0,2010,Actual,YTD,2010-03-31,107,64,Clerk of Quarter Sessions,
Commerce,General,20,0,2010,Actual,YTD,2010-03-31,20,42,Office of the Director of Commerce,Commerce
Division of Technology,General,155,0,2010,Actual,YTD,2010-03-31,155,04,Office of Innovation and Technology,OIT
Fairmount Park,General,156,0,2010,Actual,YTD,2010-03-31,156,17,Fairmount Park Commission,
Finance,General,138,0,2010,Actual,YTD,2010-03-31,138,35,Office of the Director of Finance,Finance
First Judicial District,General,1752,0,2010,Actual,YTD,2010-03-31,1752,84,First Judicial District,FJD
Fleet Management,General,295,0,2010,Actual,YTD,2010-03-31,295,25,Office of Fleet Management,Fleet
Free Library,General,595,0,2010,Actual,YTD,2010-03-31,595,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2010,Actual,YTD,2010-03-31,6,32,Historical Commission,
Human Relations Commission,General,33,0,2010,Actual,YTD,2010-03-31,33,54,Commission on Human Relations,Human Relations
Human Services,General,1777,0,2010,Actual,YTD,2010-03-31,1777,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2010,Actual,YTD,2010-03-31,7,03,Labor,
Law,General,177,0,2010,Actual,YTD,2010-03-31,177,44,Law Department,Law
Licenses & Inspections,General,285,0,2010,Actual,YTD,2010-03-31,285,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,123,0,2010,Actual,YTD,2010-03-31,123,10,Managing Director's Office,MDO
Mayor,General,36,0,2010,Actual,YTD,2010-03-31,36,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,General,2,0,2010,Actual,YTD,2010-03-31,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Mayor - Office of the Inspector General,General,17,0,2010,Actual,YTD,2010-03-31,17,48,Office of the Inspector General,OIG
Mayor's Office of Comm. Svcs.,General,0,0,2010,Actual,YTD,2010-03-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,General,8,0,2010,Actual,YTD,2010-03-31,8,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,12,0,2010,Actual,YTD,2010-03-31,12,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,General,22,0,2010,Actual,YTD,2010-03-31,22,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Human Resources,General,59,0,2010,Actual,YTD,2010-03-31,59,56,Office of Human Resources,OHR
Off. of Supportive Housing,General,126,0,2010,Actual,YTD,2010-03-31,126,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2010,Actual,YTD,2010-03-31,0,06,Office of Housing and Community Development,
Prisons,General,2061,0,2010,Actual,YTD,2010-03-31,2061,23,Philadelphia Prison System,Prisons
Procurement,General,47,0,2010,Actual,YTD,2010-03-31,47,38,Procurement Department,Procurement
Public Health,General,660,0,2010,Actual,YTD,2010-03-31,660,14,Department of Public Health,Public Health
Public Property,General,128,0,2010,Actual,YTD,2010-03-31,128,20,Department of Public Property,Public Property
Records,General,59,0,2010,Actual,YTD,2010-03-31,59,31,Department of Records,Records
Recreation,General,435,0,2010,Actual,YTD,2010-03-31,435,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,General,63,0,2010,Actual,YTD,2010-03-31,63,68,Register of Wills,
Revenue,General,243,0,2010,Actual,YTD,2010-03-31,243,36,Department of Revenue,Revenue
Sheriff,General,233,0,2010,Actual,YTD,2010-03-31,233,70,Office of the Sheriff,Sheriff
Streets,General,518,0,2010,Actual,YTD,2010-03-31,518,12,Streets Department,Streets
Streets Sanitation,General,1139,0,2010,Actual,YTD,2010-03-31,1139,12S,Streets: Sanitation,
Water,General,0,0,2010,Actual,YTD,2010-03-31,0,28,Water Department,Water
Youth Commission,General,1,0,2010,Actual,YTD,2010-03-31,1,47,Youth Commission,
Zoning Board of Adjustment,General,5,0,2010,Actual,YTD,2010-03-31,5,30,Zoning Board of Adjustments,ZBA
Zoning Code Commission,General,2,0,2010,Actual,YTD,2010-03-31,2,57,Zoning Code Commission,
Atwater Kent Museum,Other,0,0,2010,Actual,YTD,2010-03-31,0,18,Atwater Kent Museum,Atwater Kent
