dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2017,Actual,YTD,2016-12-31,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,131,0,2017,Actual,YTD,2016-12-31,131,City Controller's Office,,61
Board of Ethics,General,11,0,2017,Actual,YTD,2016-12-31,11,Board of Ethics,,45
Board of Pensions,General,0,0,2017,Actual,YTD,2016-12-31,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,14,0,2017,Actual,YTD,2016-12-31,14,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,98,0,2017,Actual,YTD,2016-12-31,98,City Commissioner's Office,City Commissioners,73
City Council,General,192,0,2017,Actual,YTD,2016-12-31,192,City Council,,01
City Planning Commission,General,29,0,2017,Actual,YTD,2016-12-31,29,City Planning Commission,,51
City Representative,General,6,0,2017,Actual,YTD,2016-12-31,6,Office of the City Representative,City Rep,41
City Treasurer,General,14,0,2017,Actual,YTD,2016-12-31,14,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2017,Actual,YTD,2016-12-31,2,Civil Service Commission,,55
Commerce,General,29,0,2017,Actual,YTD,2016-12-31,29,Office of the Director of Commerce,Commerce,42
Finance,General,110,0,2017,Actual,YTD,2016-12-31,110,Office of the Director of Finance,Finance,35
First Judicial District,General,1862,0,2017,Actual,YTD,2016-12-31,1862,First Judicial District,FJD,84
Fleet Management,General,268,0,2017,Actual,YTD,2016-12-31,268,Office of Fleet Management,Fleet,25
Free Library,General,638,0,2017,Actual,YTD,2016-12-31,638,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,6,0,2017,Actual,YTD,2016-12-31,6,Historical Commission,,32
Human Relations Commission,General,32,0,2017,Actual,YTD,2016-12-31,32,Commission on Human Relations,Human Relations,54
Human Services (1),General,385,0,2017,Actual,YTD,2016-12-31,385,Department of Human Services,DHS,22
"Labor, Mayor's Office of",General,13,0,2017,Actual,YTD,2016-12-31,13,Labor,,03
Law,General,124,0,2017,Actual,YTD,2016-12-31,124,Law Department,Law,44
Licenses & Inspections,General,332,0,2017,Actual,YTD,2016-12-31,332,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2017,Actual,YTD,2016-12-31,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2017,Actual,YTD,2016-12-31,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,General,5,0,2017,Actual,YTD,2016-12-31,5,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,General,294,0,2017,Actual,YTD,2016-12-31,294,Managing Director's Office,MDO,10
Mayor's Office,General,43,0,2017,Actual,YTD,2016-12-31,43,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2017,Actual,YTD,2016-12-31,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,General,0,0,2017,Actual,YTD,2016-12-31,0,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,11,0,2017,Actual,YTD,2016-12-31,11,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,4,0,2017,Actual,YTD,2016-12-31,4,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,General,16,0,2017,Actual,YTD,2016-12-31,16,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,General,58,0,2017,Actual,YTD,2016-12-31,58,Office of the Chief Administrative Officer,CAO,65
Office of Community Schools and Pre-K,General,32,0,2017,Actual,YTD,2016-12-31,32,Office of Children and Families,OCF,66
Office of Homeless Services,General,150,0,2017,Actual,YTD,2016-12-31,150,Office of Homeless Services,OHS,24
Office of Housing & Comm. Development,General,0,0,2017,Actual,YTD,2016-12-31,0,Office of Housing and Community Development,,06
Office of Human Resources,General,85,0,2017,Actual,YTD,2016-12-31,85,Office of Human Resources,OHR,56
