dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2011,Actual,YTD,2011-06-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,113,0,2011,Actual,YTD,2011-06-30,113,61,City Controller's Office,
Board of Building Standards,General,1,0,2011,Actual,YTD,2011-06-30,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,8,0,2011,Actual,YTD,2011-06-30,8,45,Board of Ethics,
Board of L & I Review,General,2,0,2011,Actual,YTD,2011-06-30,2,27,L&I: Board of Review,
Board of Pensions,General,0,0,2011,Actual,YTD,2011-06-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,8,0,2011,Actual,YTD,2011-06-30,8,63,Board of Revision of Taxes,BRT
Camp William Penn,General,0,0,2011,Actual,YTD,2011-06-30,0,19,Camp William Penn,
City Commissioners (Election Board),General,95,0,2011,Actual,YTD,2011-06-30,95,73,City Commissioner's Office,City Commissioners
City Council,General,182,0,2011,Actual,YTD,2011-06-30,182,01,City Council,
City Planning Commission,General,33,0,2011,Actual,YTD,2011-06-30,33,51,City Planning Commission,
City Representative,General,6,0,2011,Actual,YTD,2011-06-30,6,41,Office of the City Representative,City Rep
City Treasurer,General,13,0,2011,Actual,YTD,2011-06-30,13,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2011,Actual,YTD,2011-06-30,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,0,0,2011,Actual,YTD,2011-06-30,0,64,Clerk of Quarter Sessions,
Commerce,General,23,0,2011,Actual,YTD,2011-06-30,23,42,Office of the Director of Commerce,Commerce
Division of Technology,General,258,0,2011,Actual,YTD,2011-06-30,258,04,Office of Innovation and Technology,OIT
Fairmount Park,General,0,0,2011,Actual,YTD,2011-06-30,0,17,Fairmount Park Commission,
Finance,General,140,0,2011,Actual,YTD,2011-06-30,140,35,Office of the Director of Finance,Finance
First Judicial District,General,1869,0,2011,Actual,YTD,2011-06-30,1869,84,First Judicial District,FJD
Fleet Management,General,265,0,2011,Actual,YTD,2011-06-30,265,25,Office of Fleet Management,Fleet
Free Library,General,619,0,2011,Actual,YTD,2011-06-30,619,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2011,Actual,YTD,2011-06-30,6,32,Historical Commission,
