dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,3,0,2015,Actual,YTD,2015-03-31,3,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,119,0,2015,Actual,YTD,2015-03-31,119,61,City Controller's Office,
Board of Ethics,General,10,0,2015,Actual,YTD,2015-03-31,10,45,Board of Ethics,
Board of Pensions,General,0,0,2015,Actual,YTD,2015-03-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,12,0,2015,Actual,YTD,2015-03-31,12,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,95,0,2015,Actual,YTD,2015-03-31,95,73,City Commissioner's Office,City Commissioners
City Council,General,180,0,2015,Actual,YTD,2015-03-31,180,01,City Council,
City Planning Commission,General,29,0,2015,Actual,YTD,2015-03-31,29,51,City Planning Commission,
City Representative,General,6,0,2015,Actual,YTD,2015-03-31,6,41,Office of the City Representative,City Rep
City Treasurer,General,13,0,2015,Actual,YTD,2015-03-31,13,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2015,Actual,YTD,2015-03-31,2,55,Civil Service Commission,
Commerce,General,20,0,2015,Actual,YTD,2015-03-31,20,42,Office of the Director of Commerce,Commerce
Finance,General,173,0,2015,Actual,YTD,2015-03-31,173,35,Office of the Director of Finance,Finance
First Judicial District,General,1821,0,2015,Actual,YTD,2015-03-31,1821,84,First Judicial District,FJD
Fleet Management,General,261,0,2015,Actual,YTD,2015-03-31,261,25,Office of Fleet Management,Fleet
Free Library,General,633,0,2015,Actual,YTD,2015-03-31,633,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2015,Actual,YTD,2015-03-31,6,32,Historical Commission,
Human Relations Commission,General,32,0,2015,Actual,YTD,2015-03-31,32,54,Commission on Human Relations,Human Relations
Human Services (1),General,450,0,2015,Actual,YTD,2015-03-31,450,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,9,0,2015,Actual,YTD,2015-03-31,9,03,Labor,
Law,General,146,0,2015,Actual,YTD,2015-03-31,146,44,Law Department,Law
Licenses & Inspections,General,328,0,2015,Actual,YTD,2015-03-31,328,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2015,Actual,YTD,2015-03-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2015,Actual,YTD,2015-03-31,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,5,0,2015,Actual,YTD,2015-03-31,5,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,255,0,2015,Actual,YTD,2015-03-31,255,10,Managing Director's Office,MDO
Mayor's Office,General,52,0,2015,Actual,YTD,2015-03-31,52,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2015,Actual,YTD,2015-03-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,12,0,2015,Actual,YTD,2015-03-31,12,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,10,0,2015,Actual,YTD,2015-03-31,10,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,2,0,2015,Actual,YTD,2015-03-31,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,14,0,2015,Actual,YTD,2015-03-31,14,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2015,Actual,YTD,2015-03-31,0,06,Office of Housing and Community Development,
Office of Human Resources,General,83,0,2015,Actual,YTD,2015-03-31,83,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,256,0,2015,Actual,YTD,2015-03-31,256,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,17,0,2015,Actual,YTD,2015-03-31,17,48,Office of the Inspector General,OIG
Office of Property Assessment,General,188,0,2015,Actual,YTD,2015-03-31,188,59,Office of Property Assessment,OPA
Office of Supportive Housing,General,139,0,2015,Actual,YTD,2015-03-31,139,24,Office of Homeless Services,OHS
Parks and Recreation,General,599,0,2015,Actual,YTD,2015-03-31,599,16,Department of Parks and Recreation,Parks & Recreation
Prisons,General,2310,0,2015,Actual,YTD,2015-03-31,2310,23,Philadelphia Prison System,Prisons
Procurement,General,44,0,2015,Actual,YTD,2015-03-31,44,38,Procurement Department,Procurement
Public Health,General,637,0,2015,Actual,YTD,2015-03-31,637,14,Department of Public Health,Public Health
Public Property,General,137,0,2015,Actual,YTD,2015-03-31,137,20,Department of Public Property,Public Property
Records,General,54,0,2015,Actual,YTD,2015-03-31,54,31,Department of Records,Records
Register of Wills,General,65,0,2015,Actual,YTD,2015-03-31,65,68,Register of Wills,
Revenue,General,312,0,2015,Actual,YTD,2015-03-31,312,36,Department of Revenue,Revenue
Sheriff,General,294,0,2015,Actual,YTD,2015-03-31,294,70,Office of the Sheriff,Sheriff
Streets Sanitation,General,1110,0,2015,Actual,YTD,2015-03-31,1110,12S,Streets: Sanitation,
Streets - Transportation,General,508,0,2015,Actual,YTD,2015-03-31,508,12T,Streets: Transportation,
Water,General,0,0,2015,Actual,YTD,2015-03-31,0,28,Water Department,Water
Youth Commission,General,1,0,2015,Actual,YTD,2015-03-31,1,47,Youth Commission,
Atwater Kent Museum,Other,0,0,2015,Actual,YTD,2015-03-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2015,Actual,YTD,2015-03-31,0,61,City Controller's Office,
Board of Ethics,Other,0,0,2015,Actual,YTD,2015-03-31,0,45,Board of Ethics,
Board of Pensions,Other,44,0,2015,Actual,YTD,2015-03-31,44,53,Board of Pensions,Pensions
Board of Revision of Taxes,Other,0,0,2015,Actual,YTD,2015-03-31,0,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),Other,0,0,2015,Actual,YTD,2015-03-31,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2015,Actual,YTD,2015-03-31,0,01,City Council,
City Planning Commission,Other,5,0,2015,Actual,YTD,2015-03-31,5,51,City Planning Commission,
City Representative,Other,0,0,2015,Actual,YTD,2015-03-31,0,41,Office of the City Representative,City Rep
City Treasurer,Other,1,0,2015,Actual,YTD,2015-03-31,1,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2015,Actual,YTD,2015-03-31,0,55,Civil Service Commission,
Commerce,Other,772,0,2015,Actual,YTD,2015-03-31,772,42,Office of the Director of Commerce,Commerce
Finance,Other,4,0,2015,Actual,YTD,2015-03-31,4,35,Office of the Director of Finance,Finance
First Judicial District,Other,464,0,2015,Actual,YTD,2015-03-31,464,84,First Judicial District,FJD
Fleet Management,Other,66,0,2015,Actual,YTD,2015-03-31,66,25,Office of Fleet Management,Fleet
Free Library,Other,15,0,2015,Actual,YTD,2015-03-31,15,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2015,Actual,YTD,2015-03-31,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2015,Actual,YTD,2015-03-31,0,54,Commission on Human Relations,Human Relations
Human Services (1),Other,1071,0,2015,Actual,YTD,2015-03-31,1071,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",Other,0,0,2015,Actual,YTD,2015-03-31,0,03,Labor,
Law,Other,52,0,2015,Actual,YTD,2015-03-31,52,44,Law Department,Law
Licenses & Inspections,Other,6,0,2015,Actual,YTD,2015-03-31,6,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,Other,0,0,2015,Actual,YTD,2015-03-31,0,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,Other,0,0,2015,Actual,YTD,2015-03-31,0,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,Other,0,0,2015,Actual,YTD,2015-03-31,0,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,Other,33,0,2015,Actual,YTD,2015-03-31,33,10,Managing Director's Office,MDO
Mayor's Office,Other,2,0,2015,Actual,YTD,2015-03-31,2,05,Mayor's Office,Mayor
