dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Museum,General,4,0,2014,Actual,YTD,2014-03-31,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,111,0,2014,Actual,YTD,2014-03-31,111,City Controller's Office,,61
Board of Ethics,General,9,0,2014,Actual,YTD,2014-03-31,9,Board of Ethics,,45
Board of Pensions,General,0,0,2014,Actual,YTD,2014-03-31,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,9,0,2014,Actual,YTD,2014-03-31,9,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,85,0,2014,Actual,YTD,2014-03-31,85,City Commissioner's Office,City Commissioners,73
City Council,General,168,0,2014,Actual,YTD,2014-03-31,168,City Council,,01
City Planning Commission,General,28,0,2014,Actual,YTD,2014-03-31,28,City Planning Commission,,51
City Representative,General,7,0,2014,Actual,YTD,2014-03-31,7,Office of the City Representative,City Rep,41
City Treasurer,General,13,0,2014,Actual,YTD,2014-03-31,13,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2014,Actual,YTD,2014-03-31,2,Civil Service Commission,,55
Commerce,General,27,0,2014,Actual,YTD,2014-03-31,27,Office of the Director of Commerce,Commerce,42
Finance,General,169,0,2014,Actual,YTD,2014-03-31,169,Office of the Director of Finance,Finance,35
First Judicial District,General,1871,0,2014,Actual,YTD,2014-03-31,1871,First Judicial District,FJD,84
Fleet Management,General,267,0,2014,Actual,YTD,2014-03-31,267,Office of Fleet Management,Fleet,25
Free Library,General,597,0,2014,Actual,YTD,2014-03-31,597,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,6,0,2014,Actual,YTD,2014-03-31,6,Historical Commission,,32
Human Relations Commission,General,30,0,2014,Actual,YTD,2014-03-31,30,Commission on Human Relations,Human Relations,54
Human Services (1),General,392,0,2014,Actual,YTD,2014-03-31,392,Department of Human Services,DHS,22
"Labor Relations, Mayor's Office of",General,7,0,2014,Actual,YTD,2014-03-31,7,Labor,,03
Law,General,147,0,2014,Actual,YTD,2014-03-31,147,Law Department,Law,44
Licenses & Inspections,General,299,0,2014,Actual,YTD,2014-03-31,299,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2014,Actual,YTD,2014-03-31,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2014,Actual,YTD,2014-03-31,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,General,5,0,2014,Actual,YTD,2014-03-31,5,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,General,272,0,2014,Actual,YTD,2014-03-31,272,Managing Director's Office,MDO,10
Mayor's Office,General,44,0,2014,Actual,YTD,2014-03-31,44,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2014,Actual,YTD,2014-03-31,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,General,13,0,2014,Actual,YTD,2014-03-31,13,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,11,0,2014,Actual,YTD,2014-03-31,11,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,1,0,2014,Actual,YTD,2014-03-31,1,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hlth/Intel. disAbility,General,16,0,2014,Actual,YTD,2014-03-31,16,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
