dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2013,Actual,YTD,2013-06-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,118,0,2013,Actual,YTD,2013-06-30,118,61,City Controller's Office,
Board of Building Standards,General,1,0,2013,Actual,YTD,2013-06-30,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,8,0,2013,Actual,YTD,2013-06-30,8,45,Board of Ethics,
Board of L & I Review,General,1,0,2013,Actual,YTD,2013-06-30,1,27,L&I: Board of Review,
Board of Pensions,General,0,0,2013,Actual,YTD,2013-06-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,7,0,2013,Actual,YTD,2013-06-30,7,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,90,0,2013,Actual,YTD,2013-06-30,90,73,City Commissioner's Office,City Commissioners
City Council,General,173,0,2013,Actual,YTD,2013-06-30,173,01,City Council,
City Planning Commission,General,31,0,2013,Actual,YTD,2013-06-30,31,51,City Planning Commission,
City Representative,General,8,0,2013,Actual,YTD,2013-06-30,8,41,Office of the City Representative,City Rep
City Treasurer,General,13,0,2013,Actual,YTD,2013-06-30,13,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2013,Actual,YTD,2013-06-30,2,55,Civil Service Commission,
Commerce,General,20,0,2013,Actual,YTD,2013-06-30,20,42,Office of the Director of Commerce,Commerce
Finance,General,163,0,2013,Actual,YTD,2013-06-30,163,35,Office of the Director of Finance,Finance
First Judicial District,General,1909,0,2013,Actual,YTD,2013-06-30,1909,84,First Judicial District,FJD
Fleet Management,General,273,0,2013,Actual,YTD,2013-06-30,273,25,Office of Fleet Management,Fleet
Free Library,General,609,0,2013,Actual,YTD,2013-06-30,609,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,5,0,2013,Actual,YTD,2013-06-30,5,32,Historical Commission,
Human Relations Commission,General,29,0,2013,Actual,YTD,2013-06-30,29,54,Commission on Human Relations,Human Relations
Human Services (1),General,349,0,2013,Actual,YTD,2013-06-30,349,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2013,Actual,YTD,2013-06-30,7,03,Labor,
Law,General,138,0,2013,Actual,YTD,2013-06-30,138,44,Law Department,Law
Licenses & Inspections,General,292,0,2013,Actual,YTD,2013-06-30,292,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,156,0,2013,Actual,YTD,2013-06-30,156,10,Managing Director's Office,MDO
Mayor,General,36,0,2013,Actual,YTD,2013-06-30,36,05,Mayor's Office,Mayor
Mayor - Office of Arts and Culture,General,2,0,2013,Actual,YTD,2013-06-30,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Mayor - Office of the Inspector General,General,18,0,2013,Actual,YTD,2013-06-30,18,48,Office of the Inspector General,OIG
Mayor's Office of Comm. Svcs.,General,15,0,2013,Actual,YTD,2013-06-30,15,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,General,13,0,2013,Actual,YTD,2013-06-30,13,46,Mayor's Office of Transportation and Utilities,
