dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2018,Actual,YTD,2017-12-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,130,0,2018,Actual,YTD,2017-12-31,130,61,City Controller's Office,
Board of Ethics,General,11,0,2018,Actual,YTD,2017-12-31,11,45,Board of Ethics,
Board of Pensions,General,0,0,2018,Actual,YTD,2017-12-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,12,0,2018,Actual,YTD,2017-12-31,12,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,101,0,2018,Actual,YTD,2017-12-31,101,73,City Commissioner's Office,City Commissioners
City Council,General,194,0,2018,Actual,YTD,2017-12-31,194,01,City Council,
City Planning Commission,General,0,0,2018,Actual,YTD,2017-12-31,0,51,City Planning Commission,
City Representative,General,7,0,2018,Actual,YTD,2017-12-31,7,41,Office of the City Representative,City Rep
City Treasurer,General,16,0,2018,Actual,YTD,2017-12-31,16,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2018,Actual,YTD,2017-12-31,2,55,Civil Service Commission,
Commerce,General,30,0,2018,Actual,YTD,2017-12-31,30,42,Office of the Director of Commerce,Commerce
Finance,General,111,0,2018,Actual,YTD,2017-12-31,111,35,Office of the Director of Finance,Finance
First Judicial District,General,1860,0,2018,Actual,YTD,2017-12-31,1860,84,First Judicial District,FJD
Fleet Management,General,283,0,2018,Actual,YTD,2017-12-31,283,25,Office of Fleet Management,Fleet
Free Library,General,651,0,2018,Actual,YTD,2017-12-31,651,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,0,0,2018,Actual,YTD,2017-12-31,0,32,Historical Commission,
Human Relations Commission,General,31,0,2018,Actual,YTD,2017-12-31,31,54,Commission on Human Relations,Human Relations
Human Services (1),General,437,0,2018,Actual,YTD,2017-12-31,437,22,Department of Human Services,DHS
"Labor, Mayor's Office of",General,21,0,2018,Actual,YTD,2017-12-31,21,03,Labor,
Law,General,121,0,2018,Actual,YTD,2017-12-31,121,44,Law Department,Law
Licenses & Inspections,General,379,0,2018,Actual,YTD,2017-12-31,379,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2018,Actual,YTD,2017-12-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2018,Actual,YTD,2017-12-31,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,0,0,2018,Actual,YTD,2017-12-31,0,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,303,0,2018,Actual,YTD,2017-12-31,303,10,Managing Director's Office,MDO
Mayor's Office,General,41,0,2018,Actual,YTD,2017-12-31,41,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,2,0,2018,Actual,YTD,2017-12-31,2,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,0,0,2018,Actual,YTD,2017-12-31,0,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,10,0,2018,Actual,YTD,2017-12-31,10,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,4,0,2018,Actual,YTD,2017-12-31,4,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,16,0,2018,Actual,YTD,2017-12-31,16,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Chief Administrative Officer,General,61,0,2018,Actual,YTD,2017-12-31,61,63,Board of Revision of Taxes,BRT
Office of Community Schools and Pre-K,General,32,0,2018,Actual,YTD,2017-12-31,32,66,Office of Children and Families,OCF
Office of Homeless Services,General,150,0,2018,Actual,YTD,2017-12-31,150,24,Office of Homeless Services,OHS
Office of Housing & Comm. Development,General,0,0,2018,Actual,YTD,2017-12-31,0,06,Office of Housing and Community Development,
Office of Human Resources,General,74,0,2018,Actual,YTD,2017-12-31,74,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,282,0,2018,Actual,YTD,2017-12-31,282,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,19,0,2018,Actual,YTD,2017-12-31,19,48,Office of the Inspector General,OIG
Office of Planning and Development,General,0,0,2018,Actual,YTD,2017-12-31,0,62,Mayor's Office of Planning and Development,
Office of Property Assessment,General,192,0,2018,Actual,YTD,2017-12-31,192,59,Office of Property Assessment,OPA
Office of Sustainability,General,8,0,2018,Actual,YTD,2017-12-31,8,49,Office of Sustainability,Sustainability
Parks and Recreation,General,652,0,2018,Actual,YTD,2017-12-31,652,16,Department of Parks and Recreation,Parks & Recreation
Planning & Development,General,45,0,2018,Actual,YTD,2017-12-31,45,72,Department of Planning and Development,Planning & Development
Prisons,General,2234,0,2018,Actual,YTD,2017-12-31,2234,23,Philadelphia Prison System,Prisons
Procurement,General,45,0,2018,Actual,YTD,2017-12-31,45,38,Procurement Department,Procurement
Public Health,General,724,0,2018,Actual,YTD,2017-12-31,724,14,Department of Public Health,Public Health
Public Property,General,136,0,2018,Actual,YTD,2017-12-31,136,20,Department of Public Property,Public Property
Records,General,56,0,2018,Actual,YTD,2017-12-31,56,31,Department of Records,Records
Register of Wills,General,69,0,2018,Actual,YTD,2017-12-31,69,68,Register of Wills,
Revenue,General,406,0,2018,Actual,YTD,2017-12-31,406,36,Department of Revenue,Revenue
Sheriff,General,370,0,2018,Actual,YTD,2017-12-31,370,70,Office of the Sheriff,Sheriff
Streets,General,1700,0,2018,Actual,YTD,2017-12-31,1700,12,Streets Department,Streets
Water,General,0,0,2018,Actual,YTD,2017-12-31,0,28,Water Department,Water
Water Rate Board,General,0,0,2018,Actual,YTD,2017-12-31,0,67,"Water, Sewer, and Stormwater Rate Board",
Youth Commission,General,0,0,2018,Actual,YTD,2017-12-31,0,47,Youth Commission,
Atwater Kent Museum,Other,0,0,2018,Actual,YTD,2017-12-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2018,Actual,YTD,2017-12-31,0,61,City Controller's Office,
Board of Ethics,Other,0,0,2018,Actual,YTD,2017-12-31,0,45,Board of Ethics,
Board of Pensions,Other,55,0,2018,Actual,YTD,2017-12-31,55,53,Board of Pensions,Pensions
Board of Revision of Taxes,Other,0,0,2018,Actual,YTD,2017-12-31,0,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),Other,0,0,2018,Actual,YTD,2017-12-31,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2018,Actual,YTD,2017-12-31,0,01,City Council,
City Planning Commission,Other,0,0,2018,Actual,YTD,2017-12-31,0,51,City Planning Commission,
City Representative,Other,0,0,2018,Actual,YTD,2017-12-31,0,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2018,Actual,YTD,2017-12-31,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2018,Actual,YTD,2017-12-31,0,55,Civil Service Commission,
Commerce,Other,763,0,2018,Actual,YTD,2017-12-31,763,42,Office of the Director of Commerce,Commerce
Finance,Other,0,0,2018,Actual,YTD,2017-12-31,0,35,Office of the Director of Finance,Finance
First Judicial District,Other,512,0,2018,Actual,YTD,2017-12-31,512,84,First Judicial District,FJD
Fleet Management,Other,75,0,2018,Actual,YTD,2017-12-31,75,25,Office of Fleet Management,Fleet
Free Library,Other,13,0,2018,Actual,YTD,2017-12-31,13,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2018,Actual,YTD,2017-12-31,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2018,Actual,YTD,2017-12-31,0,54,Commission on Human Relations,Human Relations
Human Services (1),Other,1121,0,2018,Actual,YTD,2017-12-31,1121,22,Department of Human Services,DHS
"Labor, Mayor's Office of",Other,0,0,2018,Actual,YTD,2017-12-31,0,03,Labor,
Law,Other,53,0,2018,Actual,YTD,2017-12-31,53,44,Law Department,Law
Licenses & Inspections,Other,8,0,2018,Actual,YTD,2017-12-31,8,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,Other,0,0,2018,Actual,YTD,2017-12-31,0,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,Other,0,0,2018,Actual,YTD,2017-12-31,0,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,Other,0,0,2018,Actual,YTD,2017-12-31,0,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,Other,48,0,2018,Actual,YTD,2017-12-31,48,10,Managing Director's Office,MDO
Mayor's Office,Other,3,0,2018,Actual,YTD,2017-12-31,3,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,Other,31,0,2018,Actual,YTD,2017-12-31,31,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,Other,0,0,2018,Actual,YTD,2017-12-31,0,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,Other,0,0,2018,Actual,YTD,2017-12-31,0,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,Other,0,0,2018,Actual,YTD,2017-12-31,0,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,Other,237,0,2018,Actual,YTD,2017-12-31,237,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Chief Administrative Officer,Other,0,0,2018,Actual,YTD,2017-12-31,0,63,Board of Revision of Taxes,BRT
Office of Community Schools and Pre-K,Other,0,0,2018,Actual,YTD,2017-12-31,0,66,Office of Children and Families,OCF
