dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2014,Actual,YTD,2013-12-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,111,0,2014,Actual,YTD,2013-12-31,111,61,City Controller's Office,
Board of Ethics,General,9,0,2014,Actual,YTD,2013-12-31,9,45,Board of Ethics,
Board of Pensions,General,0,0,2014,Actual,YTD,2013-12-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,9,0,2014,Actual,YTD,2013-12-31,9,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,85,0,2014,Actual,YTD,2013-12-31,85,73,City Commissioner's Office,City Commissioners
City Council,General,174,0,2014,Actual,YTD,2013-12-31,174,01,City Council,
City Planning Commission,General,28,0,2014,Actual,YTD,2013-12-31,28,51,City Planning Commission,
City Representative,General,7,0,2014,Actual,YTD,2013-12-31,7,41,Office of the City Representative,City Rep
City Treasurer,General,13,0,2014,Actual,YTD,2013-12-31,13,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2014,Actual,YTD,2013-12-31,2,55,Civil Service Commission,
Commerce,General,27,0,2014,Actual,YTD,2013-12-31,27,42,Office of the Director of Commerce,Commerce
Finance,General,169,0,2014,Actual,YTD,2013-12-31,169,35,Office of the Director of Finance,Finance
First Judicial District,General,1871,0,2014,Actual,YTD,2013-12-31,1871,84,First Judicial District,FJD
Fleet Management,General,267,0,2014,Actual,YTD,2013-12-31,267,25,Office of Fleet Management,Fleet
Free Library,General,597,0,2014,Actual,YTD,2013-12-31,597,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2014,Actual,YTD,2013-12-31,6,32,Historical Commission,
Human Relations Commission,General,30,0,2014,Actual,YTD,2013-12-31,30,54,Commission on Human Relations,Human Relations
Human Services (1),General,349,0,2014,Actual,YTD,2013-12-31,349,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2014,Actual,YTD,2013-12-31,7,03,Labor,
Law,General,147,0,2014,Actual,YTD,2013-12-31,147,44,Law Department,Law
Licenses & Inspections,General,305,0,2014,Actual,YTD,2013-12-31,305,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2014,Actual,YTD,2013-12-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2014,Actual,YTD,2013-12-31,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,5,0,2014,Actual,YTD,2013-12-31,5,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,272,0,2014,Actual,YTD,2013-12-31,272,10,Managing Director's Office,MDO
Mayor's Office,General,44,0,2014,Actual,YTD,2013-12-31,44,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2014,Actual,YTD,2013-12-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,13,0,2014,Actual,YTD,2013-12-31,13,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,11,0,2014,Actual,YTD,2013-12-31,11,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,1,0,2014,Actual,YTD,2013-12-31,1,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,16,0,2014,Actual,YTD,2013-12-31,16,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2014,Actual,YTD,2013-12-31,0,06,Office of Housing and Community Development,
Office of Human Resources,General,80,0,2014,Actual,YTD,2013-12-31,80,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,256,0,2014,Actual,YTD,2013-12-31,256,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,17,0,2014,Actual,YTD,2013-12-31,17,48,Office of the Inspector General,OIG
Office of Property Assessment,General,173,0,2014,Actual,YTD,2013-12-31,173,59,Office of Property Assessment,OPA
Office of Supportive Housing,General,152,0,2014,Actual,YTD,2013-12-31,152,24,Office of Homeless Services,OHS
Parks and Recreation,General,602,0,2014,Actual,YTD,2013-12-31,602,16,Department of Parks and Recreation,Parks & Recreation
Prisons,General,2293,0,2014,Actual,YTD,2013-12-31,2293,23,Philadelphia Prison System,Prisons
Procurement,General,46,0,2014,Actual,YTD,2013-12-31,46,38,Procurement Department,Procurement
Public Health,General,674,0,2014,Actual,YTD,2013-12-31,674,14,Department of Public Health,Public Health
Public Property,General,124,0,2014,Actual,YTD,2013-12-31,124,20,Department of Public Property,Public Property
Records,General,60,0,2014,Actual,YTD,2013-12-31,60,31,Department of Records,Records
Register of Wills,General,62,0,2014,Actual,YTD,2013-12-31,62,68,Register of Wills,
Revenue,General,268,0,2014,Actual,YTD,2013-12-31,268,36,Department of Revenue,Revenue
Sheriff,General,258,0,2014,Actual,YTD,2013-12-31,258,70,Office of the Sheriff,Sheriff
Streets - Sanitation,General,1169,0,2014,Actual,YTD,2013-12-31,1169,12S,Streets: Sanitation,
Streets - Transportation,General,521,0,2014,Actual,YTD,2013-12-31,521,12T,Streets: Transportation,
Water,General,0,0,2014,Actual,YTD,2013-12-31,0,28,Water Department,Water
Youth Commission,General,2,0,2014,Actual,YTD,2013-12-31,2,47,Youth Commission,
Atwater Kent Museum,Other,0,0,2014,Actual,YTD,2013-12-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2014,Actual,YTD,2013-12-31,0,61,City Controller's Office,
Board of Ethics,Other,0,0,2014,Actual,YTD,2013-12-31,0,45,Board of Ethics,
Board of Pensions,Other,54,0,2014,Actual,YTD,2013-12-31,54,53,Board of Pensions,Pensions
Board of Revision of Taxes,Other,0,0,2014,Actual,YTD,2013-12-31,0,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),Other,0,0,2014,Actual,YTD,2013-12-31,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2014,Actual,YTD,2013-12-31,0,01,City Council,
City Planning Commission,Other,3,0,2014,Actual,YTD,2013-12-31,3,51,City Planning Commission,
City Representative,Other,0,0,2014,Actual,YTD,2013-12-31,0,41,Office of the City Representative,City Rep
