dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2009,Actual,YTD,2008-09-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,123,0,2009,Actual,YTD,2008-09-30,123,61,City Controller's Office,
Board of Building Standards,General,2,0,2009,Actual,YTD,2008-09-30,2,29,L&I: Board of Building and Standards,
Board of Ethics,General,9,0,2009,Actual,YTD,2008-09-30,9,45,Board of Ethics,
Board of L & I Review,General,3,0,2009,Actual,YTD,2008-09-30,3,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2009,Actual,YTD,2008-09-30,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,137,0,2009,Actual,YTD,2008-09-30,137,63,Board of Revision of Taxes,BRT
Camp William Penn,General,0,0,2009,Actual,YTD,2008-09-30,0,19,Camp William Penn,
"Capital Program Office, Mayor-",General,36,0,2009,Actual,YTD,2008-09-30,36,07,Capital Program Office,
City Commissioners (Election Board),General,95,0,2009,Actual,YTD,2008-09-30,95,73,City Commissioner's Office,City Commissioners
City Council,General,193,0,2009,Actual,YTD,2008-09-30,193,01,City Council,
City Planning Commission,General,44,0,2009,Actual,YTD,2008-09-30,44,51,City Planning Commission,
City Representative,General,7,0,2009,Actual,YTD,2008-09-30,7,41,Office of the City Representative,City Rep
City Treasurer,General,11,0,2009,Actual,YTD,2008-09-30,11,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2009,Actual,YTD,2008-09-30,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,120,0,2009,Actual,YTD,2008-09-30,120,64,Clerk of Quarter Sessions,
Commerce,General,9,0,2009,Actual,YTD,2008-09-30,9,42,Office of the Director of Commerce,Commerce
Fairmount Park,General,157,0,2009,Actual,YTD,2008-09-30,157,17,Fairmount Park Commission,
Finance,General,180,0,2009,Actual,YTD,2008-09-30,180,35,Office of the Director of Finance,Finance
First Judicial District,General,1958,0,2009,Actual,YTD,2008-09-30,1958,84,First Judicial District,FJD
