dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2009,Actual,YTD,2009-03-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,125,0,2009,Actual,YTD,2009-03-31,125,61,City Controller's Office,
Board of Building Standards,General,1,0,2009,Actual,YTD,2009-03-31,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,9,0,2009,Actual,YTD,2009-03-31,9,45,Board of Ethics,
Board of L & I Review,General,2,0,2009,Actual,YTD,2009-03-31,2,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2009,Actual,YTD,2009-03-31,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,137,0,2009,Actual,YTD,2009-03-31,137,63,Board of Revision of Taxes,BRT
Camp William Penn,General,1,0,2009,Actual,YTD,2009-03-31,1,19,Camp William Penn,
"Capital Program Office, Mayor-",General,27,0,2009,Actual,YTD,2009-03-31,27,07,Capital Program Office,
City Commissioners (Election Board),General,100,0,2009,Actual,YTD,2009-03-31,100,73,City Commissioner's Office,City Commissioners
City Council,General,188,0,2009,Actual,YTD,2009-03-31,188,01,City Council,
City Planning Commission,General,43,0,2009,Actual,YTD,2009-03-31,43,51,City Planning Commission,
City Representative,General,6,0,2009,Actual,YTD,2009-03-31,6,41,Office of the City Representative,City Rep
City Treasurer,General,9,0,2009,Actual,YTD,2009-03-31,9,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2009,Actual,YTD,2009-03-31,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,112,0,2009,Actual,YTD,2009-03-31,112,64,Clerk of Quarter Sessions,
Commerce,General,24,0,2009,Actual,YTD,2009-03-31,24,42,Office of the Director of Commerce,Commerce
Fairmount Park,General,156,0,2009,Actual,YTD,2009-03-31,156,17,Fairmount Park Commission,
Finance,General,146,0,2009,Actual,YTD,2009-03-31,146,35,Office of the Director of Finance,Finance
First Judicial District,General,1936,0,2009,Actual,YTD,2009-03-31,1936,84,First Judicial District,FJD
Fleet Management,General,306,0,2009,Actual,YTD,2009-03-31,306,25,Office of Fleet Management,Fleet
Free Library,General,644,0,2009,Actual,YTD,2009-03-31,644,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2009,Actual,YTD,2009-03-31,6,32,Historical Commission,
Human Relations Commission,General,34,0,2009,Actual,YTD,2009-03-31,34,54,Commission on Human Relations,Human Relations
Human Services,General,1781,0,2009,Actual,YTD,2009-03-31,1781,22,Department of Human Services,DHS
"Information Services, Mayor's Office of",General,142,0,2009,Actual,YTD,2009-03-31,142,04,Office of Innovation and Technology,OIT
"Labor Relations, Mayor's Office of",General,7,0,2009,Actual,YTD,2009-03-31,7,03,Labor,
Law,General,184,0,2009,Actual,YTD,2009-03-31,184,44,Law Department,Law
Licenses & Inspections,General,330,0,2009,Actual,YTD,2009-03-31,330,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,124,0,2009,Actual,YTD,2009-03-31,124,10,Managing Director's Office,MDO
Mayor,General,72,0,2009,Actual,YTD,2009-03-31,72,05,Mayor's Office,Mayor
Mayor's Office of Comm. Svcs.,General,0,0,2009,Actual,YTD,2009-03-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,General,8,0,2009,Actual,YTD,2009-03-31,8,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,12,0,2009,Actual,YTD,2009-03-31,12,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,General,26,0,2009,Actual,YTD,2009-03-31,26,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Off.of Supportive Housing,General,133,0,2009,Actual,YTD,2009-03-31,133,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2009,Actual,YTD,2009-03-31,0,06,Office of Housing and Community Development,
Personnel,General,65,0,2009,Actual,YTD,2009-03-31,65,56,Office of Human Resources,OHR
Prisons,General,2026,0,2009,Actual,YTD,2009-03-31,2026,23,Philadelphia Prison System,Prisons
Procurement,General,49,0,2009,Actual,YTD,2009-03-31,49,38,Procurement Department,Procurement
Public Health,General,672,0,2009,Actual,YTD,2009-03-31,672,14,Department of Public Health,Public Health
Public Property,General,137,0,2009,Actual,YTD,2009-03-31,137,20,Department of Public Property,Public Property
Records,General,68,0,2009,Actual,YTD,2009-03-31,68,31,Department of Records,Records
Recreation,General,447,0,2009,Actual,YTD,2009-03-31,447,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,General,67,0,2009,Actual,YTD,2009-03-31,67,68,Register of Wills,
Revenue,General,258,0,2009,Actual,YTD,2009-03-31,258,36,Department of Revenue,Revenue
Sheriff,General,241,0,2009,Actual,YTD,2009-03-31,241,70,Office of the Sheriff,Sheriff
Streets,General,577,0,2009,Actual,YTD,2009-03-31,577,12,Streets Department,Streets
Streets Sanitation,General,1196,0,2009,Actual,YTD,2009-03-31,1196,12S,Streets: Sanitation,
Water,General,0,0,2009,Actual,YTD,2009-03-31,0,28,Water Department,Water
Youth Commission,General,1,0,2009,Actual,YTD,2009-03-31,1,47,Youth Commission,
Zoning Board of Adjustment,General,5,0,2009,Actual,YTD,2009-03-31,5,30,Zoning Board of Adjustments,ZBA
Zoning Code Commission,General,1,0,2009,Actual,YTD,2009-03-31,1,57,Zoning Code Commission,
Atwater Kent Museum,Other,0,0,2009,Actual,YTD,2009-03-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2009,Actual,YTD,2009-03-31,0,61,City Controller's Office,
Board of Building Standards,Other,0,0,2009,Actual,YTD,2009-03-31,0,29,L&I: Board of Building and Standards,
Board of Ethics,Other,0,0,2009,Actual,YTD,2009-03-31,0,45,Board of Ethics,
Board of L & I Review,Other,0,0,2009,Actual,YTD,2009-03-31,0,27,L&I: Board of Review,
Bd. of Pensions,Other,65,0,2009,Actual,YTD,2009-03-31,65,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,Other,0,0,2009,Actual,YTD,2009-03-31,0,63,Board of Revision of Taxes,BRT
Camp William Penn,Other,0,0,2009,Actual,YTD,2009-03-31,0,19,Camp William Penn,
"Capital Program Office, Mayor-",Other,0,0,2009,Actual,YTD,2009-03-31,0,07,Capital Program Office,
City Commissioners (Election Board),Other,0,0,2009,Actual,YTD,2009-03-31,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2009,Actual,YTD,2009-03-31,0,01,City Council,
City Planning Commission,Other,5,0,2009,Actual,YTD,2009-03-31,5,51,City Planning Commission,
City Representative,Other,0,0,2009,Actual,YTD,2009-03-31,0,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2009,Actual,YTD,2009-03-31,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2009,Actual,YTD,2009-03-31,0,55,Civil Service Commission,
Clerk of Quarter Sessions,Other,0,0,2009,Actual,YTD,2009-03-31,0,64,Clerk of Quarter Sessions,
Commerce,Other,764,0,2009,Actual,YTD,2009-03-31,764,42,Office of the Director of Commerce,Commerce
Fairmount Park,Other,1,0,2009,Actual,YTD,2009-03-31,1,17,Fairmount Park Commission,
Finance,Other,6,0,2009,Actual,YTD,2009-03-31,6,35,Office of the Director of Finance,Finance
First Judicial District,Other,459,0,2009,Actual,YTD,2009-03-31,459,84,First Judicial District,FJD
Fleet Management,Other,58,0,2009,Actual,YTD,2009-03-31,58,25,Office of Fleet Management,Fleet
Free Library,Other,89,0,2009,Actual,YTD,2009-03-31,89,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2009,Actual,YTD,2009-03-31,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2009,Actual,YTD,2009-03-31,0,54,Commission on Human Relations,Human Relations
Human Services,Other,68,0,2009,Actual,YTD,2009-03-31,68,22,Department of Human Services,DHS
"Information Services, Mayor's Office of",Other,16,0,2009,Actual,YTD,2009-03-31,16,04,Office of Innovation and Technology,OIT
"Labor Relations, Mayor's Office of",Other,0,0,2009,Actual,YTD,2009-03-31,0,03,Labor,
Law,Other,54,0,2009,Actual,YTD,2009-03-31,54,44,Law Department,Law
Licenses & Inspections,Other,14,0,2009,Actual,YTD,2009-03-31,14,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),Other,3,0,2009,Actual,YTD,2009-03-31,3,10,Managing Director's Office,MDO
Mayor,Other,3,0,2009,Actual,YTD,2009-03-31,3,05,Mayor's Office,Mayor
Mayor's Office of Comm. Svcs.,Other,83,0,2009,Actual,YTD,2009-03-31,83,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,Other,0,0,2009,Actual,YTD,2009-03-31,0,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,Other,0,0,2009,Actual,YTD,2009-03-31,0,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,Other,242,0,2009,Actual,YTD,2009-03-31,242,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Off.of Supportive Housing,Other,46,0,2009,Actual,YTD,2009-03-31,46,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,Other,76,0,2009,Actual,YTD,2009-03-31,76,06,Office of Housing and Community Development,
Personnel,Other,0,0,2009,Actual,YTD,2009-03-31,0,56,Office of Human Resources,OHR
Prisons,Other,0,0,2009,Actual,YTD,2009-03-31,0,23,Philadelphia Prison System,Prisons
Procurement,Other,2,0,2009,Actual,YTD,2009-03-31,2,38,Procurement Department,Procurement
Public Health,Other,218,0,2009,Actual,YTD,2009-03-31,218,14,Department of Public Health,Public Health
Public Property,Other,0,0,2009,Actual,YTD,2009-03-31,0,20,Department of Public Property,Public Property
Records,Other,0,0,2009,Actual,YTD,2009-03-31,0,31,Department of Records,Records
Recreation,Other,20,0,2009,Actual,YTD,2009-03-31,20,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,Other,0,0,2009,Actual,YTD,2009-03-31,0,68,Register of Wills,
Revenue,Other,225,0,2009,Actual,YTD,2009-03-31,225,36,Department of Revenue,Revenue
Sheriff,Other,0,0,2009,Actual,YTD,2009-03-31,0,70,Office of the Sheriff,Sheriff
Streets,Other,0,0,2009,Actual,YTD,2009-03-31,0,12,Streets Department,Streets
Streets Sanitation,Other,0,0,2009,Actual,YTD,2009-03-31,0,12S,Streets: Sanitation,
Water,Other,1729,0,2009,Actual,YTD,2009-03-31,1729,28,Water Department,Water
Youth Commission,Other,0,0,2009,Actual,YTD,2009-03-31,0,47,Youth Commission,
Zoning Board of Adjustment,Other,0,0,2009,Actual,YTD,2009-03-31,0,30,Zoning Board of Adjustments,ZBA
Zoning Code Commission,Other,0,0,2009,Actual,YTD,2009-03-31,0,57,Zoning Code Commission,
Atwater Kent Museum,Total,4,0,2009,Actual,YTD,2009-03-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Total,125,0,2009,Actual,YTD,2009-03-31,125,61,City Controller's Office,
Board of Building Standards,Total,1,0,2009,Actual,YTD,2009-03-31,1,29,L&I: Board of Building and Standards,
Board of Ethics,Total,9,0,2009,Actual,YTD,2009-03-31,9,45,Board of Ethics,
Board of L & I Review,Total,2,0,2009,Actual,YTD,2009-03-31,2,27,L&I: Board of Review,
Bd. of Pensions,Total,65,0,2009,Actual,YTD,2009-03-31,65,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,Total,137,0,2009,Actual,YTD,2009-03-31,137,63,Board of Revision of Taxes,BRT
Camp William Penn,Total,1,0,2009,Actual,YTD,2009-03-31,1,19,Camp William Penn,
"Capital Program Office, Mayor-",Total,27,0,2009,Actual,YTD,2009-03-31,27,07,Capital Program Office,
City Commissioners (Election Board),Total,100,0,2009,Actual,YTD,2009-03-31,100,73,City Commissioner's Office,City Commissioners
City Council,Total,188,0,2009,Actual,YTD,2009-03-31,188,01,City Council,
City Planning Commission,Total,48,0,2009,Actual,YTD,2009-03-31,48,51,City Planning Commission,
City Representative,Total,6,0,2009,Actual,YTD,2009-03-31,6,41,Office of the City Representative,City Rep
City Treasurer,Total,9,0,2009,Actual,YTD,2009-03-31,9,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Total,2,0,2009,Actual,YTD,2009-03-31,2,55,Civil Service Commission,
Clerk of Quarter Sessions,Total,112,0,2009,Actual,YTD,2009-03-31,112,64,Clerk of Quarter Sessions,
Commerce,Total,788,0,2009,Actual,YTD,2009-03-31,788,42,Office of the Director of Commerce,Commerce
Fairmount Park,Total,157,0,2009,Actual,YTD,2009-03-31,157,17,Fairmount Park Commission,
Finance,Total,152,0,2009,Actual,YTD,2009-03-31,152,35,Office of the Director of Finance,Finance
First Judicial District,Total,2395,0,2009,Actual,YTD,2009-03-31,2395,84,First Judicial District,FJD
Fleet Management,Total,364,0,2009,Actual,YTD,2009-03-31,364,25,Office of Fleet Management,Fleet
Free Library,Total,733,0,2009,Actual,YTD,2009-03-31,733,52,The Free Library of Philadelphia,Free Library
Historical Commission,Total,6,0,2009,Actual,YTD,2009-03-31,6,32,Historical Commission,
Human Relations Commission,Total,34,0,2009,Actual,YTD,2009-03-31,34,54,Commission on Human Relations,Human Relations
Human Services,Total,1849,0,2009,Actual,YTD,2009-03-31,1849,22,Department of Human Services,DHS
"Information Services, Mayor's Office of",Total,158,0,2009,Actual,YTD,2009-03-31,158,04,Office of Innovation and Technology,OIT
"Labor Relations, Mayor's Office of",Total,7,0,2009,Actual,YTD,2009-03-31,7,03,Labor,
Law,Total,238,0,2009,Actual,YTD,2009-03-31,238,44,Law Department,Law
Licenses & Inspections,Total,344,0,2009,Actual,YTD,2009-03-31,344,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),Total,127,0,2009,Actual,YTD,2009-03-31,127,10,Managing Director's Office,MDO
Mayor,Total,75,0,2009,Actual,YTD,2009-03-31,75,05,Mayor's Office,Mayor
Mayor's Office of Comm. Svcs.,Total,83,0,2009,Actual,YTD,2009-03-31,83,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation,Total,8,0,2009,Actual,YTD,2009-03-31,8,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,Total,12,0,2009,Actual,YTD,2009-03-31,12,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,Total,268,0,2009,Actual,YTD,2009-03-31,268,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Off.of Supportive Housing,Total,179,0,2009,Actual,YTD,2009-03-31,179,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,Total,76,0,2009,Actual,YTD,2009-03-31,76,06,Office of Housing and Community Development,
Personnel,Total,65,0,2009,Actual,YTD,2009-03-31,65,56,Office of Human Resources,OHR
Prisons,Total,2026,0,2009,Actual,YTD,2009-03-31,2026,23,Philadelphia Prison System,Prisons
Procurement,Total,51,0,2009,Actual,YTD,2009-03-31,51,38,Procurement Department,Procurement
