dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2008,Actual,YTD,2007-09-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,126,0,2008,Actual,YTD,2007-09-30,126,61,City Controller's Office,
Board of Building Standards,General,2,0,2008,Actual,YTD,2007-09-30,2,29,L&I: Board of Building and Standards,
Board of Ethics,General,3,0,2008,Actual,YTD,2007-09-30,3,45,Board of Ethics,
Board of L & I Review,General,3,0,2008,Actual,YTD,2007-09-30,3,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2008,Actual,YTD,2007-09-30,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,126,0,2008,Actual,YTD,2007-09-30,126,63,Board of Revision of Taxes,BRT
Camp William Penn,General,3,0,2008,Actual,YTD,2007-09-30,3,19,Camp William Penn,
"Capital Program Office, Mayor-",General,23,0,2008,Actual,YTD,2007-09-30,23,07,Capital Program Office,
City Commissioners (Election Board),General,88,0,2008,Actual,YTD,2007-09-30,88,73,City Commissioner's Office,City Commissioners
City Council,General,187,0,2008,Actual,YTD,2007-09-30,187,01,City Council,
City Planning Commission,General,44,0,2008,Actual,YTD,2007-09-30,44,51,City Planning Commission,
City Rep. / Commerce,General,13,0,2008,Actual,YTD,2007-09-30,13,41,Office of the City Representative,City Rep
City Treasurer,General,11,0,2008,Actual,YTD,2007-09-30,11,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2008,Actual,YTD,2007-09-30,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,112,0,2008,Actual,YTD,2007-09-30,112,64,Clerk of Quarter Sessions,
Fairmount Park,General,156,0,2008,Actual,YTD,2007-09-30,156,17,Fairmount Park Commission,
Finance,General,159,0,2008,Actual,YTD,2007-09-30,159,35,Office of the Director of Finance,Finance
First Judicial District,General,1956,0,2008,Actual,YTD,2007-09-30,1956,84,First Judicial District,FJD
Fleet Management,General,308,0,2008,Actual,YTD,2007-09-30,308,25,Office of Fleet Management,Fleet
Free Library,General,732,0,2008,Actual,YTD,2007-09-30,732,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2008,Actual,YTD,2007-09-30,6,32,Historical Commission,
Human Relations Commission,General,33,0,2008,Actual,YTD,2007-09-30,33,54,Commission on Human Relations,Human Relations
Human Services,General,1751,0,2008,Actual,YTD,2007-09-30,1751,22,Department of Human Services,DHS
"Information Services, Mayor's Office of",General,134,0,2008,Actual,YTD,2007-09-30,134,04,Office of Innovation and Technology,OIT
"Labor Relations, Mayor's Office of",General,7,0,2008,Actual,YTD,2007-09-30,7,03,Labor,
Law,General,180,0,2008,Actual,YTD,2007-09-30,180,44,Law Department,Law
Licenses & Inspections,General,339,0,2008,Actual,YTD,2007-09-30,339,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,98,0,2008,Actual,YTD,2007-09-30,98,10,Managing Director's Office,MDO
Mayor,General,54,0,2008,Actual,YTD,2007-09-30,54,05,Mayor's Office,Mayor
Mayor's Office of Comm. Svcs.,General,0,0,2008,Actual,YTD,2007-09-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,General,14,0,2008,Actual,YTD,2007-09-30,14,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hith/Mental Retard. Svcs.,General,34,0,2008,Actual,YTD,2007-09-30,34,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Off.of Supportive Housing,General,145,0,2008,Actual,YTD,2007-09-30,145,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2008,Actual,YTD,2007-09-30,0,06,Office of Housing and Community Development,
Personnel,General,75,0,2008,Actual,YTD,2007-09-30,75,56,Office of Human Resources,OHR
Prisons,General,2130,0,2008,Actual,YTD,2007-09-30,2130,23,Philadelphia Prison System,Prisons
Procurement,General,58,0,2008,Actual,YTD,2007-09-30,58,38,Procurement Department,Procurement
Public Health,General,677,0,2008,Actual,YTD,2007-09-30,677,14,Department of Public Health,Public Health
Public Property,General,148,0,2008,Actual,YTD,2007-09-30,148,20,Department of Public Property,Public Property
Records,General,72,0,2008,Actual,YTD,2007-09-30,72,31,Department of Records,Records
Recreation,General,462,0,2008,Actual,YTD,2007-09-30,462,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,General,67,0,2008,Actual,YTD,2007-09-30,67,68,Register of Wills,
Revenue,General,246,0,2008,Actual,YTD,2007-09-30,246,36,Department of Revenue,Revenue
Sheriff,General,246,0,2008,Actual,YTD,2007-09-30,246,70,Office of the Sheriff,Sheriff
Streets,General,587,0,2008,Actual,YTD,2007-09-30,587,12,Streets Department,Streets
Streets - Sanitation,General,1197,0,2008,Actual,YTD,2007-09-30,1197,12S,Streets: Sanitation,
Water,General,0,0,2008,Actual,YTD,2007-09-30,0,28,Water Department,Water
Zoning Board of Adjustment,General,4,0,2008,Actual,YTD,2007-09-30,4,30,Zoning Board of Adjustments,ZBA
Atwater Kent Museum,Other,0,0,2008,Actual,YTD,2007-09-30,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2008,Actual,YTD,2007-09-30,0,61,City Controller's Office,
Board of Building Standards,Other,0,0,2008,Actual,YTD,2007-09-30,0,29,L&I: Board of Building and Standards,
Board of Ethics,Other,0,0,2008,Actual,YTD,2007-09-30,0,45,Board of Ethics,
Board of L & I Review,Other,0,0,2008,Actual,YTD,2007-09-30,0,27,L&I: Board of Review,
Bd. of Pensions,Other,68,0,2008,Actual,YTD,2007-09-30,68,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,Other,0,0,2008,Actual,YTD,2007-09-30,0,63,Board of Revision of Taxes,BRT
Camp William Penn,Other,0,0,2008,Actual,YTD,2007-09-30,0,19,Camp William Penn,
"Capital Program Office, Mayor-",Other,0,0,2008,Actual,YTD,2007-09-30,0,07,Capital Program Office,
City Commissioners (Election Board),Other,0,0,2008,Actual,YTD,2007-09-30,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2008,Actual,YTD,2007-09-30,0,01,City Council,
City Planning Commission,Other,6,0,2008,Actual,YTD,2007-09-30,6,51,City Planning Commission,
City Rep. / Commerce,Other,737,0,2008,Actual,YTD,2007-09-30,737,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2008,Actual,YTD,2007-09-30,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2008,Actual,YTD,2007-09-30,0,55,Civil Service Commission,
Clerk of Quarter Sessions,Other,0,0,2008,Actual,YTD,2007-09-30,0,64,Clerk of Quarter Sessions,
Fairmount Park,Other,1,0,2008,Actual,YTD,2007-09-30,1,17,Fairmount Park Commission,
Finance,Other,12,0,2008,Actual,YTD,2007-09-30,12,35,Office of the Director of Finance,Finance
First Judicial District,Other,467,0,2008,Actual,YTD,2007-09-30,467,84,First Judicial District,FJD
Fleet Management,Other,68,0,2008,Actual,YTD,2007-09-30,68,25,Office of Fleet Management,Fleet
