dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,3,0,2015,Actual,YTD,2014-09-30,3,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,119,0,2015,Actual,YTD,2014-09-30,119,61,City Controller's Office,
Board of Ethics,General,10,0,2015,Actual,YTD,2014-09-30,10,45,Board of Ethics,
Board of Pensions,General,0,0,2015,Actual,YTD,2014-09-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,11,0,2015,Actual,YTD,2014-09-30,11,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,85,0,2015,Actual,YTD,2014-09-30,85,73,City Commissioner's Office,City Commissioners
City Council,General,184,0,2015,Actual,YTD,2014-09-30,184,01,City Council,
City Planning Commission,General,28,0,2015,Actual,YTD,2014-09-30,28,51,City Planning Commission,
City Representative,General,7,0,2015,Actual,YTD,2014-09-30,7,41,Office of the City Representative,City Rep
City Treasurer,General,14,0,2015,Actual,YTD,2014-09-30,14,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2015,Actual,YTD,2014-09-30,2,55,Civil Service Commission,
Commerce,General,21,0,2015,Actual,YTD,2014-09-30,21,42,Office of the Director of Commerce,Commerce
Finance,General,159,0,2015,Actual,YTD,2014-09-30,159,35,Office of the Director of Finance,Finance
First Judicial District,General,1875,0,2015,Actual,YTD,2014-09-30,1875,84,First Judicial District,FJD
Fleet Management,General,268,0,2015,Actual,YTD,2014-09-30,268,25,Office of Fleet Management,Fleet
Free Library,General,610,0,2015,Actual,YTD,2014-09-30,610,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2015,Actual,YTD,2014-09-30,6,32,Historical Commission,
Human Relations Commission,General,28,0,2015,Actual,YTD,2014-09-30,28,54,Commission on Human Relations,Human Relations
Human Services (1),General,451,0,2015,Actual,YTD,2014-09-30,451,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2015,Actual,YTD,2014-09-30,7,03,Labor,
Law,General,147,0,2015,Actual,YTD,2014-09-30,147,44,Law Department,Law
Licenses & Inspections,General,293,0,2015,Actual,YTD,2014-09-30,293,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2015,Actual,YTD,2014-09-30,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2015,Actual,YTD,2014-09-30,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,5,0,2015,Actual,YTD,2014-09-30,5,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,299,0,2015,Actual,YTD,2014-09-30,299,10,Managing Director's Office,MDO
Mayor's Office,General,48,0,2015,Actual,YTD,2014-09-30,48,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2015,Actual,YTD,2014-09-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,12,0,2015,Actual,YTD,2014-09-30,12,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,11,0,2015,Actual,YTD,2014-09-30,11,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,2,0,2015,Actual,YTD,2014-09-30,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,15,0,2015,Actual,YTD,2014-09-30,15,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2015,Actual,YTD,2014-09-30,0,06,Office of Housing and Community Development,
Office of Human Resources,General,84,0,2015,Actual,YTD,2014-09-30,84,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,253,0,2015,Actual,YTD,2014-09-30,253,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,18,0,2015,Actual,YTD,2014-09-30,18,48,Office of the Inspector General,OIG
Office of Property Assessment,General,182,0,2015,Actual,YTD,2014-09-30,182,59,Office of Property Assessment,OPA
Office of Supportive Housing,General,142,0,2015,Actual,YTD,2014-09-30,142,24,Office of Homeless Services,OHS
Parks and Recreation,General,581,0,2015,Actual,YTD,2014-09-30,581,16,Department of Parks and Recreation,Parks & Recreation
Prisons,General,2290,0,2015,Actual,YTD,2014-09-30,2290,23,Philadelphia Prison System,Prisons
Procurement,General,45,0,2015,Actual,YTD,2014-09-30,45,38,Procurement Department,Procurement
Public Health,General,643,0,2015,Actual,YTD,2014-09-30,643,14,Department of Public Health,Public Health
Public Property,General,131,0,2015,Actual,YTD,2014-09-30,131,20,Department of Public Property,Public Property
Records,General,57,0,2015,Actual,YTD,2014-09-30,57,31,Department of Records,Records
Register of Wills,General,62,0,2015,Actual,YTD,2014-09-30,62,68,Register of Wills,
Revenue,General,294,0,2015,Actual,YTD,2014-09-30,294,36,Department of Revenue,Revenue
Sheriff,General,288,0,2015,Actual,YTD,2014-09-30,288,70,Office of the Sheriff,Sheriff
Streets Sanitation,General,1133,0,2015,Actual,YTD,2014-09-30,1133,12S,Streets: Sanitation,
Streets - Transportation,General,527,0,2015,Actual,YTD,2014-09-30,527,12T,Streets: Transportation,
Water,General,0,0,2015,Actual,YTD,2014-09-30,0,28,Water Department,Water
Youth Commission,General,2,0,2015,Actual,YTD,2014-09-30,2,47,Youth Commission,
