dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Auditing (City Controller's Office),General,118,0,2021,Actual,YTD,2021-03-31,118,61,City Controller's Office,
Board of Ethics,General,9,0,2021,Actual,YTD,2021-03-31,9,45,Board of Ethics,
Board of Pensions,General,0,0,2021,Actual,YTD,2021-03-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,15,0,2021,Actual,YTD,2021-03-31,15,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,140,0,2021,Actual,YTD,2021-03-31,140,73,City Commissioner's Office,City Commissioners
City Council,General,185,0,2021,Actual,YTD,2021-03-31,185,01,City Council,
City Representative,General,0,0,2021,Actual,YTD,2021-03-31,0,41,Office of the City Representative,City Rep
City Treasurer,General,14,0,2021,Actual,YTD,2021-03-31,14,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,1,0,2021,Actual,YTD,2021-03-31,1,55,Civil Service Commission,
Commerce,General,38,0,2021,Actual,YTD,2021-03-31,38,42,Office of the Director of Commerce,Commerce
Finance,General,119,0,2021,Actual,YTD,2021-03-31,119,35,Office of the Director of Finance,Finance
First Judicial District,General,1799,0,2021,Actual,YTD,2021-03-31,1799,84,First Judicial District,FJD
Fleet Management,General,276,0,2021,Actual,YTD,2021-03-31,276,25,Office of Fleet Management,Fleet
Free Library,General,646,0,2021,Actual,YTD,2021-03-31,646,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,General,32,0,2021,Actual,YTD,2021-03-31,32,54,Commission on Human Relations,Human Relations
Human Services (1),General,492,0,2021,Actual,YTD,2021-03-31,492,22,Department of Human Services,DHS
Labor,General,27,0,2021,Actual,YTD,2021-03-31,27,03,Labor,
Law,General,124,0,2021,Actual,YTD,2021-03-31,124,44,Law Department,Law
Licenses & Inspections,General,387,0,2021,Actual,YTD,2021-03-31,387,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2021,Actual,YTD,2021-03-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2021,Actual,YTD,2021-03-31,2,27,L&I: Board of Review,
Managing Director's Office,General,272,0,2021,Actual,YTD,2021-03-31,272,10,Managing Director's Office,MDO
Mayor's Office,General,60,0,2021,Actual,YTD,2021-03-31,60,05,Mayor's Office,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2021,Actual,YTD,2021-03-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,General,10,0,2021,Actual,YTD,2021-03-31,10,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,0,0,2021,Actual,YTD,2021-03-31,0,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,General,24,0,2021,Actual,YTD,2021-03-31,24,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of the Chief Administrative Officer,General,57,0,2021,Actual,YTD,2021-03-31,57,65,Office of the Chief Administrative Officer,CAO
Office of Children and Families,General,3,0,2021,Actual,YTD,2021-03-31,3,66,Office of Children and Families,OCF
Office of Homeless Services,General,129,0,2021,Actual,YTD,2021-03-31,129,24,Office of Homeless Services,OHS
Office of Human Resources,General,74,0,2021,Actual,YTD,2021-03-31,74,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,308,0,2021,Actual,YTD,2021-03-31,308,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,16,0,2021,Actual,YTD,2021-03-31,16,48,Office of the Inspector General,OIG
