dept_name_raw,fund,civilian,uniformed,fiscal_year,kind,as_of_date,as_of_quarter,abbreviation,dept_name,dept_code,alias
Atwater Kent Museum,General,5,0,2007,Actual,3/31/2007,3.0,Atwater Kent,Atwater Kent Museum,18,Atwater Kent Museum
Auditing (City Controller's Office),General,126,0,2007,Actual,3/31/2007,3.0,,City Controller's Office,61,Auditing (City Controller's Office)
Board of Building Standards,General,2,0,2007,Actual,3/31/2007,3.0,,L&I: Board of Building and Standards,29,Board of Building Standards
Board of L & I Review,General,2,0,2007,Actual,3/31/2007,3.0,,L&I: Board of Review,27,Board of L & I Review
Bd. of Pensions,General,0,0,2007,Actual,3/31/2007,3.0,Pensions,Board of Pensions,53,
Bd. of Revision of Taxes,General,134,0,2007,Actual,3/31/2007,3.0,BRT,Board of Revision of Taxes,63,
Camp William Penn,General,3,0,2007,Actual,3/31/2007,3.0,,Camp William Penn,19,Camp William Penn
"Capital Program Office, Mayor-",General,14,0,2007,Actual,3/31/2007,3.0,,Capital Program Office,07,
City Commissioners (Election Board),General,93,0,2007,Actual,3/31/2007,3.0,City Commissioners,City Commissioner's Office,73,City Commissioners (Election Board)
City Council,General,180,0,2007,Actual,3/31/2007,3.0,,City Council,01,City Council
City Planning Commission,General,45,0,2007,Actual,3/31/2007,3.0,,City Planning Commission,51,City Planning Commission
City Rep. / Commerce,General,12,0,2007,Actual,3/31/2007,3.0,City Rep,Office of the City Representative,41,
City Treasurer,General,11,0,2007,Actual,3/31/2007,3.0,City Treasurer,Office of the City Treasurer,40,City Treasurer
Civic Center,General,0,0,2007,Actual,3/31/2007,3.0,Aviation,Division of Aviation,43,Civic Center
Civil Service Commission,General,2,0,2007,Actual,3/31/2007,3.0,,Civil Service Commission,55,Civil Service Commission
Clerk of Quarter Sessions,General,113,0,2007,Actual,3/31/2007,3.0,,Clerk of Quarter Sessions,64,Clerk of Quarter Sessions
Fairmount Park,General,157,0,2007,Actual,3/31/2007,3.0,,Fairmount Park Commission,17,
Finance,General,164,0,2007,Actual,3/31/2007,3.0,Finance,Office of the Director of Finance,35,Finance
First Judicial District,General,1936,0,2007,Actual,3/31/2007,3.0,FJD,First Judicial District,84,First Judicial District
Fleet Management,General,313,0,2007,Actual,3/31/2007,3.0,Fleet,Office of Fleet Management,25,Fleet Management
Free Library,General,732,0,2007,Actual,3/31/2007,3.0,Free Library,The Free Library of Philadelphia,52,Free Library
Historical Commission,General,5,0,2007,Actual,3/31/2007,3.0,,Historical Commission,32,Historical Commission
Human Relations Commission,General,33,0,2007,Actual,3/31/2007,3.0,Human Relations,Commission on Human Relations,54,Human Relations Commission
Human Services,General,1703,0,2007,Actual,3/31/2007,3.0,DHS,Department of Human Services,22,Human Services
"Information Services, Mayor's Office of",General,96,0,2007,Actual,3/31/2007,3.0,OIT,Office of Innovation and Technology,04,
"Labor Relations, Mayor's Office of",General,7,0,2007,Actual,3/31/2007,3.0,,Labor,03,"Labor Relations, Mayor's Office of"
Law,General,175,0,2007,Actual,3/31/2007,3.0,Law,Law Department,44,Law
Licenses & Inspections,General,355,0,2007,Actual,3/31/2007,3.0,L&I,Department of Licenses and Inspections,26,Licenses & Inspections
Managing Director (MDO),General,87,0,2007,Actual,3/31/2007,3.0,MDO,Managing Director's Office,10,Managing Director (MDO)
Mayor,General,55,0,2007,Actual,3/31/2007,3.0,Mayor,Mayor's Office,05,Mayor
Mayor's Office of Comm. Svcs.,General,21,0,2007,Actual,3/31/2007,3.0,CEO,Mayor's Office of Community Empowerment and Opportunity,08,Mayor's Office of Comm. Svcs.
Mural Arts Program,General,14,0,2007,Actual,3/31/2007,3.0,Mural Arts,Mural Arts Program,50,Mural Arts Program
Off. of Behavioral Hith/Mental Retard. Svcs.,General,36,0,2007,Actual,3/31/2007,3.0,DBH/IDS,Behavioral Health and Intellectual Disability Services,15,Off. of Behavioral Hith/Mental Retard. Svcs.
Off.ot Supportive Housing,General,131,0,2007,Actual,3/31/2007,3.0,OHS,Office of Homeless Services,24,
Office of Housing and Community Develop.,General,3,0,2007,Actual,3/31/2007,3.0,,Office of Housing and Community Development,06,Office of Housing and Community Develop.
Personnel,General,70,0,2007,Actual,3/31/2007,3.0,OHR,Office of Human Resources,56,Personnel
Prisons,General,2225,0,2007,Actual,3/31/2007,3.0,Prisons,Philadelphia Prison System,23,Prisons
Procurement,General,59,0,2007,Actual,3/31/2007,3.0,Procurement,Procurement Department,38,Procurement
Public Health,General,622,0,2007,Actual,3/31/2007,3.0,Public Health,Department of Public Health,14,Public Health
