dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2018,Actual,YTD,2018-03-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,120,0,2018,Actual,YTD,2018-03-31,120,61,City Controller's Office,
Board of Ethics,General,11,0,2018,Actual,YTD,2018-03-31,11,45,Board of Ethics,
Board of Pensions,General,0,0,2018,Actual,YTD,2018-03-31,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,11,0,2018,Actual,YTD,2018-03-31,11,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,101,0,2018,Actual,YTD,2018-03-31,101,73,City Commissioner's Office,City Commissioners
City Council,General,193,0,2018,Actual,YTD,2018-03-31,193,01,City Council,
City Planning Commission,General,0,0,2018,Actual,YTD,2018-03-31,0,51,City Planning Commission,
City Representative,General,9,0,2018,Actual,YTD,2018-03-31,9,41,Office of the City Representative,City Rep
City Treasurer,General,17,0,2018,Actual,YTD,2018-03-31,17,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2018,Actual,YTD,2018-03-31,2,55,Civil Service Commission,
Commerce,General,30,0,2018,Actual,YTD,2018-03-31,30,42,Office of the Director of Commerce,Commerce
Finance,General,116,0,2018,Actual,YTD,2018-03-31,116,35,Office of the Director of Finance,Finance
First Judicial District,General,1859,0,2018,Actual,YTD,2018-03-31,1859,84,First Judicial District,FJD
Fleet Management,General,280,0,2018,Actual,YTD,2018-03-31,280,25,Office of Fleet Management,Fleet
Free Library,General,645,0,2018,Actual,YTD,2018-03-31,645,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,0,0,2018,Actual,YTD,2018-03-31,0,32,Historical Commission,
Human Relations Commission,General,32,0,2018,Actual,YTD,2018-03-31,32,54,Commission on Human Relations,Human Relations
Human Services (1),General,445,0,2018,Actual,YTD,2018-03-31,445,22,Department of Human Services,DHS
"Labor, Mayor's Office of",General,19,0,2018,Actual,YTD,2018-03-31,19,03,Labor,
Law,General,119,0,2018,Actual,YTD,2018-03-31,119,44,Law Department,Law
Licenses & Inspections,General,377,0,2018,Actual,YTD,2018-03-31,377,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2018,Actual,YTD,2018-03-31,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2018,Actual,YTD,2018-03-31,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,0,0,2018,Actual,YTD,2018-03-31,0,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,302,0,2018,Actual,YTD,2018-03-31,302,10,Managing Director's Office,MDO
Mayor's Office,General,40,0,2018,Actual,YTD,2018-03-31,40,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,2,0,2018,Actual,YTD,2018-03-31,2,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,0,0,2018,Actual,YTD,2018-03-31,0,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,11,0,2018,Actual,YTD,2018-03-31,11,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,5,0,2018,Actual,YTD,2018-03-31,5,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
