dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,abbreviation,dept_code,dept_name
Auditing (City Controller's Office),General,114,0,2022,Actual,YTD,2021-12-31,114,,61,City Controller's Office
Board of Ethics,General,8,0,2022,Actual,YTD,2021-12-31,8,,45,Board of Ethics
Board of Pensions,General,0,0,2022,Actual,YTD,2021-12-31,0,Pensions,53,Board of Pensions
Board of Revision of Taxes,General,14,0,2022,Actual,YTD,2021-12-31,14,BRT,63,Board of Revision of Taxes
City Commissioners (Election Board),General,123,0,2022,Actual,YTD,2021-12-31,123,City Commissioners,73,City Commissioner's Office
City Council,General,180,0,2022,Actual,YTD,2021-12-31,180,,01,City Council
City Representative,General,0,0,2022,Actual,YTD,2021-12-31,0,City Rep,41,Office of the City Representative
City Treasurer,General,17,0,2022,Actual,YTD,2021-12-31,17,City Treasurer,40,Office of the City Treasurer
Civil Service Commission,General,2,0,2022,Actual,YTD,2021-12-31,2,,55,Civil Service Commission
Commerce,General,31,0,2022,Actual,YTD,2021-12-31,31,Commerce,42,Office of the Director of Commerce
Finance,General,118,0,2022,Actual,YTD,2021-12-31,118,Finance,35,Office of the Director of Finance
First Judicial District,General,1700,0,2022,Actual,YTD,2021-12-31,1700,FJD,84,First Judicial District
Fleet Services,General,263,0,2022,Actual,YTD,2021-12-31,263,Fleet,25,Office of Fleet Management
Free Library,General,630,0,2022,Actual,YTD,2021-12-31,630,Free Library,52,The Free Library of Philadelphia
Human Relations Commission,General,30,0,2022,Actual,YTD,2021-12-31,30,Human Relations,54,Commission on Human Relations
Human Services (1),General,492,0,2022,Actual,YTD,2021-12-31,492,DHS,22,Department of Human Services
Labor,General,25,0,2022,Actual,YTD,2021-12-31,25,,03,Labor
Law,General,173,0,2022,Actual,YTD,2021-12-31,173,Law,44,Law Department
Licenses & Inspections,General,345,0,2022,Actual,YTD,2021-12-31,345,L&I,26,Department of Licenses and Inspections
L&I-Board of Building Standards,General,0,0,2022,Actual,YTD,2021-12-31,0,,29,L&I: Board of Building and Standards
L&I-Board of L & I Review,General,2,0,2022,Actual,YTD,2021-12-31,2,,27,L&I: Board of Review
Managing Director's Office,General,300,0,2022,Actual,YTD,2021-12-31,300,MDO,10,Managing Director's Office
Mayor's Office,General,58,0,2022,Actual,YTD,2021-12-31,58,Mayor,05,Mayor's Office
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2022,Actual,YTD,2021-12-31,0,CEO,08,Mayor's Office of Community Empowerment and Opportunity
Mural Arts Program,General,9,0,2022,Actual,YTD,2021-12-31,9,Mural Arts,50,Mural Arts Program
Office of Arts and Culture,General,0,0,2022,Actual,YTD,2021-12-31,0,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy"
Office of Behavioral Hlth & Intellectual disAbility,General,27,0,2022,Actual,YTD,2021-12-31,27,DBH/IDS,15,Behavioral Health and Intellectual Disability Services
Office of the Chief Administrative Officer,General,61,0,2022,Actual,YTD,2021-12-31,61,CAO,65,Office of the Chief Administrative Officer
Office of Children and Families,General,3,0,2022,Actual,YTD,2021-12-31,3,OCF,66,Office of Children and Families
Office of Homeless Services,General,125,0,2022,Actual,YTD,2021-12-31,125,OHS,24,Office of Homeless Services
Office of Human Resources,General,72,0,2022,Actual,YTD,2021-12-31,72,OHR,56,Office of Human Resources
Office of Innovation and Technology,General,307,0,2022,Actual,YTD,2021-12-31,307,OIT,04,Office of Innovation and Technology
Office of the Inspector General,General,17,0,2022,Actual,YTD,2021-12-31,17,OIG,48,Office of the Inspector General
Office of Property Assessment,General,185,0,2022,Actual,YTD,2021-12-31,185,OPA,59,Office of Property Assessment
Office of Sustainability,General,11,0,2022,Actual,YTD,2021-12-31,11,Sustainability,49,Office of Sustainability
Parks and Recreation,General,612,0,2022,Actual,YTD,2021-12-31,612,Parks & Recreation,16,Department of Parks and Recreation
Planning & Development,General,53,0,2022,Actual,YTD,2021-12-31,53,Planning & Development,72,Department of Planning and Development
Prisons,General,1484,0,2022,Actual,YTD,2021-12-31,1484,Prisons,23,Philadelphia Prison System
Procurement,General,35,0,2022,Actual,YTD,2021-12-31,35,Procurement,38,Procurement Department
Public Health,General,713,0,2022,Actual,YTD,2021-12-31,713,Public Health,14,Department of Public Health
Public Property,General,142,0,2022,Actual,YTD,2021-12-31,142,Public Property,20,Department of Public Property
Records,General,50,0,2022,Actual,YTD,2021-12-31,50,Records,31,Department of Records
Register of Wills,General,68,0,2022,Actual,YTD,2021-12-31,68,,68,Register of Wills
Revenue,General,342,0,2022,Actual,YTD,2021-12-31,342,Revenue,36,Department of Revenue
Sheriff,General,352,0,2022,Actual,YTD,2021-12-31,352,Sheriff,70,Office of the Sheriff
Streets,General,2017,0,2022,Actual,YTD,2021-12-31,2017,Streets,12,Streets Department
Water,General,0,0,2022,Actual,YTD,2021-12-31,0,Water,28,Water Department
"Water,Sewer & Stormwater Rate Board",General,0,0,2022,Actual,YTD,2021-12-31,0,,67,"Water, Sewer, and Stormwater Rate Board"
Auditing (City Controller's Office),Other,0,0,2022,Actual,YTD,2021-12-31,0,,61,City Controller's Office
Board of Ethics,Other,0,0,2022,Actual,YTD,2021-12-31,0,,45,Board of Ethics
Board of Pensions,Other,56,0,2022,Actual,YTD,2021-12-31,56,Pensions,53,Board of Pensions
Board of Revision of Taxes,Other,0,0,2022,Actual,YTD,2021-12-31,0,BRT,63,Board of Revision of Taxes
City Commissioners (Election Board),Other,0,0,2022,Actual,YTD,2021-12-31,0,City Commissioners,73,City Commissioner's Office
City Council,Other,0,0,2022,Actual,YTD,2021-12-31,0,,01,City Council
City Representative,Other,0,0,2022,Actual,YTD,2021-12-31,0,City Rep,41,Office of the City Representative
City Treasurer,Other,0,0,2022,Actual,YTD,2021-12-31,0,City Treasurer,40,Office of the City Treasurer
Civil Service Commission,Other,0,0,2022,Actual,YTD,2021-12-31,0,,55,Civil Service Commission
Commerce,Other,639,0,2022,Actual,YTD,2021-12-31,639,Commerce,42,Office of the Director of Commerce
Finance,Other,0,0,2022,Actual,YTD,2021-12-31,0,Finance,35,Office of the Director of Finance
First Judicial District,Other,415,0,2022,Actual,YTD,2021-12-31,415,FJD,84,First Judicial District
Fleet Services,Other,62,0,2022,Actual,YTD,2021-12-31,62,Fleet,25,Office of Fleet Management
Free Library,Other,10,0,2022,Actual,YTD,2021-12-31,10,Free Library,52,The Free Library of Philadelphia
Human Relations Commission,Other,0,0,2022,Actual,YTD,2021-12-31,0,Human Relations,54,Commission on Human Relations
Human Services (1),Other,1006,0,2022,Actual,YTD,2021-12-31,1006,DHS,22,Department of Human Services
Labor,Other,0,0,2022,Actual,YTD,2021-12-31,0,,03,Labor
Law,Other,54,0,2022,Actual,YTD,2021-12-31,54,Law,44,Law Department
Licenses & Inspections,Other,8,0,2022,Actual,YTD,2021-12-31,8,L&I,26,Department of Licenses and Inspections
L&I-Board of Building Standards,Other,0,0,2022,Actual,YTD,2021-12-31,0,,29,L&I: Board of Building and Standards
L&I-Board of L & I Review,Other,0,0,2022,Actual,YTD,2021-12-31,0,,27,L&I: Board of Review
Managing Director's Office,Other,106,0,2022,Actual,YTD,2021-12-31,106,MDO,10,Managing Director's Office
Mayor's Office,Other,4,0,2022,Actual,YTD,2021-12-31,4,Mayor,05,Mayor's Office
Mayor's Office-Comm. Empowerment & Opp.,Other,29,0,2022,Actual,YTD,2021-12-31,29,CEO,08,Mayor's Office of Community Empowerment and Opportunity
Mural Arts Program,Other,0,0,2022,Actual,YTD,2021-12-31,0,Mural Arts,50,Mural Arts Program
Office of Arts and Culture,Other,0,0,2022,Actual,YTD,2021-12-31,0,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy"
Office of Behavioral Hlth & Intellectual disAbility,Other,231,0,2022,Actual,YTD,2021-12-31,231,DBH/IDS,15,Behavioral Health and Intellectual Disability Services
Office of the Chief Administrative Officer,Other,0,0,2022,Actual,YTD,2021-12-31,0,CAO,65,Office of the Chief Administrative Officer
Office of Children and Families,Other,0,0,2022,Actual,YTD,2021-12-31,0,OCF,66,Office of Children and Families
Office of Homeless Services,Other,24,0,2022,Actual,YTD,2021-12-31,24,OHS,24,Office of Homeless Services
Office of Human Resources,Other,0,0,2022,Actual,YTD,2021-12-31,0,OHR,56,Office of Human Resources
Office of Innovation and Technology,Other,103,0,2022,Actual,YTD,2021-12-31,103,OIT,04,Office of Innovation and Technology
Office of the Inspector General,Other,0,0,2022,Actual,YTD,2021-12-31,0,OIG,48,Office of the Inspector General
Office of Property Assessment,Other,0,0,2022,Actual,YTD,2021-12-31,0,OPA,59,Office of Property Assessment
Office of Sustainability,Other,2,0,2022,Actual,YTD,2021-12-31,2,Sustainability,49,Office of Sustainability
Parks and Recreation,Other,26,0,2022,Actual,YTD,2021-12-31,26,Parks & Recreation,16,Department of Parks and Recreation
Planning & Development,Other,53,0,2022,Actual,YTD,2021-12-31,53,Planning & Development,72,Department of Planning and Development
Prisons,Other,0,0,2022,Actual,YTD,2021-12-31,0,Prisons,23,Philadelphia Prison System
Procurement,Other,2,0,2022,Actual,YTD,2021-12-31,2,Procurement,38,Procurement Department
Public Health,Other,171,0,2022,Actual,YTD,2021-12-31,171,Public Health,14,Department of Public Health
Public Property,Other,0,0,2022,Actual,YTD,2021-12-31,0,Public Property,20,Department of Public Property
Records,Other,0,0,2022,Actual,YTD,2021-12-31,0,Records,31,Department of Records
Register of Wills,Other,0,0,2022,Actual,YTD,2021-12-31,0,,68,Register of Wills
Revenue,Other,168,0,2022,Actual,YTD,2021-12-31,168,Revenue,36,Department of Revenue
Sheriff,Other,0,0,2022,Actual,YTD,2021-12-31,0,Sheriff,70,Office of the Sheriff
Streets,Other,0,0,2022,Actual,YTD,2021-12-31,0,Streets,12,Streets Department
Water,Other,1938,0,2022,Actual,YTD,2021-12-31,1938,Water,28,Water Department
"Water,Sewer & Stormwater Rate Board",Other,1,0,2022,Actual,YTD,2021-12-31,1,,67,"Water, Sewer, and Stormwater Rate Board"
Auditing (City Controller's Office),Total,114,0,2022,Actual,YTD,2021-12-31,114,,61,City Controller's Office
Board of Ethics,Total,8,0,2022,Actual,YTD,2021-12-31,8,,45,Board of Ethics
Board of Pensions,Total,56,0,2022,Actual,YTD,2021-12-31,56,Pensions,53,Board of Pensions
Board of Revision of Taxes,Total,14,0,2022,Actual,YTD,2021-12-31,14,BRT,63,Board of Revision of Taxes
City Commissioners (Election Board),Total,123,0,2022,Actual,YTD,2021-12-31,123,City Commissioners,73,City Commissioner's Office
City Council,Total,180,0,2022,Actual,YTD,2021-12-31,180,,01,City Council
City Representative,Total,0,0,2022,Actual,YTD,2021-12-31,0,City Rep,41,Office of the City Representative
City Treasurer,Total,17,0,2022,Actual,YTD,2021-12-31,17,City Treasurer,40,Office of the City Treasurer
Civil Service Commission,Total,2,0,2022,Actual,YTD,2021-12-31,2,,55,Civil Service Commission
Commerce,Total,670,0,2022,Actual,YTD,2021-12-31,670,Commerce,42,Office of the Director of Commerce
Finance,Total,118,0,2022,Actual,YTD,2021-12-31,118,Finance,35,Office of the Director of Finance
First Judicial District,Total,2115,0,2022,Actual,YTD,2021-12-31,2115,FJD,84,First Judicial District
Fleet Services,Total,325,0,2022,Actual,YTD,2021-12-31,325,Fleet,25,Office of Fleet Management
Free Library,Total,640,0,2022,Actual,YTD,2021-12-31,640,Free Library,52,The Free Library of Philadelphia
Human Relations Commission,Total,30,0,2022,Actual,YTD,2021-12-31,30,Human Relations,54,Commission on Human Relations
Human Services (1),Total,1498,0,2022,Actual,YTD,2021-12-31,1498,DHS,22,Department of Human Services
Labor,Total,25,0,2022,Actual,YTD,2021-12-31,25,,03,Labor
Law,Total,227,0,2022,Actual,YTD,2021-12-31,227,Law,44,Law Department
Licenses & Inspections,Total,353,0,2022,Actual,YTD,2021-12-31,353,L&I,26,Department of Licenses and Inspections
L&I-Board of Building Standards,Total,0,0,2022,Actual,YTD,2021-12-31,0,,29,L&I: Board of Building and Standards
L&I-Board of L & I Review,Total,2,0,2022,Actual,YTD,2021-12-31,2,,27,L&I: Board of Review
Managing Director's Office,Total,406,0,2022,Actual,YTD,2021-12-31,406,MDO,10,Managing Director's Office
Mayor's Office,Total,62,0,2022,Actual,YTD,2021-12-31,62,Mayor,05,Mayor's Office
Mayor's Office-Comm. Empowerment & Opp.,Total,29,0,2022,Actual,YTD,2021-12-31,29,CEO,08,Mayor's Office of Community Empowerment and Opportunity
Mural Arts Program,Total,9,0,2022,Actual,YTD,2021-12-31,9,Mural Arts,50,Mural Arts Program
Office of Arts and Culture,Total,0,0,2022,Actual,YTD,2021-12-31,0,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy"
Office of Behavioral Hlth & Intellectual disAbility,Total,258,0,2022,Actual,YTD,2021-12-31,258,DBH/IDS,15,Behavioral Health and Intellectual Disability Services
Office of the Chief Administrative Officer,Total,61,0,2022,Actual,YTD,2021-12-31,61,CAO,65,Office of the Chief Administrative Officer
Office of Children and Families,Total,3,0,2022,Actual,YTD,2021-12-31,3,OCF,66,Office of Children and Families
Office of Homeless Services,Total,149,0,2022,Actual,YTD,2021-12-31,149,OHS,24,Office of Homeless Services
Office of Human Resources,Total,72,0,2022,Actual,YTD,2021-12-31,72,OHR,56,Office of Human Resources
Office of Innovation and Technology,Total,410,0,2022,Actual,YTD,2021-12-31,410,OIT,04,Office of Innovation and Technology
Office of the Inspector General,Total,17,0,2022,Actual,YTD,2021-12-31,17,OIG,48,Office of the Inspector General
Office of Property Assessment,Total,185,0,2022,Actual,YTD,2021-12-31,185,OPA,59,Office of Property Assessment
Office of Sustainability,Total,13,0,2022,Actual,YTD,2021-12-31,13,Sustainability,49,Office of Sustainability
Parks and Recreation,Total,638,0,2022,Actual,YTD,2021-12-31,638,Parks & Recreation,16,Department of Parks and Recreation
Planning & Development,Total,106,0,2022,Actual,YTD,2021-12-31,106,Planning & Development,72,Department of Planning and Development
Prisons,Total,1484,0,2022,Actual,YTD,2021-12-31,1484,Prisons,23,Philadelphia Prison System
Procurement,Total,37,0,2022,Actual,YTD,2021-12-31,37,Procurement,38,Procurement Department
Public Health,Total,884,0,2022,Actual,YTD,2021-12-31,884,Public Health,14,Department of Public Health
Public Property,Total,142,0,2022,Actual,YTD,2021-12-31,142,Public Property,20,Department of Public Property
Records,Total,50,0,2022,Actual,YTD,2021-12-31,50,Records,31,Department of Records
Register of Wills,Total,68,0,2022,Actual,YTD,2021-12-31,68,,68,Register of Wills
Revenue,Total,510,0,2022,Actual,YTD,2021-12-31,510,Revenue,36,Department of Revenue
Sheriff,Total,352,0,2022,Actual,YTD,2021-12-31,352,Sheriff,70,Office of the Sheriff
Streets,Total,2017,0,2022,Actual,YTD,2021-12-31,2017,Streets,12,Streets Department
Water,Total,1938,0,2022,Actual,YTD,2021-12-31,1938,Water,28,Water Department
