dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Atwater Kent Musoum,General,5,0,2008,Actual,YTD,2007-12-31,5,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,117,0,2008,Actual,YTD,2007-12-31,117,City Controller's Office,,61
Board of Buliding Standards,General,2,0,2008,Actual,YTD,2007-12-31,2,L&I: Board of Building and Standards,,29
Board of Ethics,General,4,0,2008,Actual,YTD,2007-12-31,4,Board of Ethics,,45
Board of L & I Reviow,General,3,0,2008,Actual,YTD,2007-12-31,3,L&I: Board of Review,,27
Bd. of Pensions,General,0,0,2008,Actual,YTD,2007-12-31,0,Board of Pensions,Pensions,53
Bd. of Revision of Taxes,General,134,0,2008,Actual,YTD,2007-12-31,134,Board of Revision of Taxes,BRT,63
Camp William Penn,General,3,0,2008,Actual,YTD,2007-12-31,3,Camp William Penn,,19
"Capital Program Office, Mayor-",General,25,0,2008,Actual,YTD,2007-12-31,25,Capital Program Office,,07
City Commissioners (Election Board),General,92,0,2008,Actual,YTD,2007-12-31,92,City Commissioner's Office,City Commissioners,73
City Council,General,185,0,2008,Actual,YTD,2007-12-31,185,City Council,,01
City Planning Commission,General,45,0,2008,Actual,YTD,2007-12-31,45,City Planning Commission,,51
City Rep. / Commerce,General,16,0,2008,Actual,YTD,2007-12-31,16,Office of the City Representative,City Rep,41
City Treasurer,General,11,0,2008,Actual,YTD,2007-12-31,11,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2008,Actual,YTD,2007-12-31,2,Civil Service Commission,,55
Clerk of Quarter Sessions,General,114,0,2008,Actual,YTD,2007-12-31,114,Clerk of Quarter Sessions,,64
Fairmount Park,General,152,0,2008,Actual,YTD,2007-12-31,152,Fairmount Park Commission,,17
Finance,General,159,0,2008,Actual,YTD,2007-12-31,159,Office of the Director of Finance,Finance,35
First Judicial District,General,1960,0,2008,Actual,YTD,2007-12-31,1960,First Judicial District,FJD,84
Fieet Management,General,305,0,2008,Actual,YTD,2007-12-31,305,Office of Fleet Management,Fleet,25
Free Library,General,720,0,2008,Actual,YTD,2007-12-31,720,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,6,0,2008,Actual,YTD,2007-12-31,6,Historical Commission,,32
Human Relations Commission,General,32,0,2008,Actual,YTD,2007-12-31,32,Commission on Human Relations,Human Relations,54
Human Services,General,1756,0,2008,Actual,YTD,2007-12-31,1756,Department of Human Services,DHS,22
"Information Services, Mayor's Offico of",General,134,0,2008,Actual,YTD,2007-12-31,134,Office of Innovation and Technology,OIT,04
"Labor Relations, Mayor's Office of",General,7,0,2008,Actual,YTD,2007-12-31,7,Labor,,03
Law,General,192,0,2008,Actual,YTD,2007-12-31,192,Law Department,Law,44
Licenses & Inspections,General,346,0,2008,Actual,YTD,2007-12-31,346,Department of Licenses and Inspections,L&I,26
Managing Director (MDO),General,98,0,2008,Actual,YTD,2007-12-31,98,Managing Director's Office,MDO,10
Mayor,General,54,0,2008,Actual,YTD,2007-12-31,54,Mayor's Office,Mayor,05
Mayor's Office of Comm. Svcs.,General,0,0,2008,Actual,YTD,2007-12-31,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,General,14,0,2008,Actual,YTD,2007-12-31,14,Mural Arts Program,Mural Arts,50
Off. of Behavioral Hith/Mental Retard. Svcs.,General,28,0,2008,Actual,YTD,2007-12-31,28,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Off.of Supportive Housing,General,136,0,2008,Actual,YTD,2007-12-31,136,Office of Homeless Services,OHS,24
Office of Housing and Community Develop.,General,0,0,2008,Actual,YTD,2007-12-31,0,Office of Housing and Community Development,,06
Personnel,General,73,0,2008,Actual,YTD,2007-12-31,73,Office of Human Resources,OHR,56
Prisons,General,2137,0,2008,Actual,YTD,2007-12-31,2137,Philadelphia Prison System,Prisons,23
Procurement,General,58,0,2008,Actual,YTD,2007-12-31,58,Procurement Department,Procurement,38
Public Health,General,648,0,2008,Actual,YTD,2007-12-31,648,Department of Public Health,Public Health,14
Public Property,General,156,0,2008,Actual,YTD,2007-12-31,156,Department of Public Property,Public Property,20
Records,General,70,0,2008,Actual,YTD,2007-12-31,70,Department of Records,Records,31
Recroation,General,465,0,2008,Actual,YTD,2007-12-31,465,Department of Parks and Recreation,Parks & Recreation,16
Register of Wills,General,67,0,2008,Actual,YTD,2007-12-31,67,Register of Wills,,68
Revenuo,General,250,0,2008,Actual,YTD,2007-12-31,250,Department of Revenue,Revenue,36
Shoriff,General,243,0,2008,Actual,YTD,2007-12-31,243,Office of the Sheriff,Sheriff,70
Stroets,General,586,0,2008,Actual,YTD,2007-12-31,586,Streets Department,Streets,12
Stroets - Sanitation,General,1204,0,2008,Actual,YTD,2007-12-31,1204,Streets: Sanitation,,12S
Water,General,0,0,2008,Actual,YTD,2007-12-31,0,Water Department,Water,28
