dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2010,Actual,YTD,2009-12-31,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,122,0,2010,Actual,YTD,2009-12-31,122,61,City Controller's Office,
Board of Building Standards,General,1,0,2010,Actual,YTD,2009-12-31,1,29,L&I: Board of Building and Standards,
Board of Ethics,General,8,0,2010,Actual,YTD,2009-12-31,8,45,Board of Ethics,
Board of L & 1 Review,General,2,0,2010,Actual,YTD,2009-12-31,2,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2010,Actual,YTD,2009-12-31,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,120,0,2010,Actual,YTD,2009-12-31,120,63,Board of Revision of Taxes,BRT
Camp William Penn,General,1,0,2010,Actual,YTD,2009-12-31,1,19,Camp William Penn,
"Capital Program Office, Mayor-",General,0,0,2010,Actual,YTD,2009-12-31,0,07,Capital Program Office,
City Commissioners (Election Board),General,100,0,2010,Actual,YTD,2009-12-31,100,73,City Commissioner's Office,City Commissioners
City Council,General,181,0,2010,Actual,YTD,2009-12-31,181,01,City Council,
City Planning Commission,General,43,0,2010,Actual,YTD,2009-12-31,43,51,City Planning Commission,
City Representative,General,7,0,2010,Actual,YTD,2009-12-31,7,41,Office of the City Representative,City Rep
City Treasurer,General,12,0,2010,Actual,YTD,2009-12-31,12,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2010,Actual,YTD,2009-12-31,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,108,0,2010,Actual,YTD,2009-12-31,108,64,Clerk of Quarter Sessions,
Commerce,General,24,0,2010,Actual,YTD,2009-12-31,24,42,Office of the Director of Commerce,Commerce
Division of Technology,General,138,0,2010,Actual,YTD,2009-12-31,138,04,Office of Innovation and Technology,OIT
Fairmount Park,General,155,0,2010,Actual,YTD,2009-12-31,155,17,Fairmount Park Commission,
Finance,General,134,0,2010,Actual,YTD,2009-12-31,134,35,Office of the Director of Finance,Finance
First Judicial District,General,1778,0,2010,Actual,YTD,2009-12-31,1778,84,First Judicial District,FJD
Fleet Management,General,299,0,2010,Actual,YTD,2009-12-31,299,25,Office of Fleet Management,Fleet
Free Library,General,615,0,2010,Actual,YTD,2009-12-31,615,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2010,Actual,YTD,2009-12-31,6,32,Historical Commission,
Human Relations Commission,General,33,0,2010,Actual,YTD,2009-12-31,33,54,Commission on Human Relations,Human Relations
Human Services,General,1801,0,2010,Actual,YTD,2009-12-31,1801,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2010,Actual,YTD,2009-12-31,7,03,Labor,
Law,General,178,0,2010,Actual,YTD,2009-12-31,178,44,Law Department,Law
Licenses & Inspections,General,295,0,2010,Actual,YTD,2009-12-31,295,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,147,0,2010,Actual,YTD,2009-12-31,147,10,Managing Director's Office,MDO
Mayor,General,36,0,2010,Actual,YTD,2009-12-31,36,05,Mayor's Office,Mayor
