dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2014,Actual,YTD,2013-09-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,116,0,2014,Actual,YTD,2013-09-30,116,61,City Controller's Office,
Board of Ethics,General,9,0,2014,Actual,YTD,2013-09-30,9,45,Board of Ethics,
Board of Pensions,General,0,0,2014,Actual,YTD,2013-09-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,8,0,2014,Actual,YTD,2013-09-30,8,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,84,0,2014,Actual,YTD,2013-09-30,84,73,City Commissioner's Office,City Commissioners
City Council,General,175,0,2014,Actual,YTD,2013-09-30,175,01,City Council,
City Planning Commission,General,31,0,2014,Actual,YTD,2013-09-30,31,51,City Planning Commission,
City Representative,General,7,0,2014,Actual,YTD,2013-09-30,7,41,Office of the City Representative,City Rep
City Treasurer,General,14,0,2014,Actual,YTD,2013-09-30,14,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2014,Actual,YTD,2013-09-30,2,55,Civil Service Commission,
Commerce,General,20,0,2014,Actual,YTD,2013-09-30,20,42,Office of the Director of Commerce,Commerce
Finance,General,167,0,2014,Actual,YTD,2013-09-30,167,35,Office of the Director of Finance,Finance
First Judicial District,General,1887,0,2014,Actual,YTD,2013-09-30,1887,84,First Judicial District,FJD
Fleet Management,General,273,0,2014,Actual,YTD,2013-09-30,273,25,Office of Fleet Management,Fleet
Free Library,General,606,0,2014,Actual,YTD,2013-09-30,606,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,4,0,2014,Actual,YTD,2013-09-30,4,32,Historical Commission,
Human Relations Commission,General,30,0,2014,Actual,YTD,2013-09-30,30,54,Commission on Human Relations,Human Relations
Human Services (1),General,348,0,2014,Actual,YTD,2013-09-30,348,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2014,Actual,YTD,2013-09-30,7,03,Labor,
Law,General,142,0,2014,Actual,YTD,2013-09-30,142,44,Law Department,Law
Licenses & Inspections,General,298,0,2014,Actual,YTD,2013-09-30,298,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2014,Actual,YTD,2013-09-30,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2014,Actual,YTD,2013-09-30,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,5,0,2014,Actual,YTD,2013-09-30,5,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,269,0,2014,Actual,YTD,2013-09-30,269,10,Managing Director's Office,MDO
Mayor's Office,General,45,0,2014,Actual,YTD,2013-09-30,45,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2014,Actual,YTD,2013-09-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,13,0,2014,Actual,YTD,2013-09-30,13,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,11,0,2014,Actual,YTD,2013-09-30,11,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,2,0,2014,Actual,YTD,2013-09-30,2,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,16,0,2014,Actual,YTD,2013-09-30,16,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of Housing & Comm. Development,General,0,0,2014,Actual,YTD,2013-09-30,0,06,Office of Housing and Community Development,
Office of Human Resources,General,77,0,2014,Actual,YTD,2013-09-30,77,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,255,0,2014,Actual,YTD,2013-09-30,255,04,Office of Innovation and Technology,OIT
