dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,5,0,2008,Actual,YTD,2008-03-31,5,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,118,0,2008,Actual,YTD,2008-03-31,118,61,City Controller's Office,
Board of Building Standards,General,2,0,2008,Actual,YTD,2008-03-31,2,29,L&I: Board of Building and Standards,
Board of Ethics,General,4,0,2008,Actual,YTD,2008-03-31,4,45,Board of Ethics,
Board of L & I Review,General,3,0,2008,Actual,YTD,2008-03-31,3,27,L&I: Board of Review,
Bd. of Pensions,General,0,0,2008,Actual,YTD,2008-03-31,0,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,General,134,0,2008,Actual,YTD,2008-03-31,134,63,Board of Revision of Taxes,BRT
Camp William Penn,General,4,0,2008,Actual,YTD,2008-03-31,4,19,Camp William Penn,
"Capital Program Office, Mayor-",General,24,0,2008,Actual,YTD,2008-03-31,24,07,Capital Program Office,
City Commissioners (Election Board),General,91,0,2008,Actual,YTD,2008-03-31,91,73,City Commissioner's Office,City Commissioners
City Council,General,190,0,2008,Actual,YTD,2008-03-31,190,01,City Council,
City Planning Commission,General,44,0,2008,Actual,YTD,2008-03-31,44,51,City Planning Commission,
City Rep. / Commerce,General,17,0,2008,Actual,YTD,2008-03-31,17,41,Office of the City Representative,City Rep
City Treasurer,General,11,0,2008,Actual,YTD,2008-03-31,11,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2008,Actual,YTD,2008-03-31,2,55,Civil Service Commission,
Clerk of Quarter Sessions,General,112,0,2008,Actual,YTD,2008-03-31,112,64,Clerk of Quarter Sessions,
Fairmount Park,General,156,0,2008,Actual,YTD,2008-03-31,156,17,Fairmount Park Commission,
Finance,General,163,0,2008,Actual,YTD,2008-03-31,163,35,Office of the Director of Finance,Finance
First Judicial District,General,1973,0,2008,Actual,YTD,2008-03-31,1973,84,First Judicial District,FJD
Fleet Management,General,314,0,2008,Actual,YTD,2008-03-31,314,25,Office of Fleet Management,Fleet
Free Library,General,719,0,2008,Actual,YTD,2008-03-31,719,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2008,Actual,YTD,2008-03-31,6,32,Historical Commission,
Human Relations Commission,General,33,0,2008,Actual,YTD,2008-03-31,33,54,Commission on Human Relations,Human Relations
Human Services,General,1768,0,2008,Actual,YTD,2008-03-31,1768,22,Department of Human Services,DHS
"Information Services, Mayor's Office of",General,145,0,2008,Actual,YTD,2008-03-31,145,04,Office of Innovation and Technology,OIT
"Labor Relations, Mayor's Office of",General,7,0,2008,Actual,YTD,2008-03-31,7,03,Labor,
Law,General,195,0,2008,Actual,YTD,2008-03-31,195,44,Law Department,Law
Licenses & Inspections,General,343,0,2008,Actual,YTD,2008-03-31,343,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),General,102,0,2008,Actual,YTD,2008-03-31,102,10,Managing Director's Office,MDO
Mayor,General,68,0,2008,Actual,YTD,2008-03-31,68,05,Mayor's Office,Mayor
Mayor's Office of Comm. Svcs.,General,0,0,2008,Actual,YTD,2008-03-31,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,General,14,0,2008,Actual,YTD,2008-03-31,14,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,General,29,0,2008,Actual,YTD,2008-03-31,29,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Off. of Supportive Housing,General,131,0,2008,Actual,YTD,2008-03-31,131,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,General,0,0,2008,Actual,YTD,2008-03-31,0,06,Office of Housing and Community Development,
Personnel,General,72,0,2008,Actual,YTD,2008-03-31,72,56,Office of Human Resources,OHR
Prisons,General,2102,0,2008,Actual,YTD,2008-03-31,2102,23,Philadelphia Prison System,Prisons
Procurement,General,57,0,2008,Actual,YTD,2008-03-31,57,38,Procurement Department,Procurement
Public Health,General,662,0,2008,Actual,YTD,2008-03-31,662,14,Department of Public Health,Public Health
Public Property,General,154,0,2008,Actual,YTD,2008-03-31,154,20,Department of Public Property,Public Property
Records,General,69,0,2008,Actual,YTD,2008-03-31,69,31,Department of Records,Records
Recreation,General,458,0,2008,Actual,YTD,2008-03-31,458,16,Department of Parks and Recreation,Parks & Recreation
Register of Wills,General,67,0,2008,Actual,YTD,2008-03-31,67,68,Register of Wills,
Revenue,General,255,0,2008,Actual,YTD,2008-03-31,255,36,Department of Revenue,Revenue
Sheriff,General,244,0,2008,Actual,YTD,2008-03-31,244,70,Office of the Sheriff,Sheriff
Streets,General,579,0,2008,Actual,YTD,2008-03-31,579,12,Streets Department,Streets
Streets Sanitation,General,1220,0,2008,Actual,YTD,2008-03-31,1220,12S,Streets: Sanitation,
Water,General,0,0,2008,Actual,YTD,2008-03-31,0,28,Water Department,Water
Zoning Board of Adjustment,General,4,0,2008,Actual,YTD,2008-03-31,4,30,Zoning Board of Adjustments,ZBA
Zoning Code Commission,General,0,0,2008,Actual,YTD,2008-03-31,0,57,Zoning Code Commission,
Atwater Kent Museum,Other,0,0,2008,Actual,YTD,2008-03-31,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2008,Actual,YTD,2008-03-31,0,61,City Controller's Office,
Board of Building Standards,Other,0,0,2008,Actual,YTD,2008-03-31,0,29,L&I: Board of Building and Standards,
Board of Ethics,Other,0,0,2008,Actual,YTD,2008-03-31,0,45,Board of Ethics,
Board of L & I Review,Other,0,0,2008,Actual,YTD,2008-03-31,0,27,L&I: Board of Review,
Bd. of Pensions,Other,61,0,2008,Actual,YTD,2008-03-31,61,53,Board of Pensions,Pensions
Bd. of Revision of Taxes,Other,0,0,2008,Actual,YTD,2008-03-31,0,63,Board of Revision of Taxes,BRT
Camp William Penn,Other,0,0,2008,Actual,YTD,2008-03-31,0,19,Camp William Penn,
"Capital Program Office, Mayor-",Other,0,0,2008,Actual,YTD,2008-03-31,0,07,Capital Program Office,
City Commissioners (Election Board),Other,0,0,2008,Actual,YTD,2008-03-31,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2008,Actual,YTD,2008-03-31,0,01,City Council,
City Planning Commission,Other,6,0,2008,Actual,YTD,2008-03-31,6,51,City Planning Commission,
City Rep. / Commerce,Other,761,0,2008,Actual,YTD,2008-03-31,761,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2008,Actual,YTD,2008-03-31,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2008,Actual,YTD,2008-03-31,0,55,Civil Service Commission,
Clerk of Quarter Sessions,Other,0,0,2008,Actual,YTD,2008-03-31,0,64,Clerk of Quarter Sessions,
Fairmount Park,Other,1,0,2008,Actual,YTD,2008-03-31,1,17,Fairmount Park Commission,
Finance,Other,12,0,2008,Actual,YTD,2008-03-31,12,35,Office of the Director of Finance,Finance
First Judicial District,Other,443,0,2008,Actual,YTD,2008-03-31,443,84,First Judicial District,FJD
Fleet Management,Other,65,0,2008,Actual,YTD,2008-03-31,65,25,Office of Fleet Management,Fleet
Free Library,Other,66,0,2008,Actual,YTD,2008-03-31,66,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2008,Actual,YTD,2008-03-31,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2008,Actual,YTD,2008-03-31,0,54,Commission on Human Relations,Human Relations
Human Services,Other,45,0,2008,Actual,YTD,2008-03-31,45,22,Department of Human Services,DHS
"Information Services, Mayor's Office of",Other,16,0,2008,Actual,YTD,2008-03-31,16,04,Office of Innovation and Technology,OIT
"Labor Relations, Mayor's Office of",Other,0,0,2008,Actual,YTD,2008-03-31,0,03,Labor,
Law,Other,56,0,2008,Actual,YTD,2008-03-31,56,44,Law Department,Law
Licenses & Inspections,Other,18,0,2008,Actual,YTD,2008-03-31,18,26,Department of Licenses and Inspections,L&I
Managing Director (MDO),Other,10,0,2008,Actual,YTD,2008-03-31,10,10,Managing Director's Office,MDO
Mayor,Other,3,0,2008,Actual,YTD,2008-03-31,3,05,Mayor's Office,Mayor
Mayor's Office of Comm. Svcs.,Other,165,0,2008,Actual,YTD,2008-03-31,165,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,Other,0,0,2008,Actual,YTD,2008-03-31,0,50,Mural Arts Program,Mural Arts
Off. of Behavioral Hlth/Mental Retard. Svcs.,Other,237,0,2008,Actual,YTD,2008-03-31,237,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Off. of Supportive Housing,Other,45,0,2008,Actual,YTD,2008-03-31,45,24,Office of Homeless Services,OHS
Office of Housing and Community Develop.,Other,79,0,2008,Actual,YTD,2008-03-31,79,06,Office of Housing and Community Development,
Personnel,Other,0,0,2008,Actual,YTD,2008-03-31,0,56,Office of Human Resources,OHR
Prisons,Other,0,0,2008,Actual,YTD,2008-03-31,0,23,Philadelphia Prison System,Prisons
Procurement,Other,3,0,2008,Actual,YTD,2008-03-31,3,38,Procurement Department,Procurement
Public Health,Other,208,0,2008,Actual,YTD,2008-03-31,208,14,Department of Public Health,Public Health
Public Property,Other,0,0,2008,Actual,YTD,2008-03-31,0,20,Department of Public Property,Public Property
Records,Other,0,0,2008,Actual,YTD,2008-03-31,0,31,Department of Records,Records
Recreation,Other,24,0,2008,Actual,YTD,2008-03-31,24,16,Department of Parks and Recreation,Parks & Recreation
