dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Auditing (City Controller's Office),General,119,0,2021,Actual,YTD,2020-09-30,119,61,City Controller's Office,
Board of Ethics,General,8,0,2021,Actual,YTD,2020-09-30,8,45,Board of Ethics,
Board of Pensions,General,0,0,2021,Actual,YTD,2020-09-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,15,0,2021,Actual,YTD,2020-09-30,15,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,143,0,2021,Actual,YTD,2020-09-30,143,73,City Commissioner's Office,City Commissioners
City Council,General,188,0,2021,Actual,YTD,2020-09-30,188,01,City Council,
City Representative,General,0,0,2021,Actual,YTD,2020-09-30,0,41,Office of the City Representative,City Rep
City Treasurer,General,16,0,2021,Actual,YTD,2020-09-30,16,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,1,0,2021,Actual,YTD,2020-09-30,1,55,Civil Service Commission,
Commerce,General,43,0,2021,Actual,YTD,2020-09-30,43,42,Office of the Director of Commerce,Commerce
Finance,General,116,0,2021,Actual,YTD,2020-09-30,116,35,Office of the Director of Finance,Finance
First Judicial District,General,1845,0,2021,Actual,YTD,2020-09-30,1845,84,First Judicial District,FJD
Fleet Management,General,281,0,2021,Actual,YTD,2020-09-30,281,25,Office of Fleet Management,Fleet
Free Library,General,664,0,2021,Actual,YTD,2020-09-30,664,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,General,33,0,2021,Actual,YTD,2020-09-30,33,54,Commission on Human Relations,Human Relations
Human Services (1),General,492,0,2021,Actual,YTD,2020-09-30,492,22,Department of Human Services,DHS
Labor,General,27,0,2021,Actual,YTD,2020-09-30,27,03,Labor,
Law,General,130,0,2021,Actual,YTD,2020-09-30,130,44,Law Department,Law
Licenses & Inspections,General,395,0,2021,Actual,YTD,2020-09-30,395,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2021,Actual,YTD,2020-09-30,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2021,Actual,YTD,2020-09-30,2,27,L&I: Board of Review,
Managing Director's Office,General,290,0,2021,Actual,YTD,2020-09-30,290,10,Managing Director's Office,MDO
Mayor's Office,General,64,0,2021,Actual,YTD,2020-09-30,64,05,Mayor's Office,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2021,Actual,YTD,2020-09-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,General,10,0,2021,Actual,YTD,2020-09-30,10,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,0,0,2021,Actual,YTD,2020-09-30,0,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,General,23,0,2021,Actual,YTD,2020-09-30,23,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of the Chief Administrative Officer,General,63,0,2021,Actual,YTD,2020-09-30,63,65,Office of the Chief Administrative Officer,CAO
Office of Children and Families,General,3,0,2021,Actual,YTD,2020-09-30,3,66,Office of Children and Families,OCF
Office of Homeless Services,General,127,0,2021,Actual,YTD,2020-09-30,127,24,Office of Homeless Services,OHS
Office of Human Resources,General,79,0,2021,Actual,YTD,2020-09-30,79,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,310,0,2021,Actual,YTD,2020-09-30,310,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,16,0,2021,Actual,YTD,2020-09-30,16,48,Office of the Inspector General,OIG
Office of Property Assessment,General,194,0,2021,Actual,YTD,2020-09-30,194,59,Office of Property Assessment,OPA
Office of Sustainability,General,7,0,2021,Actual,YTD,2020-09-30,7,49,Office of Sustainability,Sustainability
Parks and Recreation,General,645,0,2021,Actual,YTD,2020-09-30,645,16,Department of Parks and Recreation,Parks & Recreation
Planning & Development,General,54,0,2021,Actual,YTD,2020-09-30,54,72,Department of Planning and Development,Planning & Development
Prisons,General,1885,0,2021,Actual,YTD,2020-09-30,1885,23,Philadelphia Prison System,Prisons
Procurement,General,37,0,2021,Actual,YTD,2020-09-30,37,38,Procurement Department,Procurement
Public Health,General,721,0,2021,Actual,YTD,2020-09-30,721,14,Department of Public Health,Public Health
Public Property,General,143,0,2021,Actual,YTD,2020-09-30,143,20,Department of Public Property,Public Property
Records,General,50,0,2021,Actual,YTD,2020-09-30,50,31,Department of Records,Records
Register of Wills,General,68,0,2021,Actual,YTD,2020-09-30,68,68,Register of Wills,
Revenue,General,400,0,2021,Actual,YTD,2020-09-30,400,36,Department of Revenue,Revenue
Sheriff,General,391,0,2021,Actual,YTD,2020-09-30,391,70,Office of the Sheriff,Sheriff
Streets,General,1885,0,2021,Actual,YTD,2020-09-30,1885,12,Streets Department,Streets
Water,General,0,0,2021,Actual,YTD,2020-09-30,0,28,Water Department,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2021,Actual,YTD,2020-09-30,0,67,"Water, Sewer, and Stormwater Rate Board",
Auditing (City Controller's Office),Other,0,0,2021,Actual,YTD,2020-09-30,0,61,City Controller's Office,
Board of Ethics,Other,0,0,2021,Actual,YTD,2020-09-30,0,45,Board of Ethics,
Board of Pensions,Other,55,0,2021,Actual,YTD,2020-09-30,55,53,Board of Pensions,Pensions
Board of Revision of Taxes,Other,0,0,2021,Actual,YTD,2020-09-30,0,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),Other,0,0,2021,Actual,YTD,2020-09-30,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2021,Actual,YTD,2020-09-30,0,01,City Council,
City Representative,Other,0,0,2021,Actual,YTD,2020-09-30,0,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2021,Actual,YTD,2020-09-30,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2021,Actual,YTD,2020-09-30,0,55,Civil Service Commission,
Commerce,Other,792,0,2021,Actual,YTD,2020-09-30,792,42,Office of the Director of Commerce,Commerce
Finance,Other,0,0,2021,Actual,YTD,2020-09-30,0,35,Office of the Director of Finance,Finance
First Judicial District,Other,466,0,2021,Actual,YTD,2020-09-30,466,84,First Judicial District,FJD
Fleet Management,Other,78,0,2021,Actual,YTD,2020-09-30,78,25,Office of Fleet Management,Fleet
Free Library,Other,10,0,2021,Actual,YTD,2020-09-30,10,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,Other,0,0,2021,Actual,YTD,2020-09-30,0,54,Commission on Human Relations,Human Relations
Human Services (1),Other,1042,0,2021,Actual,YTD,2020-09-30,1042,22,Department of Human Services,DHS
Labor,Other,0,0,2021,Actual,YTD,2020-09-30,0,03,Labor,
Law,Other,49,0,2021,Actual,YTD,2020-09-30,49,44,Law Department,Law
Licenses & Inspections,Other,8,0,2021,Actual,YTD,2020-09-30,8,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,Other,0,0,2021,Actual,YTD,2020-09-30,0,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,Other,0,0,2021,Actual,YTD,2020-09-30,0,27,L&I: Board of Review,
Managing Director's Office,Other,107,0,2021,Actual,YTD,2020-09-30,107,10,Managing Director's Office,MDO
Mayor's Office,Other,0,0,2021,Actual,YTD,2020-09-30,0,05,Mayor's Office,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,25,0,2021,Actual,YTD,2020-09-30,25,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mural Arts Program,Other,0,0,2021,Actual,YTD,2020-09-30,0,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,Other,0,0,2021,Actual,YTD,2020-09-30,0,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,Other,228,0,2021,Actual,YTD,2020-09-30,228,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2021,Actual,YTD,2020-09-30,0,65,Office of the Chief Administrative Officer,CAO
Office of Children and Families,Other,0,0,2021,Actual,YTD,2020-09-30,0,66,Office of Children and Families,OCF
Office of Homeless Services,Other,46,0,2021,Actual,YTD,2020-09-30,46,24,Office of Homeless Services,OHS
Office of Human Resources,Other,0,0,2021,Actual,YTD,2020-09-30,0,56,Office of Human Resources,OHR
Office of Innovation and Technology,Other,96,0,2021,Actual,YTD,2020-09-30,96,04,Office of Innovation and Technology,OIT
Office of the Inspector General,Other,0,0,2021,Actual,YTD,2020-09-30,0,48,Office of the Inspector General,OIG
Office of Property Assessment,Other,0,0,2021,Actual,YTD,2020-09-30,0,59,Office of Property Assessment,OPA
Office of Sustainability,Other,1,0,2021,Actual,YTD,2020-09-30,1,49,Office of Sustainability,Sustainability
Parks and Recreation,Other,24,0,2021,Actual,YTD,2020-09-30,24,16,Department of Parks and Recreation,Parks & Recreation
Planning & Development,Other,54,0,2021,Actual,YTD,2020-09-30,54,72,Department of Planning and Development,Planning & Development
Prisons,Other,0,0,2021,Actual,YTD,2020-09-30,0,23,Philadelphia Prison System,Prisons
Procurement,Other,2,0,2021,Actual,YTD,2020-09-30,2,38,Procurement Department,Procurement
Public Health,Other,150,0,2021,Actual,YTD,2020-09-30,150,14,Department of Public Health,Public Health
Public Property,Other,0,0,2021,Actual,YTD,2020-09-30,0,20,Department of Public Property,Public Property
Records,Other,0,0,2021,Actual,YTD,2020-09-30,0,31,Department of Records,Records
Register of Wills,Other,0,0,2021,Actual,YTD,2020-09-30,0,68,Register of Wills,
Revenue,Other,197,0,2021,Actual,YTD,2020-09-30,197,36,Department of Revenue,Revenue
Sheriff,Other,0,0,2021,Actual,YTD,2020-09-30,0,70,Office of the Sheriff,Sheriff
Streets,Other,0,0,2021,Actual,YTD,2020-09-30,0,12,Streets Department,Streets
Water,Other,1927,0,2021,Actual,YTD,2020-09-30,1927,28,Water Department,Water
"Water,Sewer & Stormwater Rate Board",Other,1,0,2021,Actual,YTD,2020-09-30,1,67,"Water, Sewer, and Stormwater Rate Board",
Auditing (City Controller's Office),Total,119,0,2021,Actual,YTD,2020-09-30,119,61,City Controller's Office,
Board of Ethics,Total,8,0,2021,Actual,YTD,2020-09-30,8,45,Board of Ethics,
Board of Pensions,Total,55,0,2021,Actual,YTD,2020-09-30,55,53,Board of Pensions,Pensions
Board of Revision of Taxes,Total,15,0,2021,Actual,YTD,2020-09-30,15,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),Total,143,0,2021,Actual,YTD,2020-09-30,143,73,City Commissioner's Office,City Commissioners
City Council,Total,188,0,2021,Actual,YTD,2020-09-30,188,01,City Council,
City Representative,Total,0,0,2021,Actual,YTD,2020-09-30,0,41,Office of the City Representative,City Rep
City Treasurer,Total,16,0,2021,Actual,YTD,2020-09-30,16,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Total,1,0,2021,Actual,YTD,2020-09-30,1,55,Civil Service Commission,
Commerce,Total,835,0,2021,Actual,YTD,2020-09-30,835,42,Office of the Director of Commerce,Commerce
Finance,Total,116,0,2021,Actual,YTD,2020-09-30,116,35,Office of the Director of Finance,Finance
First Judicial District,Total,2311,0,2021,Actual,YTD,2020-09-30,2311,84,First Judicial District,FJD
Fleet Management,Total,359,0,2021,Actual,YTD,2020-09-30,359,25,Office of Fleet Management,Fleet
Free Library,Total,674,0,2021,Actual,YTD,2020-09-30,674,52,The Free Library of Philadelphia,Free Library
Human Relations Commission,Total,33,0,2021,Actual,YTD,2020-09-30,33,54,Commission on Human Relations,Human Relations
Human Services (1),Total,1534,0,2021,Actual,YTD,2020-09-30,1534,22,Department of Human Services,DHS
Labor,Total,27,0,2021,Actual,YTD,2020-09-30,27,03,Labor,
Law,Total,179,0,2021,Actual,YTD,2020-09-30,179,44,Law Department,Law
Licenses & Inspections,Total,403,0,2021,Actual,YTD,2020-09-30,403,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,Total,1,0,2021,Actual,YTD,2020-09-30,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,Total,2,0,2021,Actual,YTD,2020-09-30,2,27,L&I: Board of Review,
Managing Director's Office,Total,397,0,2021,Actual,YTD,2020-09-30,397,10,Managing Director's Office,MDO
