dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,3,0,2016,Actual,YTD,2016-06-30,3,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,137,0,2016,Actual,YTD,2016-06-30,137,61,City Controller's Office,
Board of Ethics,General,10,0,2016,Actual,YTD,2016-06-30,10,45,Board of Ethics,
Board of Pensions,General,0,0,2016,Actual,YTD,2016-06-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,14,0,2016,Actual,YTD,2016-06-30,14,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,92,0,2016,Actual,YTD,2016-06-30,92,73,City Commissioner's Office,City Commissioners
City Council,General,187,0,2016,Actual,YTD,2016-06-30,187,01,City Council,
City Planning Commission,General,31,0,2016,Actual,YTD,2016-06-30,31,51,City Planning Commission,
City Representative,General,7,0,2016,Actual,YTD,2016-06-30,7,41,Office of the City Representative,City Rep
City Treasurer,General,15,0,2016,Actual,YTD,2016-06-30,15,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2016,Actual,YTD,2016-06-30,2,55,Civil Service Commission,
Commerce,General,34,0,2016,Actual,YTD,2016-06-30,34,42,Office of the Director of Commerce,Commerce
Finance,General,165,0,2016,Actual,YTD,2016-06-30,165,35,Office of the Director of Finance,Finance
First Judicial District,General,1839,0,2016,Actual,YTD,2016-06-30,1839,84,First Judicial District,FJD
Fleet Management,General,263,0,2016,Actual,YTD,2016-06-30,263,25,Office of Fleet Management,Fleet
Free Library,General,636,0,2016,Actual,YTD,2016-06-30,636,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,5,0,2016,Actual,YTD,2016-06-30,5,32,Historical Commission,
Human Relations Commission,General,32,0,2016,Actual,YTD,2016-06-30,32,54,Commission on Human Relations,Human Relations
Human Services (1),General,449,0,2016,Actual,YTD,2016-06-30,449,22,Department of Human Services,DHS
"Labor Relations, Mayor's Office of",General,7,0,2016,Actual,YTD,2016-06-30,7,03,Labor,
Law,General,126,0,2016,Actual,YTD,2016-06-30,126,44,Law Department,Law
