dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_code,dept_name,abbreviation
Atwater Kent Museum,General,4,0,2017,Actual,YTD,2016-09-30,4,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),General,133,0,2017,Actual,YTD,2016-09-30,133,61,City Controller's Office,
Board of Ethics,General,11,0,2017,Actual,YTD,2016-09-30,11,45,Board of Ethics,
Board of Pensions,General,0,0,2017,Actual,YTD,2016-09-30,0,53,Board of Pensions,Pensions
Board of Revision of Taxes,General,14,0,2017,Actual,YTD,2016-09-30,14,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),General,95,0,2017,Actual,YTD,2016-09-30,95,73,City Commissioner's Office,City Commissioners
City Council,General,189,0,2017,Actual,YTD,2016-09-30,189,01,City Council,
City Planning Commission,General,29,0,2017,Actual,YTD,2016-09-30,29,51,City Planning Commission,
City Representative,General,6,0,2017,Actual,YTD,2016-09-30,6,41,Office of the City Representative,City Rep
City Treasurer,General,14,0,2017,Actual,YTD,2016-09-30,14,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,General,2,0,2017,Actual,YTD,2016-09-30,2,55,Civil Service Commission,
Commerce,General,27,0,2017,Actual,YTD,2016-09-30,27,42,Office of the Director of Commerce,Commerce
Finance,General,110,0,2017,Actual,YTD,2016-09-30,110,35,Office of the Director of Finance,Finance
First Judicial District,General,1858,0,2017,Actual,YTD,2016-09-30,1858,84,First Judicial District,FJD
Fleet Management,General,259,0,2017,Actual,YTD,2016-09-30,259,25,Office of Fleet Management,Fleet
Free Library,General,636,0,2017,Actual,YTD,2016-09-30,636,52,The Free Library of Philadelphia,Free Library
Historical Commission,General,6,0,2017,Actual,YTD,2016-09-30,6,32,Historical Commission,
Human Relations Commission,General,33,0,2017,Actual,YTD,2016-09-30,33,54,Commission on Human Relations,Human Relations
Human Services (1),General,385,0,2017,Actual,YTD,2016-09-30,385,22,Department of Human Services,DHS
"Labor, Mayor's Office of",General,13,0,2017,Actual,YTD,2016-09-30,13,03,Labor,
Law,General,121,0,2017,Actual,YTD,2016-09-30,121,44,Law Department,Law
Licenses & Inspections,General,330,0,2017,Actual,YTD,2016-09-30,330,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,General,1,0,2017,Actual,YTD,2016-09-30,1,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,General,2,0,2017,Actual,YTD,2016-09-30,2,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,General,5,0,2017,Actual,YTD,2016-09-30,5,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,General,283,0,2017,Actual,YTD,2016-09-30,283,10,Managing Director's Office,MDO
Mayor's Office,General,48,0,2017,Actual,YTD,2016-09-30,48,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2017,Actual,YTD,2016-09-30,0,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,General,0,0,2017,Actual,YTD,2016-09-30,0,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,General,10,0,2017,Actual,YTD,2016-09-30,10,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,General,4,0,2017,Actual,YTD,2016-09-30,4,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,General,17,0,2017,Actual,YTD,2016-09-30,17,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of the Chief Administrative Officer,General,55,0,2017,Actual,YTD,2016-09-30,55,65,Office of the Chief Administrative Officer,CAO
Office of Community Schools and Pre-K,General,24,0,2017,Actual,YTD,2016-09-30,24,66,Office of Children and Families,OCF
Office of Homeless Services,General,154,0,2017,Actual,YTD,2016-09-30,154,24,Office of Homeless Services,OHS
Office of Housing & Comm. Development,General,0,0,2017,Actual,YTD,2016-09-30,0,06,Office of Housing and Community Development,
Office of Human Resources,General,80,0,2017,Actual,YTD,2016-09-30,80,56,Office of Human Resources,OHR
Office of Innovation and Technology,General,265,0,2017,Actual,YTD,2016-09-30,265,04,Office of Innovation and Technology,OIT
Office of the Inspector General,General,19,0,2017,Actual,YTD,2016-09-30,19,48,Office of the Inspector General,OIG
Office of Planning and Development,General,3,0,2017,Actual,YTD,2016-09-30,3,62,Mayor's Office of Planning and Development,
Office of Property Assessment,General,201,0,2017,Actual,YTD,2016-09-30,201,59,Office of Property Assessment,OPA
Office of Sustainability,General,8,0,2017,Actual,YTD,2016-09-30,8,49,Office of Sustainability,Sustainability
Parks and Recreation,General,598,0,2017,Actual,YTD,2016-09-30,598,16,Department of Parks and Recreation,Parks & Recreation
Prisons,General,2304,0,2017,Actual,YTD,2016-09-30,2304,23,Philadelphia Prison System,Prisons
Procurement,General,45,0,2017,Actual,YTD,2016-09-30,45,38,Procurement Department,Procurement
Public Health,General,660,0,2017,Actual,YTD,2016-09-30,660,14,Department of Public Health,Public Health
Public Property,General,142,0,2017,Actual,YTD,2016-09-30,142,20,Department of Public Property,Public Property
Records,General,54,0,2017,Actual,YTD,2016-09-30,54,31,Department of Records,Records
Register of Wills,General,69,0,2017,Actual,YTD,2016-09-30,69,68,Register of Wills,
Revenue,General,394,0,2017,Actual,YTD,2016-09-30,394,36,Department of Revenue,Revenue
Sheriff,General,335,0,2017,Actual,YTD,2016-09-30,335,70,Office of the Sheriff,Sheriff
Streets Sanitation,General,1170,0,2017,Actual,YTD,2016-09-30,1170,12S,Streets: Sanitation,
Streets - Transportation,General,516,0,2017,Actual,YTD,2016-09-30,516,12T,Streets: Transportation,
Water,General,0,0,2017,Actual,YTD,2016-09-30,0,28,Water Department,Water
Youth Commission,General,0,0,2017,Actual,YTD,2016-09-30,0,47,Youth Commission,
Atwater Kent Museum,Other,0,0,2017,Actual,YTD,2016-09-30,0,18,Atwater Kent Museum,Atwater Kent
Auditing (City Controller's Office),Other,0,0,2017,Actual,YTD,2016-09-30,0,61,City Controller's Office,
Board of Ethics,Other,0,0,2017,Actual,YTD,2016-09-30,0,45,Board of Ethics,
Board of Pensions,Other,42,0,2017,Actual,YTD,2016-09-30,42,53,Board of Pensions,Pensions
Board of Revision of Taxes,Other,0,0,2017,Actual,YTD,2016-09-30,0,63,Board of Revision of Taxes,BRT
City Commissioners (Election Board),Other,0,0,2017,Actual,YTD,2016-09-30,0,73,City Commissioner's Office,City Commissioners
City Council,Other,0,0,2017,Actual,YTD,2016-09-30,0,01,City Council,
City Planning Commission,Other,5,0,2017,Actual,YTD,2016-09-30,5,51,City Planning Commission,
City Representative,Other,0,0,2017,Actual,YTD,2016-09-30,0,41,Office of the City Representative,City Rep
City Treasurer,Other,0,0,2017,Actual,YTD,2016-09-30,0,40,Office of the City Treasurer,City Treasurer
Civil Service Commission,Other,0,0,2017,Actual,YTD,2016-09-30,0,55,Civil Service Commission,
Commerce,Other,747,0,2017,Actual,YTD,2016-09-30,747,42,Office of the Director of Commerce,Commerce
Finance,Other,8,0,2017,Actual,YTD,2016-09-30,8,35,Office of the Director of Finance,Finance
First Judicial District,Other,499,0,2017,Actual,YTD,2016-09-30,499,84,First Judicial District,FJD
Fleet Management,Other,71,0,2017,Actual,YTD,2016-09-30,71,25,Office of Fleet Management,Fleet
Free Library,Other,14,0,2017,Actual,YTD,2016-09-30,14,52,The Free Library of Philadelphia,Free Library
Historical Commission,Other,0,0,2017,Actual,YTD,2016-09-30,0,32,Historical Commission,
Human Relations Commission,Other,0,0,2017,Actual,YTD,2016-09-30,0,54,Commission on Human Relations,Human Relations
Human Services (1),Other,1069,0,2017,Actual,YTD,2016-09-30,1069,22,Department of Human Services,DHS
"Labor, Mayor's Office of",Other,0,0,2017,Actual,YTD,2016-09-30,0,03,Labor,
Law,Other,115,0,2017,Actual,YTD,2016-09-30,115,44,Law Department,Law
Licenses & Inspections,Other,8,0,2017,Actual,YTD,2016-09-30,8,26,Department of Licenses and Inspections,L&I
L&I-Board of Building Standards,Other,0,0,2017,Actual,YTD,2016-09-30,0,29,L&I: Board of Building and Standards,
L&I-Board of L & I Review,Other,0,0,2017,Actual,YTD,2016-09-30,0,27,L&I: Board of Review,
L&I-Zoning Board of Adjustment,Other,0,0,2017,Actual,YTD,2016-09-30,0,30,Zoning Board of Adjustments,ZBA
Managing Director's Office,Other,56,0,2017,Actual,YTD,2016-09-30,56,10,Managing Director's Office,MDO
Mayor's Office,Other,3,0,2017,Actual,YTD,2016-09-30,3,05,Mayor's Office,Mayor
Mayor's Off. of Comm Empowerment/Oppor.,Other,38,0,2017,Actual,YTD,2016-09-30,38,08,Mayor's Office of Community Empowerment and Opportunity,CEO
Mayor's Office of Transportation & Utilities,Other,0,0,2017,Actual,YTD,2016-09-30,0,46,Mayor's Office of Transportation and Utilities,
Mural Arts Program,Other,1,0,2017,Actual,YTD,2016-09-30,1,50,Mural Arts Program,Mural Arts
Office of Arts and Culture,Other,0,0,2017,Actual,YTD,2016-09-30,0,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
Office of Behavioral Hith/Intel. disAbility,Other,226,0,2017,Actual,YTD,2016-09-30,226,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2017,Actual,YTD,2016-09-30,0,65,Office of the Chief Administrative Officer,CAO
Office of Community Schools and Pre-K,Other,0,0,2017,Actual,YTD,2016-09-30,0,66,Office of Children and Families,OCF
